Term Locale,Term Category,Term,Alias,Case Sensitive
en-GB,Accounting - IFRS,account payable,A/P,FALSE
en-GB,Accounting - IFRS,account receivable,A/R,FALSE
en-GB,Accounting - IFRS,accountancy firm,,FALSE
en-GB,Accounting - IFRS,accountancy profession,,FALSE
en-GB,Accounting - IFRS,accounting,,FALSE
en-GB,Accounting - IFRS,accounting equation,,FALSE
en-GB,Accounting - IFRS,accounting period,,FALSE
en-GB,Accounting - IFRS,accounting policies,,FALSE
en-GB,Accounting - IFRS,accounting standards,,FALSE
en-GB,Accounting - IFRS,Accounting Standards Board,ASB,FALSE
en-GB,Accounting - IFRS,accruals basis,,FALSE
en-GB,Accounting - IFRS,accumulated depreciation,,FALSE
en-GB,Accounting - IFRS,acid test,,FALSE
en-GB,Accounting - IFRS,acquiree,,FALSE
en-GB,Accounting - IFRS,acquirer,,FALSE
en-GB,Accounting - IFRS,acquisition,,FALSE
en-GB,Accounting - IFRS,acquisition method,,FALSE
en-GB,Accounting - IFRS,administrative expenses,,FALSE
en-GB,Accounting - IFRS,agency,,FALSE
en-GB,Accounting - IFRS,agency theory,,FALSE
en-GB,Accounting - IFRS,aggregate depreciation,,FALSE
en-GB,Accounting - IFRS,allocate,,FALSE
en-GB,Accounting - IFRS,allocated,,FALSE
en-GB,Accounting - IFRS,amortisation,,FALSE
en-GB,Accounting - IFRS,annual report,,FALSE
en-GB,Accounting - IFRS,articles of association,,FALSE
en-GB,Accounting - IFRS,articulation,,FALSE
en-GB,Accounting - IFRS,assets,,FALSE
en-GB,Accounting - IFRS,associated company,,FALSE
en-GB,Accounting - IFRS,audit,,FALSE
en-GB,Accounting - IFRS,audit manager,,FALSE
en-GB,Accounting - IFRS,bad debt,,FALSE
en-GB,Accounting - IFRS,balance sheet,,FALSE
en-GB,Accounting - IFRS,bank facility,,FALSE
en-GB,Accounting - IFRS,bond,,FALSE
en-GB,Accounting - IFRS,broker,stockbroker,FALSE
en-GB,Accounting - IFRS,broker's report,,FALSE
en-GB,Accounting - IFRS,business combination,,FALSE
en-GB,Accounting - IFRS,business cycle,,FALSE
en-GB,Accounting - IFRS,business entity,,FALSE
en-GB,Accounting - IFRS,called up,,FALSE
en-GB,Accounting - IFRS,capital,,FALSE
en-GB,Accounting - IFRS,capital expenditure,,FALSE
en-GB,Accounting - IFRS,capitalisation issue,,FALSE
en-GB,Accounting - IFRS,cash,,FALSE
en-GB,Accounting - IFRS,cash equivalents,,FALSE
en-GB,Accounting - IFRS,cash flow projections,,FALSE
en-GB,Accounting - IFRS,cash flow statement,,FALSE
en-GB,Accounting - IFRS,chairman,,FALSE
en-GB,Accounting - IFRS,charge,,FALSE
en-GB,Accounting - IFRS,chief executive,CEO,FALSE
en-GB,Accounting - IFRS,close season,,FALSE
en-GB,Accounting - IFRS,commercial paper,,FALSE
en-GB,Accounting - IFRS,Companies Act,,FALSE
en-GB,Accounting - IFRS,comparability,,FALSE
en-GB,Accounting - IFRS,completeness,,FALSE
en-GB,Accounting - IFRS,conceptual framework,,FALSE
en-GB,Accounting - IFRS,conservatism,,FALSE
en-GB,Accounting - IFRS,consistency,,FALSE
en-GB,Accounting - IFRS,consolidated financial statements,,FALSE
en-GB,Accounting - IFRS,consolidation,,FALSE
en-GB,Accounting - IFRS,contingent liabilities,,FALSE
en-GB,Accounting - IFRS,control,,FALSE
en-GB,Accounting - IFRS,convertible loan,,FALSE
en-GB,Accounting - IFRS,corporate governance,,FALSE
en-GB,Accounting - IFRS,corporate recovery department,,FALSE
en-GB,Accounting - IFRS,corporate social responsibility,,FALSE
en-GB,Accounting - IFRS,corporation tax,,FALSE
en-GB,Accounting - IFRS,cost,,FALSE
en-GB,Accounting - IFRS,cost of goods sold,COGS,FALSE
en-GB,Accounting - IFRS,cost of sales,COS,FALSE
en-GB,Accounting - IFRS,coupon,,FALSE
en-GB,Accounting - IFRS,credit,,FALSE
en-GB,Accounting - IFRS,credit note,,FALSE
en-GB,Accounting - IFRS,credit purchase,,FALSE
en-GB,Accounting - IFRS,credit sale,,FALSE
en-GB,Accounting - IFRS,creditor,,FALSE
en-GB,Accounting - IFRS,critical event,,FALSE
en-GB,Accounting - IFRS,current asset,,FALSE
en-GB,Accounting - IFRS,current liability,,FALSE
en-GB,Accounting - IFRS,current value,,FALSE
en-GB,Accounting - IFRS,customers' collection period,,FALSE
en-GB,Accounting - IFRS,cut-off procedures,,FALSE
en-GB,Accounting - IFRS,debenture,,FALSE
en-GB,Accounting - IFRS,debtor,,FALSE
en-GB,Accounting - IFRS,deep discount bond,,FALSE
en-GB,Accounting - IFRS,default,,FALSE
en-GB,Accounting - IFRS,deferred asset,,FALSE
en-GB,Accounting - IFRS,deferred income,,FALSE
en-GB,Accounting - IFRS,deferred taxation,,FALSE
en-GB,Accounting - IFRS,depreciable amount,,FALSE
en-GB,Accounting - IFRS,depreciation,,FALSE
en-GB,Accounting - IFRS,derecognition,,FALSE
en-GB,Accounting - IFRS,difference on consolidation,,FALSE
