Term Locale,Term Category,Term,CaseSensitive
en-US,US GAAP FASB,401(k) Plan,FALSE
en-US,US GAAP FASB,A Misstatement is Inconsequential,FALSE
en-US,US GAAP FASB,Abatement,FALSE
en-US,US GAAP FASB,Absorption Costing,FALSE
en-US,US GAAP FASB,Accelerated Depreciation,FALSE
en-US,US GAAP FASB,Account,FALSE
en-US,US GAAP FASB,Account Payable,FALSE
en-US,US GAAP FASB,Account Receivable,FALSE
en-US,US GAAP FASB,Accountable Plan,FALSE
en-US,US GAAP FASB,Accountant,FALSE
en-US,US GAAP FASB,Accountants' Report,FALSE
en-US,US GAAP FASB,Accounting,FALSE
en-US,US GAAP FASB,Accounting Change,FALSE
en-US,US GAAP FASB,Accounting Cycle,FALSE
en-US,US GAAP FASB,Accounting Principles Board (APB),FALSE
en-US,US GAAP FASB,Accounts Payable Subsidiary Ledger,FALSE
en-US,US GAAP FASB,Accounts Receivable Turnover,FALSE
en-US,US GAAP FASB,Accrual,FALSE
en-US,US GAAP FASB,Accrual Accounting,FALSE
en-US,US GAAP FASB,Accrual Basis,FALSE
en-US,US GAAP FASB,Accrued Expense,FALSE
en-US,US GAAP FASB,Accrued Interest,FALSE
en-US,US GAAP FASB,Accumulated Depreciation,FALSE
en-US,US GAAP FASB,Accumulation,FALSE
en-US,US GAAP FASB,Acid-Test Ratio,FALSE
en-US,US GAAP FASB,Acquisition,FALSE
en-US,US GAAP FASB,Actuary,FALSE
en-US,US GAAP FASB,Additional Paid in Capital,FALSE
en-US,US GAAP FASB,Adjusted Basis,FALSE
en-US,US GAAP FASB,Adjusted Gross Income,FALSE
en-US,US GAAP FASB,Adjusted Trial Balance,FALSE
en-US,US GAAP FASB,Adjusting Journal Entry,FALSE
en-US,US GAAP FASB,ADR,FALSE
en-US,US GAAP FASB,Adverse Opinion,FALSE
en-US,US GAAP FASB,Affiliated Company,FALSE
en-US,US GAAP FASB,Agency Fund,FALSE
en-US,US GAAP FASB,AICPA,FALSE
en-US,US GAAP FASB,Allocate,FALSE
en-US,US GAAP FASB,Allowance for Doubtful Accounts,FALSE
en-US,US GAAP FASB,Alternative Dispute Resolution,FALSE
en-US,US GAAP FASB,Alternative Minimum Tax (AMT),FALSE
en-US,US GAAP FASB,American Depository Receipt (ADR),FALSE
en-US,US GAAP FASB,American Institute of Certified Public Accountants (AICPA),FALSE
en-US,US GAAP FASB,Amortization,FALSE
en-US,US GAAP FASB,AMT,FALSE
en-US,US GAAP FASB,Analyst,FALSE
en-US,US GAAP FASB,Analytical Procedures,FALSE
en-US,US GAAP FASB,Annual Report,FALSE
en-US,US GAAP FASB,Annuity,FALSE
en-US,US GAAP FASB,Anti-Dilution,FALSE
en-US,US GAAP FASB,APB,FALSE
en-US,US GAAP FASB,Appreciation,FALSE
en-US,US GAAP FASB,Assembly of Financial Statements,FALSE
en-US,US GAAP FASB,Assertion,FALSE
en-US,US GAAP FASB,Asset,FALSE
en-US,US GAAP FASB,Asset Turnover,FALSE
en-US,US GAAP FASB,At Par,FALSE
en-US,US GAAP FASB,Audit,FALSE
en-US,US GAAP FASB,Audit Documentation,FALSE
en-US,US GAAP FASB,Audit Engagement,FALSE
en-US,US GAAP FASB,Audit Risk,FALSE
en-US,US GAAP FASB,Audit Sampling,FALSE
en-US,US GAAP FASB,Auditing Standards,FALSE
en-US,US GAAP FASB,Auditor,FALSE
en-US,US GAAP FASB,Auditors' Report,FALSE
en-US,US GAAP FASB,Authorized Shares,FALSE
en-US,US GAAP FASB,Average Daysâ€™ Inventory On-Hand,FALSE
en-US,US GAAP FASB,Average Daysâ€™ Sales Uncollected,FALSE
en-US,US GAAP FASB,Average-Cost Method,FALSE
en-US,US GAAP FASB,Backup Withholding,FALSE
en-US,US GAAP FASB,Bad Debt,FALSE
en-US,US GAAP FASB,Balance,FALSE
en-US,US GAAP FASB,Bank Reconciliation,FALSE
en-US,US GAAP FASB,Bank Statement,FALSE
en-US,US GAAP FASB,Bankruptcy,FALSE
en-US,US GAAP FASB,Base Market Value,FALSE
en-US,US GAAP FASB,Beginning Inventory,FALSE
en-US,US GAAP FASB,Bequest,FALSE
en-US,US GAAP FASB,Beta Coefficient,FALSE
en-US,US GAAP FASB,Bid and Asked,FALSE
en-US,US GAAP FASB,Blue Sky Laws,FALSE
en-US,US GAAP FASB,Board of Directors,FALSE
en-US,US GAAP FASB,Bond,FALSE
en-US,US GAAP FASB,Bond Discount,FALSE
en-US,US GAAP FASB,Bond Indenture,FALSE
en-US,US GAAP FASB,Bondholder,FALSE
en-US,US GAAP FASB,Book Value,FALSE
en-US,US GAAP FASB,Bookkeeping,FALSE
en-US,US GAAP FASB,Boot,FALSE
en-US,US GAAP FASB,Bottom Line,FALSE
en-US,US GAAP FASB,Break-Even Point,FALSE
en-US,US GAAP FASB,Break-Even Units,FALSE
en-US,US GAAP FASB,Budget,FALSE
en-US,US GAAP FASB,Burden Rate,FALSE
en-US,US GAAP FASB,Business Combinations,FALSE
en-US,US GAAP FASB,Business Segment,FALSE
en-US,US GAAP FASB,Buyout,FALSE
en-US,US GAAP FASB,Bylaws,FALSE
en-US,US GAAP FASB,Cafeteria Plan,FALSE
en-US,US GAAP FASB,Call Loan,FALSE
en-US,US GAAP FASB,Call Price,FALSE
en-US,US GAAP FASB,Callable,FALSE
en-US,US GAAP FASB,Callable Instrument,FALSE
en-US,US GAAP FASB,Capital Asset Pricing Model (CAPM),FALSE
en-US,US GAAP FASB,Capital Expenditure,FALSE
en-US,US GAAP FASB,Capital Gain,FALSE
en-US,US GAAP FASB,Capital Projects Funds,FALSE
en-US,US GAAP FASB,Capital Stock,FALSE
en-US,US GAAP FASB,Capitalize,FALSE
en-US,US GAAP FASB,Capitalized Cost,FALSE
en-US,US GAAP FASB,Capitalized Interest,FALSE
en-US,US GAAP FASB,Capitalized Lease,FALSE
en-US,US GAAP FASB,CAPM,FALSE
en-US,US GAAP FASB,Carrying Value,FALSE
en-US,US GAAP FASB,Carryovers,FALSE
en-US,US GAAP FASB,Cash,FALSE
en-US,US GAAP FASB,Cash Account,FALSE
en-US,US GAAP FASB,Cash Basis,FALSE
en-US,US GAAP FASB,Cash Dividend,FALSE
en-US,US GAAP FASB,Cash Equivalents,FALSE
en-US,US GAAP FASB,Cash Flow to Assets,FALSE
en-US,US GAAP FASB,Cash Flow to Sales,FALSE
en-US,US GAAP FASB,Cash Flows,FALSE
en-US,US GAAP FASB,Cash Payments Journal,FALSE
en-US,US GAAP FASB,Cash Ratio,FALSE
en-US,US GAAP FASB,Cash Receipts Journal,FALSE
en-US,US GAAP FASB,Casualty Loss,FALSE
en-US,US GAAP FASB,CD,FALSE
en-US,US GAAP FASB,CEO,FALSE
en-US,US GAAP FASB,Certificate of Deposit (CD),FALSE
en-US,US GAAP FASB,Certified Financial Planner (CFP),FALSE
en-US,US GAAP FASB,Certified Internal Auditor (CIA),FALSE
en-US,US GAAP FASB,Certified Management Accountant (CMA),FALSE
en-US,US GAAP FASB,Certified Public Accountant (CPA),FALSE
en-US,US GAAP FASB,CFO,FALSE
en-US,US GAAP FASB,CFP,FALSE
en-US,US GAAP FASB,Chief Executive Officer (CEO),FALSE
en-US,US GAAP FASB,Chief Financial Officer (CFO),FALSE
en-US,US GAAP FASB,CIA,FALSE
en-US,US GAAP FASB,Claim for Refund,FALSE
en-US,US GAAP FASB,Clean Opinion,FALSE
en-US,US GAAP FASB,Close,FALSE
en-US,US GAAP FASB,Closed-End Mutual Fund,FALSE
en-US,US GAAP FASB,Closing Entry,FALSE
en-US,US GAAP FASB,CMA,FALSE
en-US,US GAAP FASB,CMO,FALSE
en-US,US GAAP FASB,Co-Mingling,FALSE
en-US,US GAAP FASB,Collateral,FALSE
en-US,US GAAP FASB,Collateralized Mortgage Obligation (CMO),FALSE
en-US,US GAAP FASB,Combined Financial Statement,FALSE
en-US,US GAAP FASB,Comfort Letter,FALSE
en-US,US GAAP FASB,Commercial Paper,FALSE
en-US,US GAAP FASB,Commission,FALSE
en-US,US GAAP FASB,Committee of Sponsoring Organizations of the Treadway Commission (COSO),FALSE
en-US,US GAAP FASB,Commodities,FALSE
en-US,US GAAP FASB,Common Stock,FALSE
en-US,US GAAP FASB,Company,FALSE
en-US,US GAAP FASB,Company Level Controls,FALSE
en-US,US GAAP FASB,Comparative Financial Statement,FALSE
en-US,US GAAP FASB,Compensate,FALSE
en-US,US GAAP FASB,Compensatory Balance,FALSE
en-US,US GAAP FASB,Compilation,FALSE
en-US,US GAAP FASB,Compilation Engagement,FALSE
en-US,US GAAP FASB,Compilation Report,FALSE
en-US,US GAAP FASB,Complex Trust,FALSE
en-US,US GAAP FASB,Compliance Audit,FALSE
en-US,US GAAP FASB,Compound Interest Principles,FALSE
en-US,US GAAP FASB,Comprehensive Income,FALSE
en-US,US GAAP FASB,Condensed Financial Statement,FALSE
en-US,US GAAP FASB,Confirmation,FALSE
en-US,US GAAP FASB,Conservatism,FALSE
en-US,US GAAP FASB,Consistency,FALSE
en-US,US GAAP FASB,Consolidated Financial Statements,FALSE
en-US,US GAAP FASB,Consolidation,FALSE
en-US,US GAAP FASB,Constructive Receipt,FALSE
en-US,US GAAP FASB,Consumer Goods,FALSE
en-US,US GAAP FASB,Contingency,FALSE
en-US,US GAAP FASB,Contingent Liability,FALSE
en-US,US GAAP FASB,Continuing Operations,FALSE
en-US,US GAAP FASB,Continuing Professional Education (CPE),FALSE
en-US,US GAAP FASB,Contra Account,FALSE
en-US,US GAAP FASB,Contra-Liability Account,FALSE
en-US,US GAAP FASB,Contract,FALSE
en-US,US GAAP FASB,Contributed Capital,FALSE
en-US,US GAAP FASB,Contribution Margin,FALSE
en-US,US GAAP FASB,Control Deficiency,FALSE
en-US,US GAAP FASB,Control Risk,FALSE
en-US,US GAAP FASB,Controls Tests,FALSE
en-US,US GAAP FASB,Conversion,FALSE
en-US,US GAAP FASB,Convertible Stock,FALSE
en-US,US GAAP FASB,Copyright,FALSE
en-US,US GAAP FASB,Corporate Bond,FALSE
en-US,US GAAP FASB,Corporate Income Tax,FALSE
en-US,US GAAP FASB,Corporation,FALSE
en-US,US GAAP FASB,COSO,FALSE
en-US,US GAAP FASB,Cost Accounting,FALSE
en-US,US GAAP FASB,Cost Basis,FALSE
en-US,US GAAP FASB,Cost of Capital,FALSE
en-US,US GAAP FASB,Cost of Goods Sold,FALSE
en-US,US GAAP FASB,Cost Recovery Method,FALSE
en-US,US GAAP FASB,Coupon,FALSE
en-US,US GAAP FASB,Coupon Bond,FALSE
en-US,US GAAP FASB,Coverdell Education Savings Account (Education IRA),FALSE
en-US,US GAAP FASB,CPA,FALSE
en-US,US GAAP FASB,CPE,FALSE
en-US,US GAAP FASB,Credit,FALSE
en-US,US GAAP FASB,Credit Agreement,FALSE
en-US,US GAAP FASB,Credit Balance,FALSE
en-US,US GAAP FASB,Creditor,FALSE
en-US,US GAAP FASB,Current Asset,FALSE
en-US,US GAAP FASB,Current Liability,FALSE
en-US,US GAAP FASB,Current Ratio,FALSE
en-US,US GAAP FASB,Current Value,FALSE
en-US,US GAAP FASB,Current Yield,FALSE
en-US,US GAAP FASB,Date of Auditors'/Accountants' Report,FALSE
en-US,US GAAP FASB,DDB,FALSE
en-US,US GAAP FASB,Dealer,FALSE
en-US,US GAAP FASB,Death Benefit,FALSE
en-US,US GAAP FASB,Debenture,FALSE
en-US,US GAAP FASB,Debenture Stock,FALSE
en-US,US GAAP FASB,Debit,FALSE
en-US,US GAAP FASB,Debit Balance,FALSE
en-US,US GAAP FASB,Debt,FALSE
en-US,US GAAP FASB,Debt Instrument,FALSE
en-US,US GAAP FASB,Debt Retirement,FALSE
en-US,US GAAP FASB,Debt Security,FALSE
en-US,US GAAP FASB,Debt Service Fund,FALSE
en-US,US GAAP FASB,Debt-to-Equity Ratio,FALSE
en-US,US GAAP FASB,Debtor,FALSE
en-US,US GAAP FASB,Decedent,FALSE
en-US,US GAAP FASB,Declare,FALSE
