Term Locale,Term Category,Term,Alias,Case Sensitive
en-GB,Accounting - IFRS,account payable,A/P,False
en-GB,Accounting - IFRS,account receivable,A/R,False
en-GB,Accounting - IFRS,accountancy firm,,False
en-GB,Accounting - IFRS,accountancy profession,,False
en-GB,Accounting - IFRS,accounting,,False
en-GB,Accounting - IFRS,accounting equation,,False
en-GB,Accounting - IFRS,accounting period,,False
en-GB,Accounting - IFRS,accounting policies,,False
en-GB,Accounting - IFRS,accounting standards,,False
en-GB,Accounting - IFRS,Accounting Standards Board,ASB,False
en-GB,Accounting - IFRS,accruals basis,,False
en-GB,Accounting - IFRS,accumulated depreciation,,False
en-GB,Accounting - IFRS,acid test,,False
en-GB,Accounting - IFRS,acquiree,,False
en-GB,Accounting - IFRS,acquirer,,False
en-GB,Accounting - IFRS,acquisition,,False
en-GB,Accounting - IFRS,acquisition method,,False
en-GB,Accounting - IFRS,administrative expenses,,False
en-GB,Accounting - IFRS,agency,,False
en-GB,Accounting - IFRS,agency theory,,False
en-GB,Accounting - IFRS,aggregate depreciation,,False
en-GB,Accounting - IFRS,allocate,,False
en-GB,Accounting - IFRS,allocated,,False
en-GB,Accounting - IFRS,amortisation,,False
en-GB,Accounting - IFRS,annual report,,False
en-GB,Accounting - IFRS,articles of association,,False
en-GB,Accounting - IFRS,articulation,,False
en-GB,Accounting - IFRS,assets,,False
en-GB,Accounting - IFRS,associated company,,False
en-GB,Accounting - IFRS,audit,,False
en-GB,Accounting - IFRS,audit manager,,False
en-GB,Accounting - IFRS,bad debt,,False
en-GB,Accounting - IFRS,balance sheet,,False
en-GB,Accounting - IFRS,bank facility,,False
en-GB,Accounting - IFRS,bond,,False
en-GB,Accounting - IFRS,broker,stockbroker,False
en-GB,Accounting - IFRS,broker's report,,False
en-GB,Accounting - IFRS,business combination,,False
en-GB,Accounting - IFRS,business cycle,,False
en-GB,Accounting - IFRS,business entity,,False
en-GB,Accounting - IFRS,called up,,False
en-GB,Accounting - IFRS,capital,,False
en-GB,Accounting - IFRS,capital expenditure,,False
en-GB,Accounting - IFRS,capitalisation issue,,False
en-GB,Accounting - IFRS,cash,,False
en-GB,Accounting - IFRS,cash equivalents,,False
en-GB,Accounting - IFRS,cash flow projections,,False
en-GB,Accounting - IFRS,cash flow statement,,False
en-GB,Accounting - IFRS,chairman,,False
en-GB,Accounting - IFRS,charge,,False
en-GB,Accounting - IFRS,chief executive,CEO,False
en-GB,Accounting - IFRS,close season,,False
en-GB,Accounting - IFRS,commercial paper,,False
en-GB,Accounting - IFRS,Companies Act,,False
en-GB,Accounting - IFRS,comparability,,False
en-GB,Accounting - IFRS,completeness,,False
en-GB,Accounting - IFRS,conceptual framework,,False
en-GB,Accounting - IFRS,conservatism,,False
en-GB,Accounting - IFRS,consistency,,False
en-GB,Accounting - IFRS,consolidated financial statements,,False
en-GB,Accounting - IFRS,consolidation,,False
en-GB,Accounting - IFRS,contingent liabilities,,False
en-GB,Accounting - IFRS,control,,False
en-GB,Accounting - IFRS,convertible loan,,False
en-GB,Accounting - IFRS,corporate governance,,False
en-GB,Accounting - IFRS,corporate recovery department,,False
en-GB,Accounting - IFRS,corporate social responsibility,,False
en-GB,Accounting - IFRS,corporation tax,,False
en-GB,Accounting - IFRS,cost,,False
en-GB,Accounting - IFRS,cost of goods sold,COGS,False
en-GB,Accounting - IFRS,cost of sales,COS,False
en-GB,Accounting - IFRS,coupon,,False
en-GB,Accounting - IFRS,credit,,False
en-GB,Accounting - IFRS,credit note,,False
en-GB,Accounting - IFRS,credit purchase,,False
en-GB,Accounting - IFRS,credit sale,,False
en-GB,Accounting - IFRS,creditor,,False
en-GB,Accounting - IFRS,critical event,,False
en-GB,Accounting - IFRS,current asset,,False
en-GB,Accounting - IFRS,current liability,,False
en-GB,Accounting - IFRS,current value,,False
en-GB,Accounting - IFRS,customers' collection period,,False
en-GB,Accounting - IFRS,cut-off procedures,,False
en-GB,Accounting - IFRS,debenture,,False
en-GB,Accounting - IFRS,debtor,,False
en-GB,Accounting - IFRS,deep discount bond,,False
en-GB,Accounting - IFRS,default,,False
en-GB,Accounting - IFRS,deferred asset,,False
en-GB,Accounting - IFRS,deferred income,,False
en-GB,Accounting - IFRS,deferred taxation,,False
en-GB,Accounting - IFRS,depreciable amount,,False
en-GB,Accounting - IFRS,depreciation,,False
en-GB,Accounting - IFRS,derecognition,,False
en-GB,Accounting - IFRS,difference on consolidation,,False
en-GB,Accounting - IFRS,direct method,,False
en-GB,Accounting - IFRS,Directive,,False
en-GB,Accounting - IFRS,director,,False
en-GB,Accounting - IFRS,disclosed,,False
en-GB,Accounting - IFRS,discount received,,False
en-GB,Accounting - IFRS,dividend,,False
en-GB,Accounting - IFRS,dividend cover,,False
en-GB,Accounting - IFRS,dividend yield,,False
en-GB,Accounting - IFRS,doubtful debts,,False
en-GB,Accounting - IFRS,drawings,,False
en-GB,Accounting - IFRS,earnings for ordinary shareholders,,False
en-GB,Accounting - IFRS,earnings per share,,False
