Term Locale,Term Category,Term,Alias,Case Sensitive
en-GB,Accounting - UK GAAP,Actuarial Association of Europe,AAE,False
en-GB,Accounting - UK GAAP,Association of British Insurers,ABI,False
en-GB,Accounting - UK GAAP,Association of Consulting Actuaries,ACA,False
en-GB,Accounting - UK GAAP,Association of Chartered Certified Accountants,ACCA,False
en-GB,Accounting - UK GAAP,Actuarial Profession Standard,APS,False
en-GB,Accounting - UK GAAP,Actuarial Stakeholder Group,ASG,False
en-GB,Accounting - UK GAAP,Actuarial Standard Technical Memorandum 1,AS TM1,False
en-GB,Accounting - UK GAAP,"Department for Business, Innovation and Skills",BIS,False
en-GB,Accounting - UK GAAP,Consultative Committee of Accountancy Bodies,CCAB,False
en-GB,Accounting - UK GAAP,Committee of European Insurance and Occupational Pension Supervisors,CEIOPS,False
en-GB,Accounting - UK GAAP,Committee of European Securities Regulators,CESR,False
en-GB,Accounting - UK GAAP,Chartered Institute of Management Accountants,CIMA,False
en-GB,Accounting - UK GAAP,Chartered Institute of Public Finance and Accountancy,CIPFA,False
en-GB,Accounting - UK GAAP,Continuing Professional Development,CPD,False
en-GB,Accounting - UK GAAP,European Enforcers Coordination Sessions,EECS,False
en-GB,Accounting - UK GAAP,Department for Work and Pensions,DWP,False
en-GB,Accounting - UK GAAP,European Banking Authority,EBA,False
en-GB,Accounting - UK GAAP,European Central Bank,ECB,False
en-GB,Accounting - UK GAAP,European Financial Reporting Advisory Group,EFRAG,False
en-GB,Accounting - UK GAAP,European Group of Auditors’ Oversight Bodies,EGAOB,False
en-GB,Accounting - UK GAAP,European Insurance and Occupational Pensions Authority,EIOPA,False
en-GB,Accounting - UK GAAP,Ethical Standard,ES,False
en-GB,Accounting - UK GAAP,European Standard of Actuarial Practice,ESAP,False
en-GB,Accounting - UK GAAP,European Securities and Markets Authority,ESMA,False
en-GB,Accounting - UK GAAP,European Union,EU,False
en-GB,Accounting - UK GAAP,Financial Accounting Standards Board,FASB,False
en-GB,Accounting - UK GAAP,Financial Conduct Authority,FCA,False
en-GB,Accounting - UK GAAP,Federation of European Accountants,FEE,False
en-GB,Accounting - UK GAAP,Funeral Planning Authority,FPA,False
en-GB,Accounting - UK GAAP,Financial Reporting Council,FRC,False
en-GB,Accounting - UK GAAP,Financial Reporting Review Panel,FRRP,False
en-GB,Accounting - UK GAAP,Financial Reporting Standard,FRS,False
en-GB,Accounting - UK GAAP,Financial Reporting Standard for Smaller Entities,FRSSE,False
en-GB,Accounting - UK GAAP,Financial Stability Board,FSB,False
en-GB,Accounting - UK GAAP,Generally Accepted Accounting Practice,GAAP,False
en-GB,Accounting - UK GAAP,Government Actuary’s Department,GAD,False
en-GB,Accounting - UK GAAP,Her Majesty's Revenue & Customs,HMRC,False
en-GB,Accounting - UK GAAP,Her Majesty's Treasury,HMT,False
en-GB,Accounting - UK GAAP,International Actuarial Association,IAA,False
en-GB,Accounting - UK GAAP,International Auditing and Assurance Standards Board,IAASB,False
en-GB,Accounting - UK GAAP,International Association of Insurance Supervisers,IAIS,False
en-GB,Accounting - UK GAAP,International Accounting Standard,IAS,False
en-GB,Accounting - UK GAAP,International Accounting Standards Board,IASB,False
en-GB,Accounting - UK GAAP,Institute of Chartered Accountants in England and Wales,ICAEW,False
en-GB,Accounting - UK GAAP,Institute of Chartered Accountants of Scotland,ICAS,False
en-GB,Accounting - UK GAAP,International Ethics Standards Board for Accountants,IESBA,False
en-GB,Accounting - UK GAAP,International Federation of Accountants,IFAC,False
en-GB,Accounting - UK GAAP,Institute and Faculty of Actuaries,IFoA,False
en-GB,Accounting - UK GAAP,International Forum of Accounting Standard Setters,IFASS,False
en-GB,Accounting - UK GAAP,International Financial Reporting Standard,IFRS,False
en-GB,Accounting - UK GAAP,IFRS Interpretations Committee,IFRIC; International Financial Reporting Interpretations Committee,False
en-GB,Accounting - UK GAAP,International Forum of Independent Audit Regulators,IFIAR,False
en-GB,Accounting - UK GAAP,International Organisation of Securities Commissions,IOSCO,False
en-GB,Accounting - UK GAAP,International Standard of Auditing,ISA,False
en-GB,Accounting - UK GAAP,International Standard of Actuarial Practice,ISAP,False
en-GB,Accounting - UK GAAP,Joint Forum on Actuarial Regulation,JFAR,False
en-GB,Accounting - UK GAAP,National Association of Pension Funds,NAPF,False
en-GB,Accounting - UK GAAP,Own Risk and Solvency Assessment,ORSA,False
en-GB,Accounting - UK GAAP,Proactive Accounting Activities in Europe,PAAinE,False
en-GB,Accounting - UK GAAP,Public Company Accounting Oversight Board,PCAOB,False
en-GB,Accounting - UK GAAP,Prudential Regulation Authority,PRA,False
en-GB,Accounting - UK GAAP,Packaged Retail Investment Product,PRIP,False
en-GB,Accounting - UK GAAP,Securities and Exchange Commission,SEC,False
en-GB,Accounting - UK GAAP,Standard for Investment Reporting,SIR,False
en-GB,Accounting - UK GAAP,Small and Medium sized Enterprises,SME,False
en-GB,Accounting - UK GAAP,Statutory Money Purchase Illustration,SMPI,False
en-GB,Accounting - UK GAAP,Society of Actuaries,SOA,False
en-GB,Accounting - UK GAAP,Statement of Recommended Practice,SORP,False
en-GB,Accounting - UK GAAP,Technical Actuarial Standard,TAS,False
en-GB,Accounting - UK GAAP,The Pensions Regulator,TPR,False
en-GB,Accounting - UK GAAP,UK Generally Accepted Accounting Practice,UK GAAP,False
en-GB,Accounting - UK GAAP,accounting policies,,False
en-GB,Accounting - UK GAAP,accrual basis,,False
en-GB,Accounting - UK GAAP,accrual basis of accounting,,False
en-GB,Accounting - UK GAAP,accumulating compensated absences,,False
en-GB,Accounting - UK GAAP,acquisition date,,False
en-GB,Accounting - UK GAAP,active market,,False
en-GB,Accounting - UK GAAP,actuarial assumptions,,False
en-GB,Accounting - UK GAAP,actuarial gains and losses,,False
en-GB,Accounting - UK GAAP,agent,,False
en-GB,Accounting - UK GAAP,agricultural activity,,False
en-GB,Accounting - UK GAAP,agricultural produce,,False
en-GB,Accounting - UK GAAP,amortisation,,False
en-GB,Accounting - UK GAAP,amortised cost,,False
en-GB,Accounting - UK GAAP,amortised cost of a ﬁnancial asset,,False
en-GB,Accounting - UK GAAP,asset,,False
en-GB,Accounting - UK GAAP,asset held by a long-term employee beneﬁt fund,,False
en-GB,Accounting - UK GAAP,associate,,False
en-GB,Accounting - UK GAAP,biological asset,,False
en-GB,Accounting - UK GAAP,borrowing costs,,False
en-GB,Accounting - UK GAAP,business,,False
en-GB,Accounting - UK GAAP,business combination,,False
en-GB,Accounting - UK GAAP,carrying amount,,False
en-GB,Accounting - UK GAAP,cash,,False
en-GB,Accounting - UK GAAP,cash equivalents,,False
en-GB,Accounting - UK GAAP,cash ﬂows,,False
en-GB,Accounting - UK GAAP,cash-generating unit,,False
en-GB,Accounting - UK GAAP,cash-settled share-based payment transaction,,False
en-GB,Accounting - UK GAAP,change in accounting estimate,,False
en-GB,Accounting - UK GAAP,class of assets,,False
en-GB,Accounting - UK GAAP,close members of the family of a person,,False
en-GB,Accounting - UK GAAP,closing rate,,False
en-GB,Accounting - UK GAAP,combination that is in substance is a gift,,False
en-GB,Accounting - UK GAAP,commencement of lease term,,False
en-GB,Accounting - UK GAAP,component of an entity,,False
en-GB,Accounting - UK GAAP,compound ﬁnancial instrument,,False
