Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Accounting - FASB,12b-1,,False
en-US,Accounting - FASB,401(h) Accounts,,False
en-US,Accounting - FASB,Absolute Priority Doctrine,,False
en-US,Accounting - FASB,Accident Year,,False
en-US,Accounting - FASB,Accounting Change,,False
en-US,Accounting - FASB,Accretable Yield,,False
en-US,Accounting - FASB,Accretion Expense,,False
en-US,Accounting - FASB,Accumulated Benefit Obligation,,False
en-US,Accounting - FASB,Accumulated Eligibility Credits,,False
en-US,Accounting - FASB,Accumulated Plan Benefits,,False
en-US,Accounting - FASB,Accumulated Postretirement Benefit Obligation,,False
en-US,Accounting - FASB,Accumulation Phase,,False
en-US,Accounting - FASB,Acquiree,,False
en-US,Accounting - FASB,Acquirer,,False
en-US,Accounting - FASB,Acquisition by a Not-for-Profit Entity,,False
en-US,Accounting - FASB,Acquisition Costs,,False
en-US,Accounting - FASB,Acquisition Date,,False
en-US,Accounting - FASB,"Acquisition, Development, and Construction Arrangements",,False
en-US,Accounting - FASB,Acquisition of Properties,,False
en-US,Accounting - FASB,Active Market,,False
en-US,Accounting - FASB,Active Plan Participant,,False
en-US,Accounting - FASB,Active Use of the Property,,False
en-US,Accounting - FASB,Activities,,False
en-US,Accounting - FASB,Actual-Income-Available Method,,False
en-US,Accounting - FASB,Actual Return on Plan Assets,,False
en-US,Accounting - FASB,Actuarial Asset Value,,False
en-US,Accounting - FASB,Actuarial Calculation,,False
en-US,Accounting - FASB,Actuarial Calculation Date,,False
en-US,Accounting - FASB,Actuarial Cost Method,,False
en-US,Accounting - FASB,Actuarial Funding Method,,False
en-US,Accounting - FASB,Actuarial Gain,,False
en-US,Accounting - FASB,Actuarial Present Value,,False
en-US,Accounting - FASB,Actuarial Present Value of Accumulated Plan Benefits,,False
en-US,Accounting - FASB,ADC Arrangements,,False
en-US,Accounting - FASB,Adequate Compensation,,False
en-US,Accounting - FASB,Administrative Expenses,,False
en-US,Accounting - FASB,Administrative Service Arrangement,,False
en-US,Accounting - FASB,Advance Payments,,False
en-US,Accounting - FASB,Advance Refunding,,False
en-US,Accounting - FASB,Advance Royalty,,False
en-US,Accounting - FASB,Advances,,False
en-US,Accounting - FASB,Affiliate,,False
en-US,Accounting - FASB,Affiliated Entity,,False
en-US,Accounting - FASB,Affinity Program,,False
en-US,Accounting - FASB,Agency Transaction,,False
en-US,Accounting - FASB,Agent,,False
en-US,Accounting - FASB,Agricultural Cooperative,,False
en-US,Accounting - FASB,Agricultural Producers,,False
en-US,Accounting - FASB,Airbill,,False
en-US,Accounting - FASB,Air Cargo,,False
en-US,Accounting - FASB,Air Carrier,,False
en-US,Accounting - FASB,Airframe,,False
en-US,Accounting - FASB,Airframe Modifications,,False
en-US,Accounting - FASB,Airworthiness,,False
en-US,Accounting - FASB,All-in-One Hedge,,False
en-US,Accounting - FASB,Allocated Contract,,False
en-US,Accounting - FASB,Allocated Shares,,False
en-US,Accounting - FASB,Allowable Costs,,False
en-US,Accounting - FASB,Allowance for Funds Used during Construction,,False
en-US,Accounting - FASB,Allowed Claim,,False
en-US,Accounting - FASB,Alternative Minimum Tax,AMT,False
en-US,Accounting - FASB,Amenities,,False
en-US,Accounting - FASB,Amortization,,False
