Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Accounting - US GAAP,401(k) Plan,,False
en-US,Accounting - US GAAP,A Misstatement is Inconsequential,,False
en-US,Accounting - US GAAP,Abatement,,False
en-US,Accounting - US GAAP,Absorption Costing,,False
en-US,Accounting - US GAAP,Accelerated Depreciation,,False
en-US,Accounting - US GAAP,Account,,False
en-US,Accounting - US GAAP,Account Payable,,False
en-US,Accounting - US GAAP,Account Receivable,,False
en-US,Accounting - US GAAP,Accountable Plan,,False
en-US,Accounting - US GAAP,Accountant,,False
en-US,Accounting - US GAAP,Accountants' Report,,False
en-US,Accounting - US GAAP,Accounting,,False
en-US,Accounting - US GAAP,Accounting Change,,False
en-US,Accounting - US GAAP,Accounting Cycle,,False
en-US,Accounting - US GAAP,Accounting Principles Board,APB,False
en-US,Accounting - US GAAP,Accounts Payable Subsidiary Ledger,,False
en-US,Accounting - US GAAP,Accounts Receivable Turnover,,False
en-US,Accounting - US GAAP,Accrual,,False
en-US,Accounting - US GAAP,Accrual Accounting,,False
en-US,Accounting - US GAAP,Accrual Basis,,False
en-US,Accounting - US GAAP,Accrued Expense,,False
en-US,Accounting - US GAAP,Accrued Interest,,False
en-US,Accounting - US GAAP,Accumulated Depreciation,,False
en-US,Accounting - US GAAP,Accumulation,,False
en-US,Accounting - US GAAP,Acid-Test Ratio,,False
en-US,Accounting - US GAAP,Acquisition,,False
en-US,Accounting - US GAAP,Actuary,,False
en-US,Accounting - US GAAP,Additional Paid in Capital,APIC,False
en-US,Accounting - US GAAP,Adjusted Basis,,False
en-US,Accounting - US GAAP,Adjusted Gross Income,,False
en-US,Accounting - US GAAP,Adjusted Trial Balance,,False
en-US,Accounting - US GAAP,Adjusting Journal Entry,,False
en-US,Accounting - US GAAP,Adverse Opinion,,False
en-US,Accounting - US GAAP,Affiliated Company,,False
en-US,Accounting - US GAAP,Agency Fund,,False
en-US,Accounting - US GAAP,Allocate,,False
en-US,Accounting - US GAAP,Allowance for Doubtful Accounts,,False
en-US,Accounting - US GAAP,Alternative Dispute Resolution,,False
en-US,Accounting - US GAAP,Alternative Minimum Tax,AMT,False
en-US,Accounting - US GAAP,American Depository Receipt,ADR,False
en-US,Accounting - US GAAP,American Institute of Certified Public Accountants,AICPA,False
en-US,Accounting - US GAAP,Amortization,,False
en-US,Accounting - US GAAP,Analyst,,False
en-US,Accounting - US GAAP,Analytical Procedures,,False
en-US,Accounting - US GAAP,Annual Report,,False
en-US,Accounting - US GAAP,Annuity,,False
en-US,Accounting - US GAAP,Anti-Dilution,,False
en-US,Accounting - US GAAP,Appreciation,,False
en-US,Accounting - US GAAP,Assembly of Financial Statements,,False
en-US,Accounting - US GAAP,Assertion,,False
en-US,Accounting - US GAAP,Asset,,False
en-US,Accounting - US GAAP,Asset Turnover,,False
en-US,Accounting - US GAAP,At Par,,False
en-US,Accounting - US GAAP,Audit,,False
en-US,Accounting - US GAAP,Audit Documentation,,False
en-US,Accounting - US GAAP,Audit Engagement,,False
en-US,Accounting - US GAAP,Audit Risk,,False
en-US,Accounting - US GAAP,Audit Sampling,,False
en-US,Accounting - US GAAP,Auditing Standards,,False
en-US,Accounting - US GAAP,Auditor,,False
en-US,Accounting - US GAAP,Auditors' Report,,False
en-US,Accounting - US GAAP,Authorized Shares,,False
en-US,Accounting - US GAAP,Average Days' Inventory On-Hand,,False
en-US,Accounting - US GAAP,Average Days' Sales Uncollected,,False
en-US,Accounting - US GAAP,Average-Cost Method,,False
en-US,Accounting - US GAAP,Backup Withholding,,False
en-US,Accounting - US GAAP,Bad Debt,,False
en-US,Accounting - US GAAP,Balance,,False
en-US,Accounting - US GAAP,Bank Reconciliation,,False
en-US,Accounting - US GAAP,Bank Statement,,False
en-US,Accounting - US GAAP,Bankruptcy,,False
en-US,Accounting - US GAAP,Base Market Value,,False
en-US,Accounting - US GAAP,Beginning Inventory,,False
en-US,Accounting - US GAAP,Bequest,,False
en-US,Accounting - US GAAP,Beta Coefficient,,False
en-US,Accounting - US GAAP,Bid and Asked,,False
en-US,Accounting - US GAAP,Blue Sky Laws,,False
en-US,Accounting - US GAAP,Board of Directors,,False
en-US,Accounting - US GAAP,Bond,,False
en-US,Accounting - US GAAP,Bond Discount,,False
en-US,Accounting - US GAAP,Bond Indenture,,False
en-US,Accounting - US GAAP,Bondholder,,False
en-US,Accounting - US GAAP,Book Value,,False
en-US,Accounting - US GAAP,Bookkeeping,,False
en-US,Accounting - US GAAP,Boot,,False
en-US,Accounting - US GAAP,Bottom Line,,False
en-US,Accounting - US GAAP,Break-Even Point,,False
en-US,Accounting - US GAAP,Break-Even Units,,False
en-US,Accounting - US GAAP,Budget,,False
en-US,Accounting - US GAAP,Burden Rate,,False
en-US,Accounting - US GAAP,Business Combinations,,False
en-US,Accounting - US GAAP,Business Segment,,False
en-US,Accounting - US GAAP,Buyout,,False
en-US,Accounting - US GAAP,Bylaws,,False
en-US,Accounting - US GAAP,Cafeteria Plan,,False
en-US,Accounting - US GAAP,Call Loan,,False
en-US,Accounting - US GAAP,Call Price,,False
en-US,Accounting - US GAAP,Callable,,False
en-US,Accounting - US GAAP,Callable Instrument,,False
en-US,Accounting - US GAAP,Capital Asset Pricing Model,CAPM,False
en-US,Accounting - US GAAP,Capital Expenditure,,False
en-US,Accounting - US GAAP,Capital Gain,,False
en-US,Accounting - US GAAP,Capital Projects Funds,,False
en-US,Accounting - US GAAP,Capital Stock,,False
en-US,Accounting - US GAAP,Capitalize,,False
en-US,Accounting - US GAAP,Capitalized Cost,,False
en-US,Accounting - US GAAP,Capitalized Interest,,False
en-US,Accounting - US GAAP,Capitalized Lease,,False
en-US,Accounting - US GAAP,Carrying Value,,False
en-US,Accounting - US GAAP,Carryovers,,False
en-US,Accounting - US GAAP,Cash,,False
en-US,Accounting - US GAAP,Cash Account,,False
en-US,Accounting - US GAAP,Cash Basis,,False
en-US,Accounting - US GAAP,Cash Dividend,,False
en-US,Accounting - US GAAP,Cash Equivalents,,False
en-US,Accounting - US GAAP,Cash Flow to Assets,,False
en-US,Accounting - US GAAP,Cash Flow to Sales,,False
en-US,Accounting - US GAAP,Cash Flows,,False
en-US,Accounting - US GAAP,Cash Payments Journal,,False
en-US,Accounting - US GAAP,Cash Ratio,,False
en-US,Accounting - US GAAP,Cash Receipts Journal,,False
en-US,Accounting - US GAAP,Casualty Loss,,False
en-US,Accounting - US GAAP,Certificate of Deposit,CD,False
en-US,Accounting - US GAAP,Certified Financial Planner,CFP,False
en-US,Accounting - US GAAP,Certified Internal Auditor,CIA,False
en-US,Accounting - US GAAP,Certified Management Accountant,CMA,False
en-US,Accounting - US GAAP,Certified Public Accountant,CPA,False
en-US,Accounting - US GAAP,Chief Executive Officer,CEO,False
en-US,Accounting - US GAAP,Chief Financial Officer,CFO,False
en-US,Accounting - US GAAP,Claim for Refund,,False
en-US,Accounting - US GAAP,Clean Opinion,,False
en-US,Accounting - US GAAP,Close,,False
en-US,Accounting - US GAAP,Closed-End Mutual Fund,,False
en-US,Accounting - US GAAP,Closing Entry,,False
en-US,Accounting - US GAAP,Co-Mingling,,False
en-US,Accounting - US GAAP,Collateral,,False
en-US,Accounting - US GAAP,Collateralized Mortgage Obligation,CMO,False
en-US,Accounting - US GAAP,Combined Financial Statement,,False
en-US,Accounting - US GAAP,Comfort Letter,,False
en-US,Accounting - US GAAP,Commercial Paper,,False
en-US,Accounting - US GAAP,Commission,,False
en-US,Accounting - US GAAP,Committee of Sponsoring Organizations of the Treadway Commission,COSO,False
en-US,Accounting - US GAAP,Commodities,,False
en-US,Accounting - US GAAP,Common Stock,,False
en-US,Accounting - US GAAP,Company,,False
en-US,Accounting - US GAAP,Company Level Controls,,False
en-US,Accounting - US GAAP,Comparative Financial Statement,,False
en-US,Accounting - US GAAP,Compensate,,False
en-US,Accounting - US GAAP,Compensatory Balance,,False
en-US,Accounting - US GAAP,Compilation,,False
en-US,Accounting - US GAAP,Compilation Engagement,,False
en-US,Accounting - US GAAP,Compilation Report,,False
en-US,Accounting - US GAAP,Complex Trust,,False
en-US,Accounting - US GAAP,Compliance Audit,,False
en-US,Accounting - US GAAP,Compound Interest Principles,,False
en-US,Accounting - US GAAP,Comprehensive Income,,False
en-US,Accounting - US GAAP,Condensed Financial Statement,,False
en-US,Accounting - US GAAP,Confirmation,,False
en-US,Accounting - US GAAP,Conservatism,,False
en-US,Accounting - US GAAP,Consistency,,False
en-US,Accounting - US GAAP,Consolidated Financial Statements,,False
en-US,Accounting - US GAAP,Consolidation,,False
en-US,Accounting - US GAAP,Constructive Receipt,,False
en-US,Accounting - US GAAP,Consumer Goods,,False
en-US,Accounting - US GAAP,Contingency,,False
en-US,Accounting - US GAAP,Contingent Liability,,False
en-US,Accounting - US GAAP,Continuing Operations,,False
en-US,Accounting - US GAAP,Continuing Professional Education,CPE,False
en-US,Accounting - US GAAP,Contra Account,,False
en-US,Accounting - US GAAP,Contra-Liability Account,,False
en-US,Accounting - US GAAP,Contract,,False
en-US,Accounting - US GAAP,Contributed Capital,,False
en-US,Accounting - US GAAP,Contribution Margin,,False
en-US,Accounting - US GAAP,Control Deficiency,,False
en-US,Accounting - US GAAP,Control Risk,,False
en-US,Accounting - US GAAP,Controls Tests,,False
en-US,Accounting - US GAAP,Conversion,,False
en-US,Accounting - US GAAP,Convertible Stock,,False
en-US,Accounting - US GAAP,Copyright,,False
en-US,Accounting - US GAAP,Corporate Bond,,False
en-US,Accounting - US GAAP,Corporate Income Tax,,False
en-US,Accounting - US GAAP,Corporation,,False
en-US,Accounting - US GAAP,Cost Accounting,,False
en-US,Accounting - US GAAP,Cost Basis,,False
en-US,Accounting - US GAAP,Cost of Capital,,False
en-US,Accounting - US GAAP,Cost of Goods Sold,,False
en-US,Accounting - US GAAP,Cost Recovery Method,,False
en-US,Accounting - US GAAP,Coupon,,False
en-US,Accounting - US GAAP,Coupon Bond,,False
en-US,Accounting - US GAAP,Coverdell Education Savings Account,Education IRA,False
en-US,Accounting - US GAAP,Credit,,False
en-US,Accounting - US GAAP,Credit Agreement,,False
en-US,Accounting - US GAAP,Credit Balance,,False
en-US,Accounting - US GAAP,Creditor,,False
en-US,Accounting - US GAAP,Current Asset,,False
en-US,Accounting - US GAAP,Current Liability,,False
en-US,Accounting - US GAAP,Current Ratio,,False
en-US,Accounting - US GAAP,Current Value,,False
en-US,Accounting - US GAAP,Current Yield,,False
en-US,Accounting - US GAAP,Date of Auditors' Report,,False
en-US,Accounting - US GAAP,Dealer,,False
en-US,Accounting - US GAAP,Death Benefit,,False
en-US,Accounting - US GAAP,Debenture,,False
en-US,Accounting - US GAAP,Debenture Stock,,False
en-US,Accounting - US GAAP,Debit,,False
en-US,Accounting - US GAAP,Debit Balance,,False
en-US,Accounting - US GAAP,Debt,,False
en-US,Accounting - US GAAP,Debt Instrument,,False
en-US,Accounting - US GAAP,Debt Retirement,,False
en-US,Accounting - US GAAP,Debt Security,,False
en-US,Accounting - US GAAP,Debt Service Fund,,False
en-US,Accounting - US GAAP,Debt-to-Equity Ratio,,False
en-US,Accounting - US GAAP,Debtor,,False
en-US,Accounting - US GAAP,Decedent,,False
en-US,Accounting - US GAAP,Declare,,False
en-US,Accounting - US GAAP,Declining-Balance Method,,False
en-US,Accounting - US GAAP,Defalcation,,False
en-US,Accounting - US GAAP,Default,,False
en-US,Accounting - US GAAP,Defeasance,,False
en-US,Accounting - US GAAP,Deferral,,False
en-US,Accounting - US GAAP,Deferred Charge,,False
en-US,Accounting - US GAAP,Deferred Income Taxes,,False
en-US,Accounting - US GAAP,Deferred Interest Bond,,False
en-US,Accounting - US GAAP,Deferred Payment Annuity,,False
en-US,Accounting - US GAAP,Deficiency in Design,,False
en-US,Accounting - US GAAP,Deficiency in Operation,,False
en-US,Accounting - US GAAP,Deficit,,False
en-US,Accounting - US GAAP,Defined Benefit Plan,,False
en-US,Accounting - US GAAP,Defined Contribution Plan,,False
en-US,Accounting - US GAAP,Deflation,,False
en-US,Accounting - US GAAP,Demand Loan,,False
en-US,Accounting - US GAAP,Dependent Care Expenses,,False
en-US,Accounting - US GAAP,Depletion,,False
en-US,Accounting - US GAAP,Deposit Method,,False
en-US,Accounting - US GAAP,Depreciation,,False
en-US,Accounting - US GAAP,Derivatives,,False
en-US,Accounting - US GAAP,Detailed Income Statement,,False
en-US,Accounting - US GAAP,Detection Risk,,False
en-US,Accounting - US GAAP,Detective Controls,,False
en-US,Accounting - US GAAP,Direct Labor Costs,,False
en-US,Accounting - US GAAP,Direct Material,,False
en-US,Accounting - US GAAP,Direct Overhead,,False
en-US,Accounting - US GAAP,Disbursement,,False
en-US,Accounting - US GAAP,Disclaimer of Opinion,,False
