Act Locale,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,CaseSensitive
en-US,33,,Securities,1933,FALSE
en-US,34,,Securities Exchange,1934,FALSE
en-US,35,,Public Utility Holding Company,1935,FALSE
en-US,40,,Investment Company,1940,FALSE
en-US,1933,,Securities,1933,FALSE
en-US,1934,,Securities Exchange,1934,FALSE
en-US,1935,,Public Utility Holding Company,1935,FALSE
en-US,1940,,Investment Company,1940,FALSE
en-US,21st Century,2008,Check Clearing for the 21st Century,2008,FALSE
en-US,21st Century Communications And Video Accessibility,2011,,,FALSE
en-US,Accountable Pipeline Safety and Partnership,1996,,,FALSE
en-US,Age Discrimination In Employment,1967,,,FALSE
en-US,Air Transportation Safety And System Stabilization,2001,,,FALSE
en-US,Airline Deregulation,1978,,,FALSE
en-US,Airport Noise And Capacity,1990,,,FALSE
en-US,Alcoholic Beverage Labeling,1988,Anti Drug Abuse,1988,FALSE
en-US,Alternative Energy Portfolio Standards,2004,,,FALSE
en-US,American Clean Energy And Security,2009,,,FALSE
en-US,American Job Creation,2004,American Jobs Creation,2004,FALSE
en-US,American Jobs Creation,2004,,,FALSE
en-US,American Jobs Creations,2004,American Jobs Creation,2004,FALSE
en-US,American Microturbine Manufacturing and Clean Energy Deployment,2014,,,FALSE
en-US,American Recovery And Reinvestment,2009,,,FALSE
en-US,American Recovery And Reinvestment Tax,2009,American Recovery And Reinvestment,2009,FALSE
en-US,American Taxpayer Relief,2012,,,FALSE
en-US,American With Disabilities,1990,Americans With Disabilities,1990,FALSE
en-US,Americans With 6 Disabilities,1990,Americans With Disabilities,1990,FALSE
en-US,Americans With Disabilities,1990,,,FALSE
en-US,Anti Drug Abuse,1988,,,FALSE
en-US,Anti Kickback,1986,,,FALSE
en-US,Anti Price Discrimination,1936,,,FALSE
en-US,Anti-Kickback,1986,,,FALSE
en-US,Antitrust Procedures And Penalties,1974,,,FALSE
en-US,Arms Export Control,1976,,,FALSE
en-US,Assignment Of Claims,1940,,,FALSE
en-US,Atomic Energy,1954,,,FALSE
en-US,Automobile Dealers' Day in Court,1964,,,FALSE
en-US,Aviation And Transportation Security,2001,,,FALSE
en-US,Aviation Noise And Capacity,1990,,,FALSE
en-US,Aviation Safety and Capacity Expansion,1990,,,FALSE
en-US,Aviation Safety And Noise Abatement,1979,,,FALSE
en-US,Balance Budget,1997,Balanced Budget,1997,FALSE
en-US,Balanced Budget,1997,,,FALSE
en-US,Balanced Budget Refinement,1999,,,FALSE
en-US,Bank Enterprise,1991,,,FALSE
en-US,Bank Holding Company,1956,,,FALSE
en-US,Bank Secrecy,1970,,,FALSE
en-US,Bank Service Company,1962,,,FALSE
en-US,Banking,1933,,,FALSE
en-US,Bankruptcy Reform,1978,,,FALSE
en-US,Benefits Improvement And Protection,2000,,,FALSE
en-US,Bhc,1956,Bank Holding Company,1956,FALSE
en-US,Bilingual Education,1968,Education,1968,FALSE
en-US,Bioterrorism Response,2001,Public Health Security and Bioterrorism Preparedness Response,2002,FALSE
en-US,Black Lung Benefits,1972,,,FALSE
en-US,Black Lung Benefits Revenue,1977,,,FALSE
en-US,Brady,1993,,,FALSE
en-US,Brady Handgun Violence Prevention,1993,,,FALSE
en-US,Broadcasting,1967,Public Broadcasting,1967,FALSE
en-US,Budget Reconciliation,1993,,,FALSE
en-US,Cable,1984,Cable Communications Policy,1984,FALSE
en-US,Cable,1992,,,FALSE
en-US,Cable Communications Policy,1984,,,FALSE
en-US,Cable Television Consumer Protection And Competition,1992,,,FALSE
