Term Locale,Term Category,Term,CaseSensitive
en-CA,Geopolitical,Administrative Tribunals Support Service of Canada,FALSE
en-CA,Geopolitical,Agriculture and Agri-Food Canada,FALSE
en-CA,Geopolitical,Atlantic Canada Opportunities Agency,FALSE
en-CA,Geopolitical,Atlantic Pilotage Authority Canada,FALSE
en-CA,Geopolitical,Atomic Energy of Canada Limited,FALSE
en-CA,Geopolitical,Auditor General of Canada,FALSE
en-CA,Geopolitical,Bank of Canada,FALSE
en-CA,Geopolitical,Blue Water Bridge Canada,FALSE
en-CA,Geopolitical,Business Development Bank of Canada,FALSE
en-CA,Geopolitical,Canada Agricultural Review Tribunal,FALSE
en-CA,Geopolitical,Canada Agriculture and Food Museum,FALSE
en-CA,Geopolitical,Canada Aviation and Space Museum,FALSE
en-CA,Geopolitical,Canada Border Services Agency,FALSE
en-CA,Geopolitical,Canada Council for the Arts,FALSE
en-CA,Geopolitical,Canada Deposit Insurance Corporation,FALSE
en-CA,Geopolitical,Canada Development Investment Corporation,FALSE
en-CA,Geopolitical,Canada Economic Development for Quebec Regions,FALSE
en-CA,Geopolitical,Canada Employment Insurance Commission,FALSE
en-CA,Geopolitical,Canada Firearms Centre,FALSE
en-CA,Geopolitical,Canada Industrial Relations Board,FALSE
en-CA,Geopolitical,Canada Lands Company Limited,FALSE
en-CA,Geopolitical,Canada Mortgage and Housing Corporation,FALSE
en-CA,Geopolitical,Canada Pension Plan Investment Board,FALSE
en-CA,Geopolitical,Canada Post,FALSE
en-CA,Geopolitical,Canada Research Chairs,FALSE
en-CA,Geopolitical,Canada Revenue Agency,FALSE
en-CA,Geopolitical,Canada School of Public Service,FALSE
en-CA,Geopolitical,Canadian Air Transport Security Authority,FALSE
en-CA,Geopolitical,Canadian Army,FALSE
en-CA,Geopolitical,Canadian Centre for Occupational Health and Safety,FALSE
en-CA,Geopolitical,Canadian Coast Guard,FALSE
en-CA,Geopolitical,Canadian Commercial Corporation,FALSE
en-CA,Geopolitical,Canadian Conservation Institute,FALSE
