Term Locale,Term Category,Term,CaseSensitive,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Prime Minister,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Attorney General,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Cabinet Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Business, Energy, and Industrial Strategy",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Communities and Local Government,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Digital, Culture, Media, and Sport",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Education,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Department for Environment, Food and Rural Affairs",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Exiting the European Union,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for International Development,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for International Trade,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Transport,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department for Work and Pensions,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Department of Health,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Foreign and Commonwealth Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Treasury,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Home Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ministry of Defence,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ministry of Justice,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Northern Ireland Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Advocate General for Scotland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Leader of the House of Commons,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Leader of the House of Lords,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of the Secretary of State for Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Scotland Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Export Finance,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Charity Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Competition and Markets Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Crown Prosecution Service,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Food Standards Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Forestry Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Actuary's Department,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Government Legal Department,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Land Registry,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,HM Revenue and Customs,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,NS and I,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Archives,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,National Crime Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Rail and Road,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ofgem,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Gas and Electricity Markets,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ofqual,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Office of Qualifications and Examinations Regulation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ofsted,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Office for Standards in Education, Children's Services and Skills",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Ordnance Survey,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Serious Fraud Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Supreme Court of the United Kingdom,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,UK Statistics Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Water Services Regulation Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Academy for Social Justice Commissioning,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Accelerated Access Review,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Adjudicator’s Office,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Administration of Radioactive Substances Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Animal Feedingstuffs,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Business Appointments,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Clinical Excellence Awards,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Conscientious Objectors,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Advisory, Conciliation & Arbitration Service",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Advisory, Conciliation, and Arbitration Service",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Advisory, Conciliation, & Arbitration Service",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Novel Foods and Processes,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on Releases to the Environment,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committee on the Microbiological Safety of Food,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Committees on Justices of the Peace,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Council on National Records and Archives,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Council on the Misuse of Drugs,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Advisory Group on Military Medicine,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Advisory, Conciliation and Arbitration Service",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Agriculture and Horticulture Development Board,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Air Accidents Investigation Branch,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Animal and Plant Health Agency,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Animals in Science Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Armed Forces' Pay Review Body,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Arts Council England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Arts Council of Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Arts and Humanities Research Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Bank of England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Big Lottery Fund,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Biometrics Commissioner,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Biotechnology and Biological Sciences Research Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Board of Trustees of the Royal Botanic Gardens Kew,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Boundary Commission for England,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Centre for Environment, Fisheries & Aquaculture Science",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Centre for Environment, Fisheries, and Aquaculture Science",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Centre for Environment, Fisheries, & Aquaculture Science",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Mutagenicity of Chemicals in Food, Consumer Products & the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Mutagenicity of Chemicals in Food, Consumer Products, and the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Boundary Commission for Northern Ireland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Boundary Commission for Scotland,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Boundary Commission for Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Toxicity of Chemicals in Food, Consumer Products & the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Committee on Toxicity of Chemicals in Food, Consumer Products, and the Environment",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Business Bank,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Film Institute,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Hallmarking Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Library,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Museum,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Pharmacopoeia Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,British Transport Police Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Broads Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Building Regulations Advisory Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Cafcass,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Care Quality Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Careers Wales,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Central Advisory Committee on Compensation,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Central Arbitration Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,"Centre for Environment, Fisheries and Aquaculture Science",FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Centre for the Protection of National Infrastructure,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Certification Officer,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Chevening Scholarship Programme,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Justice Council,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Nuclear Police Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Procedure Rule Committee,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Civil Service Commission,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Coal Authority,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
en-UK,Geopolitical,Commission on Human Medicines,FALSE,,,,,,,,,,,,,,,,,,,,,,,,
