Entity ID,Entity Type,Entity Name
1,Federal Agency,AbilityOne Commission
2,Federal Agency,Access Board
3,Federal Agency,Administration for Children and Families (ACF)
4,Federal Agency,Administration for Community Living
5,Federal Agency,Administration for Native Americans
6,Federal Agency,Administration on Aging
7,Federal Agency,Administration on Intellectual and Developmental Disabilities
8,Federal Agency,Administrative Conference of the United States
9,Federal Agency,Administrative Office of the U.S. Courts
10,Federal Agency,Advisory Council on Historic Preservation
11,Federal Agency,African Development Foundation
12,Federal Agency,Agency for Healthcare Research and Quality (AHRQ)
13,Federal Agency,Agency for International Development (USAID)
14,Federal Agency,Agency for Toxic Substances and Disease Registry
15,Federal Agency,Agricultural Marketing Service (AMS)
16,Federal Agency,Agricultural Research Service
17,Federal Agency,Agriculture Department (USDA)
18,Federal Agency,Air Force
19,Federal Agency,Air Force Reserve
20,Federal Agency,Alabama
21,Federal Agency,Alaska
22,Federal Agency,Alcohol and Tobacco Tax and Trade Bureau
23,Federal Agency,"Alcohol, Tobacco, Firearms and Explosives Bureau (ATF)"
24,Federal Agency,Alhurra TV
25,Federal Agency,AmeriCorps
26,Federal Agency,American Battle Monuments Commission
27,Federal Agency,American Samoa
28,Federal Agency,Amtrak (AMTRAK)
29,Federal Agency,Animal and Plant Health Inspection Service (APHIS)
30,Federal Agency,Antitrust Division
31,Federal Agency,Architect of the Capitol
32,Federal Agency,"Archives, National Archives and Records Administration (NARA)"
33,Federal Agency,Arctic Research Commission
34,Federal Agency,Arizona
35,Federal Agency,Arkansas
36,Federal Agency,Armed Forces Retirement Home
37,Federal Agency,Arms Control and International Security
38,Federal Agency,Army
39,Federal Agency,Army Corps of Engineers
40,Federal Agency,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of"
41,Federal Agency,Bankruptcy Courts
42,Federal Agency,Barry M. Goldwater Scholarship and Excellence in Education Program
43,Federal Agency,Bonneville Power Administration
44,Federal Agency,Botanic Garden
45,Federal Agency,Broadcasting Board of Governors
46,Federal Agency,Bureau of Alcohol and Tobacco Tax and Trade
47,Federal Agency,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)"
48,Federal Agency,Bureau of Consular Affairs
49,Federal Agency,Bureau of Consumer Financial Protection
50,Federal Agency,Bureau of Economic Analysis (BEA)
51,Federal Agency,Bureau of Engraving and Printing (BEP)
52,Federal Agency,Bureau of Indian Affairs
53,Federal Agency,Bureau of Industry and Security (BIS)
54,Federal Agency,Bureau of International Labor Affairs
55,Federal Agency,Bureau of Justice Statistics
56,Federal Agency,Bureau of Labor Statistics
57,Federal Agency,Bureau of Land Management (BLM)
58,Federal Agency,Bureau of Ocean Energy Management
59,Federal Agency,Bureau of Prisons (BOP)
60,Federal Agency,Bureau of Reclamation
61,Federal Agency,Bureau of Safety and Environmental Enforcement
62,Federal Agency,Bureau of Transportation Statistics
63,Federal Agency,Bureau of the Census
64,Federal Agency,Bureau of the Fiscal Service
65,Federal Agency,California
66,Federal Agency,Capitol Police
67,Federal Agency,Capitol Visitor Center
68,Federal Agency,"Career, Technical, and Adult Education, Office of"
69,Federal Agency,Census Bureau
70,Federal Agency,Center for Food Safety and Applied Nutrition
71,Federal Agency,Center for Nutrition Policy and Promotion (CNPP)
72,Federal Agency,Centers for Disease Control and Prevention (CDC)
73,Federal Agency,Centers for Medicare and Medicaid Services (CMS)
74,Federal Agency,Central Command (CENTCOM)
75,Federal Agency,Central Intelligence Agency (CIA)
76,Federal Agency,Chemical Safety Board
77,Federal Agency,Chief Acquisition Officers Council
78,Federal Agency,Chief Financial Officers Council
79,Federal Agency,Chief Human Capital Officers Council
80,Federal Agency,Chief Information Officers Council
81,Federal Agency,"Child Support Enforcement, Office of (OCSE)"
82,Federal Agency,Citizens' Stamp Advisory Committee
83,Federal Agency,Citizenship and Immigration Services (USCIS)
84,Federal Agency,"Civil Rights, Department of Education Office of"
85,Federal Agency,"Civil Rights, Department of Health and Human Services Office for"
86,Federal Agency,Coast Guard
87,Federal Agency,Colorado
88,Federal Agency,Commerce Department (DOC)
89,Federal Agency,Commission of Fine Arts
90,Federal Agency,Commission on Civil Rights
91,Federal Agency,Commission on International Religious Freedom
92,Federal Agency,Commission on Presidential Scholars
93,Federal Agency,Commission on Security and Cooperation in Europe (Helsinki Commission)
94,Federal Agency,Committee for the Implementation of Textile Agreements
95,Federal Agency,Committee on Foreign Investment in the United States
96,Federal Agency,Commodity Futures Trading Commission (CFTC)
97,Federal Agency,Community Oriented Policing Services (COPS)
98,Federal Agency,Community Planning and Development
99,Federal Agency,"Compliance, Office of"
100,Federal Agency,"Comptroller of the Currency, Office of (OCC)"
101,Federal Agency,Computer Emergency Readiness Team (US CERT)
102,Federal Agency,Congress?U.S. House of Representatives
103,Federal Agency,Congress?U.S. Senate
104,Federal Agency,Congressional Budget Office (CBO)
105,Federal Agency,Congressional Research Service
106,Federal Agency,Connecticut
107,Federal Agency,"Consular Affairs, Bureau of"
108,Federal Agency,Consumer Financial Protection Bureau
109,Federal Agency,Consumer Product Safety Commission (CPSC)
110,Federal Agency,Coordinating Council on Juvenile Justice and Delinquency Prevention
111,Federal Agency,Copyright Office
112,Federal Agency,Corporation for National and Community Service
