Term Locale,Term Type,Term,CaseSensitive
en-US,US Federal Agencies,AbilityOne Commission,FALSE
en-US,US Federal Agencies,Access Board,FALSE
en-US,US Federal Agencies,Administration for Children and Families,FALSE
en-US,US Federal Agencies,Administration for Community Living,FALSE
en-US,US Federal Agencies,Administration for Native Americans,FALSE
en-US,US Federal Agencies,Administration on Aging,FALSE
en-US,US Federal Agencies,Administration on Intellectual and Developmental Disabilities,FALSE
en-US,US Federal Agencies,Administrative Conference of the United States,FALSE
en-US,US Federal Agencies,Administrative Office of the U.S. Courts,FALSE
en-US,US Federal Agencies,Advisory Council on Historic Preservation,FALSE
en-US,US Federal Agencies,African Development Foundation,FALSE
en-US,US Federal Agencies,Agency for Healthcare Research and Quality,FALSE
en-US,US Federal Agencies,Agency for International Development,FALSE
en-US,US Federal Agencies,Agency for Toxic Substances and Disease Registry,FALSE
en-US,US Federal Agencies,Agricultural Marketing Service,FALSE
en-US,US Federal Agencies,Agricultural Research Service,FALSE
en-US,US Federal Agencies,Agriculture Department,FALSE
en-US,US Federal Agencies,Air Force,FALSE
en-US,US Federal Agencies,Air Force Reserve,FALSE
en-US,US Federal Agencies,Alabama,FALSE
en-US,US Federal Agencies,Alaska,FALSE
en-US,US Federal Agencies,Alcohol and Tobacco Tax and Trade Bureau,FALSE
en-US,US Federal Agencies,"Alcohol, Tobacco, Firearms and Explosives Bureau",FALSE
en-US,US Federal Agencies,Alhurra TV,FALSE
en-US,US Federal Agencies,AmeriCorps,FALSE
en-US,US Federal Agencies,American Battle Monuments Commission,FALSE
en-US,US Federal Agencies,American Samoa,FALSE
en-US,US Federal Agencies,Amtrak,FALSE
en-US,US Federal Agencies,Animal and Plant Health Inspection Service,FALSE
en-US,US Federal Agencies,Antitrust Division,FALSE
en-US,US Federal Agencies,Architect of the Capitol,FALSE
en-US,US Federal Agencies,"Archives, National Archives and Records Administration",FALSE
en-US,US Federal Agencies,Arctic Research Commission,FALSE
en-US,US Federal Agencies,Arizona,FALSE
en-US,US Federal Agencies,Arkansas,FALSE
en-US,US Federal Agencies,Armed Forces Retirement Home,FALSE
en-US,US Federal Agencies,Arms Control and International Security,FALSE
en-US,US Federal Agencies,Army,FALSE
en-US,US Federal Agencies,Army Corps of Engineers,FALSE
en-US,US Federal Agencies,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of",FALSE
en-US,US Federal Agencies,Bankruptcy Courts,FALSE
en-US,US Federal Agencies,Barry M. Goldwater Scholarship and Excellence in Education Program,FALSE
en-US,US Federal Agencies,Bonneville Power Administration,FALSE
en-US,US Federal Agencies,Botanic Garden,FALSE
en-US,US Federal Agencies,Broadcasting Board of Governors,FALSE
en-US,US Federal Agencies,Bureau of Alcohol and Tobacco Tax and Trade,FALSE
en-US,US Federal Agencies,"Bureau of Alcohol, Tobacco, Firearms and Explosives",FALSE
en-US,US Federal Agencies,Bureau of Consular Affairs,FALSE
en-US,US Federal Agencies,Bureau of Consumer Financial Protection,FALSE
