Term Locale,Term Type,Term,CaseSensitive
en-US,Michigan Agencies,Department of Agriculture & Rural Development,FALSE
en-US,Michigan Agencies,Department of Attorney General,FALSE
en-US,Michigan Agencies,Department of Civil Rights,FALSE
en-US,Michigan Agencies,Department of Community Health,FALSE
en-US,Michigan Agencies,Department of Corrections,FALSE
en-US,Michigan Agencies,Department of Education,FALSE
en-US,Michigan Agencies,Department of Environmental Quality,FALSE
en-US,Michigan Agencies,Department of Human Services,FALSE
en-US,Michigan Agencies,Department of Insurance & Financial Services,FALSE
en-US,Michigan Agencies,Department of Licensing & Regulatory Affairs,FALSE
en-US,Michigan Agencies,Department of Military & Veterans Affairs,FALSE
en-US,Michigan Agencies,Department of Natural Resources,FALSE
en-US,Michigan Agencies,Department of State,FALSE
en-US,Michigan Agencies,Department of State Police,FALSE
en-US,Michigan Agencies,"Department of Technology, Management & Budget",FALSE
en-US,Michigan Agencies,Department of Talent and Economic Development,FALSE
en-US,Michigan Agencies,Department of Transportation,FALSE
en-US,Michigan Agencies,Department of Treasury,FALSE
en-US,Michigan Agencies,State Administrative Board,FALSE
en-US,Michigan Agencies,Civil Service Commission,FALSE
en-US,Michigan Agencies,Mackinac Bridge Authority,FALSE
en-US,Michigan Agencies,Mackinac Island State Park Commission,FALSE
en-US,Michigan Agencies,Michigan Lottery,FALSE
en-US,Michigan Agencies,Michigan Railroad Commission,FALSE
en-US,Michigan Agencies,Michigan Volunteer Defense Force,FALSE
en-US,Michigan Agencies,Michigan Occupational Safety and Health Administration,FALSE
en-US,Michigan Agencies,Customer Services Administration,FALSE
en-US,Michigan Agencies,Department Services Administration,FALSE
en-US,Michigan Agencies,Legal and Regulatory Services Administration,FALSE
en-US,Michigan Agencies,Bureau of Branch Office Services,FALSE
en-US,Michigan Agencies,Bureau of Driver and Vehicle Records,FALSE
en-US,Michigan Agencies,Office of Customer Services,FALSE
en-US,Michigan Agencies,Department of State Information Center,FALSE
en-US,Michigan Agencies,Office of Technology and Project Services,FALSE
en-US,Michigan Agencies,Office of Services to the Aging,FALSE
en-US,Michigan Agencies,Board of State Canvassers,FALSE
