Court ID,Level,Court Type (en-US),Court Type (de-DE),Court Name,,,,,,,,,,,,,,,,,,,,,,,
1,Federal,Constitutional Court,Verfassungsgericht,Bundesverfassungsgericht,,,,,,,,,,,,,,,,,,,,,,,
2,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,,,
3,Federal,Constitutional Court,Verfassungsgericht,Bayerischer Verfassungsgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
4,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Landes Berlin,,,,,,,,,,,,,,,,,,,,,,,
5,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgericht des Landes Brandenburg,,,,,,,,,,,,,,,,,,,,,,,
6,Federal,Constitutional Court,Verfassungsgericht,Staatsgerichtshof der Freien Hansestadt Bremen,,,,,,,,,,,,,,,,,,,,,,,
7,Federal,Constitutional Court,Verfassungsgericht,Hamburgisches Verfassungsgericht,,,,,,,,,,,,,,,,,,,,,,,
8,Federal,Constitutional Court,Verfassungsgericht,Staatsgerichtshof des Landes Hessen,,,,,,,,,,,,,,,,,,,,,,,
9,Federal,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Mecklenburg-Vorpommern,,,,,,,,,,,,,,,,,,,,,,,
10,Federal,Constitutional Court,Verfassungsgericht,Niedersächsischer Staatsgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
11,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Nordrhein-Westfalen,,,,,,,,,,,,,,,,,,,,,,,
12,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof Rheinland-Pfalz,,,,,,,,,,,,,,,,,,,,,,,
13,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Saarlandes,,,,,,,,,,,,,,,,,,,,,,,
14,Federal,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Freistaates Sachsen,,,,,,,,,,,,,,,,,,,,,,,
15,Federal,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Sachsen-Anhalt,,,,,,,,,,,,,,,,,,,,,,,
16,Federal,Constitutional Court,Verfassungsgericht,Schleswig-Holsteinisches Landesverfassungsgericht,,,,,,,,,,,,,,,,,,,,,,,
17,Federal,Constitutional Court,Verfassungsgericht,Thüringer Verfassungsgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
18,Supreme Court,Supreme Court,Oberster Gerichtshof des Bundes,Bundesgerichtshof,,,,,,,,,,,,,,,,,,,,,,,
19,Federal,Intellectual Property Court,Bundesgericht für Angelegenheiten des gewerblichen Rechtsschutzes,Bundespatentgericht,,,,,,,,,,,,,,,,,,,,,,,
20,,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,
21,State,Regional Court,Landgerichte,Landgericht Baden-Baden,,,,,,,,,,,,,,,,,,,,,,,
22,,Local Court,Amtsgerichte,Amtsgericht Achern,,,,,,,,,,,,,,,,,,,,,,,
23,,Local Court,Amtsgerichte,Baden-Baden,,,,,,,,,,,,,,,,,,,,,,,
24,,Local Court,Amtsgerichte,Bühl,,,,,,,,,,,,,,,,,,,,,,,
25,,Local Court,Amtsgerichte,Gernsbach,,,,,,,,,,,,,,,,,,,,,,,
26,,Local Court,Amtsgerichte,Rastatt,,,,,,,,,,,,,,,,,,,,,,,
27,State,Regional Court,Landgerichte,Landgericht Freiburg,,,,,,,,,,,,,,,,,,,,,,,
28,,Local Court,Amtsgerichte,Amtsgericht Breisach,,,,,,,,,,,,,,,,,,,,,,,
29,,Local Court,Amtsgerichte,Emmendingen,,,,,,,,,,,,,,,,,,,,,,,
30,,Local Court,Amtsgerichte,Ettenheim,,,,,,,,,,,,,,,,,,,,,,,
31,,Local Court,Amtsgerichte,Freiburg im Breisgau,,,,,,,,,,,,,,,,,,,,,,,
32,,Local Court,Amtsgerichte,Kenzingen,,,,,,,,,,,,,,,,,,,,,,,
33,,Local Court,Amtsgerichte,Lörrach,,,,,,,,,,,,,,,,,,,,,,,
34,,Local Court,Amtsgerichte,Müllheim ,,,,,,,,,,,,,,,,,,,,,,,
35,,Local Court,Amtsgerichte,Staufen im Breisgau,,,,,,,,,,,,,,,,,,,,,,,
36,,Local Court,Amtsgerichte,Titisee-Neustadt,,,,,,,,,,,,,,,,,,,,,,,
37,,Local Court,Amtsgerichte,Waldkirch,,,,,,,,,,,,,,,,,,,,,,,
38,State,Regional Court,Landgerichte,Landgericht Heidelberg,,,,,,,,,,,,,,,,,,,,,,,
39,,Local Court,Amtsgerichte,Amtsgericht Heidelberg,,,,,,,,,,,,,,,,,,,,,,,
40,,Local Court,Amtsgerichte,Sinsheim,,,,,,,,,,,,,,,,,,,,,,,
41,,Local Court,Amtsgerichte,Wiesloch,,,,,,,,,,,,,,,,,,,,,,,
42,State,Regional Court,Landgerichte,Landgericht Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,
43,,Local Court,Amtsgerichte,Amtsgericht Bretten,,,,,,,,,,,,,,,,,,,,,,,
44,,Local Court,Amtsgerichte,Bruchsal,,,,,,,,,,,,,,,,,,,,,,,
45,,Local Court,Amtsgerichte,Ettlingen,,,,,,,,,,,,,,,,,,,,,,,
46,,Local Court,Amtsgerichte,Karlsruhe,,,,,,,,,,,,,,,,,,,,,,,
47,,Local Court,Amtsgerichte,Karlsruhe-Durlach,,,,,,,,,,,,,,,,,,,,,,,
48,,Local Court,Amtsgerichte,Maulbronn,,,,,,,,,,,,,,,,,,,,,,,
49,,Local Court,Amtsgerichte,Pforzheim,,,,,,,,,,,,,,,,,,,,,,,
50,,Local Court,Amtsgerichte,Philippsburg,,,,,,,,,,,,,,,,,,,,,,,
51,State,Regional Court,Landgerichte,Landgericht Konstanz,,,,,,,,,,,,,,,,,,,,,,,
52,,Local Court,Amtsgerichte,Amtsgericht Donaueschingen,,,,,,,,,,,,,,,,,,,,,,,
53,,Local Court,Amtsgerichte,Konstanz,,,,,,,,,,,,,,,,,,,,,,,
54,,Local Court,Amtsgerichte,Radolfzell,,,,,,,,,,,,,,,,,,,,,,,
55,,Local Court,Amtsgerichte,Singen,,,,,,,,,,,,,,,,,,,,,,,
56,,Local Court,Amtsgerichte,Stockach,,,,,,,,,,,,,,,,,,,,,,,
