Court ID,Court Type,Court Name,Court Abbreviation
1,Court of Last Resort,United States Supreme Court,U.S.
2,Appellate Courts,First Circuit,1st Cir.
3,Appellate Courts,Second Circuit,2nd Cir.
4,Appellate Courts,Third Circuit,3rd Cir.
5,Appellate Courts,Fourth Circuit,4th Cir.
6,Appellate Courts,Fifth Circuit,5th Cir.
7,Appellate Courts,Sixth Circuit,6th Cir.
8,Appellate Courts,Seventh Circuit,7th Cir.
9,Appellate Courts,Eighth Circuit,8th Cir.
10,Appellate Courts,Ninth Circuit,9th Cir.
11,Appellate Courts,Tenth Circuit,10th Cir.
12,Appellate Courts,Eleventh Circuit,11th Cir.
13,Appellate Courts,D.C. Circuit,D.C. Cir.
14,Appellate Courts,Federal Circuit,Fed. Cir.
15,Federal District Court,Middle District of Alabama,M.D. Ala.
16,Federal District Court,Northern District of Alabama,N.D. Ala.
17,Federal District Court,Southern District of Alabama,S.D. Ala.
18,Federal District Court,District of Alaska,D. Alaska
19,Federal District Court,District of Arizona,D. Ariz.
20,Federal District Court,Eastern District of Arkansas,E.D. Ark.
21,Federal District Court,Western District of Arkansas,W.D. Ark.
22,Federal District Court,Central District of California,C.D. Cal.
23,Federal District Court,Eastern District of California,E.D. Cal.
24,Federal District Court,Northern District of California,N.D. Cal.
25,Federal District Court,Southern District of California,S.D. Cal.
26,Federal District Court,District of the Canal Zone,D.C.Z.
27,Federal District Court,District of Colorado,D. Colo.
28,Federal District Court,District of Connecticut,D. Conn.
29,Federal District Court,District of Delaware,D. Del.
30,Federal District Court,District of D.C.,D.D.C.
31,Federal District Court,Middle District of Florida,M.D. Fla.
32,Federal District Court,Northern District of Florida,N.D. Fla.
33,Federal District Court,Southern District of Florida,S.D. Fla.
34,Federal District Court,Middle District of Georgia,M.D. Ga.
35,Federal District Court,Northern District of Georgia,N.D. Ga.
36,Federal District Court,Southern District of Georgia,S.D. Ga.
37,Federal District Court,District of Guam,D. Guam
38,Federal District Court,District of Hawaii,D. Haw.
39,Federal District Court,District of Idaho,D. Idaho
40,Federal District Court,Central District of Illinois,C.D. Ill.
41,Federal District Court,Northern District of Illinois,N.D. Ill.
42,Federal District Court,Northern District of Indiana,N.D. Ind.
