Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Financial,account,,False
en-US,Financial,account description,,False
en-US,Financial,account note,,False
en-US,Financial,account type,,False
en-US,Financial,accrual method,,False
en-US,Financial,accrued interest,,False
en-US,Financial,American Depository Receipt,ADR,True
en-US,Financial,American Depository Share,ADS,True
en-US,Financial,after tax real rate of return,after-tax real rate of return,False
en-US,Financial,all or none order,,False
en-US,Financial,american-style option,,False
en-US,Financial,annualized return,,False
en-US,Financial,arbitrage,,False
en-US,Financial,ask,,False
en-US,Financial,asset,,False
en-US,Financial,asset allocation,,False
en-US,Financial,asset classes,,False
en-US,Financial,asset classes,,False
en-US,Financial,assigned on an option transaction,,False
en-US,Financial,at-the-money option,,False
en-US,Financial,average annual return,,False
en-US,Financial,average cost,,False
en-US,Financial,average daily volume,,False
en-US,Financial,average price,,False
en-US,Financial,average proceed,,False
en-US,Financial,baby bond,,False
en-US,Financial,balance sheet,,False
en-US,Financial,balance sheet return,,False
en-US,Financial,balanced equities,,False
en-US,Financial,bank information,,False
en-US,Financial,basis,,False
en-US,Financial,basis point,,False
en-US,Financial,bearer certificate,,False
en-US,Financial,beta,,False
en-US,Financial,bid,,False
en-US,Financial,block trade,,False
en-US,Financial,bond prices,,False
en-US,Financial,bond type,,False
en-US,Financial,book/share,,False
en-US,Financial,broker,,False
en-US,Financial,dealer,,False
en-US,Financial,business,,False
en-US,Financial,buy,,False
en-US,Financial,buys,,False
en-US,Financial,buy-to-cover,,False
en-US,Financial,buying power,,False
en-US,Financial,call option,,False
en-US,Financial,callable,,False
en-US,Financial,canceled order,,False
en-US,Financial,capital gains,,False
en-US,Financial,capital stock,,False
en-US,Financial,cash account,,False
en-US,Financial,cash available,,False
en-US,Financial,cash balance,,False
en-US,Financial,cash flow,,False
en-US,Financial,cash market,,False
en-US,Financial,cash/share,,False
en-US,Financial,cd rate,,False
en-US,Financial,certificate of deposit,,False
en-US,Financial,class a shares,,False
en-US,Financial,class b shares,,False
en-US,Financial,clearinghouse,,False
en-US,Financial,closed to new accounts,,False
en-US,Financial,closing commission,,False
en-US,Financial,closing price,,False
en-US,Financial,commercial paper,,False
en-US,Financial,commission,,False
en-US,Financial,common shares,,False
en-US,Financial,contract size of an equity option,,False
en-US,Financial,conversion price,,False
en-US,Financial,convertible bond,,False
en-US,Financial,corporate bond,,False
en-US,Financial,covered calls,,False
en-US,Financial,credit balance,,False
en-US,Financial,cumulative return,,False
en-US,Financial,current year high,,False
en-US,Financial,current year low,,False
en-US,Financial,current price-earnings,,False
en-US,Financial,current P/E,,False
en-US,Financial,current yield,,False
en-US,Financial,cusip number,,False
en-US,Financial,date of record,,False
en-US,Financial,debenture,,False
en-US,Financial,debit balance,,False
en-US,Financial,debt securities,,False
en-US,Financial,debt service,,False
en-US,Financial,debt/equity ratio,,False
en-US,Financial,discount rate,,False
en-US,Financial,distributions,,False
en-US,Financial,dividend,,False
en-US,Financial,dividend frequency,,False
en-US,Financial,dividend growth rate,,False
en-US,Financial,divident year started,,False
en-US,Financial,dividend/share,,False
en-US,Financial,DIJA 200-day moving average,,False
en-US,Financial,DIJA P/E,,True
en-US,Financial,DIJA price/book,,False
en-US,Financial,djia yield,,False
en-US,Financial,dow jones industrial average,DJIA,False
en-US,Financial,dow jones transportation average,DJTA,False
en-US,Financial,duration of an order,,False
en-US,Financial,dvp account,,False
en-US,Financial,rvp account,,False
en-US,Financial,earnings per share,EPS,False
en-US,Financial,equity,,False
en-US,Financial,equity security,,False
en-US,Financial,european-style option,,False
en-US,Financial,ex-dividend,,False
en-US,Financial,exchange,,False
en-US,Financial,exchange call,,False
en-US,Financial,executed order,,False
en-US,Financial,exercised on an option transaction,,False
en-US,Financial,extended hours trading,,False
en-US,Financial,face value,,False
en-US,Financial,federal call,,False
en-US,Financial,fees and charges,fees & charges,False
en-US,Financial,fiscal policy,,False
en-US,Financial,fiscal year,,False
en-US,Financial,five-year fee,five year fee,False
en-US,Financial,flexible equitites,,False
en-US,Financial,floating rate,,False
en-US,Financial,front-end load,front end load,False
en-US,Financial,futures,,False
en-US,Financial,general obligation bond,,False
en-US,Financial,ginnie mae,,False
en-US,Financial,government national mortgage association,GNMA,False
en-US,Financial,glamour stock,,False
en-US,Financial,global bonds,,False
en-US,Financial,global equities,,False
en-US,Financial,gold,,False
en-US,Financial,government bonds,,False
en-US,Financial,gross domestic product,GDP,False
en-US,Financial,gmp,,False
en-US,Financial,growth,,False
