Term Locale,Term Category,Term,CaseSensitive
en-US,Financial,account,FALSE
en-US,Financial,account description,FALSE
en-US,Financial,account note,FALSE
en-US,Financial,account type,FALSE
en-US,Financial,accrual method,FALSE
en-US,Financial,accrued interest,FALSE
en-US,Financial,ADR,TRUE
en-US,Financial,ADS,TRUE
en-US,Financial,after tax real rate of return,FALSE
en-US,Financial,after-tax real rate of return,FALSE
en-US,Financial,all or none order,FALSE
en-US,Financial,american-style option,FALSE
en-US,Financial,annualized return,FALSE
en-US,Financial,arbitrage,FALSE
en-US,Financial,ask,FALSE
en-US,Financial,asset,FALSE
en-US,Financial,asset allocation,FALSE
en-US,Financial,asset classes,FALSE
en-US,Financial,asset classes,FALSE
en-US,Financial,assigned on an option transaction,FALSE
en-US,Financial,at-the-money option,FALSE
en-US,Financial,average annual return,FALSE
en-US,Financial,average cost,FALSE
en-US,Financial,average daily volume,FALSE
en-US,Financial,average price,FALSE
en-US,Financial,average proceed,FALSE
en-US,Financial,baby bond,FALSE
en-US,Financial,balance sheet,FALSE
en-US,Financial,balance sheet return,FALSE
en-US,Financial,balanced equities,FALSE
en-US,Financial,bank information,FALSE
en-US,Financial,basis,FALSE
en-US,Financial,basis point,FALSE
en-US,Financial,bearer certificate,FALSE
en-US,Financial,beta,FALSE
en-US,Financial,bid,FALSE
en-US,Financial,block trade,FALSE
en-US,Financial,bond prices,FALSE
en-US,Financial,bond type,FALSE
en-US,Financial,book/share,FALSE
en-US,Financial,broker,FALSE
en-US,Financial,dealer,FALSE
en-US,Financial,business,FALSE
en-US,Financial,buy,FALSE
en-US,Financial,buys,FALSE
en-US,Financial,buy-to-cover,FALSE
en-US,Financial,buying power,FALSE
en-US,Financial,call option,FALSE
en-US,Financial,callable,FALSE
en-US,Financial,canceled order,FALSE
en-US,Financial,capital gains,FALSE
en-US,Financial,capital stock,FALSE
en-US,Financial,cash account,FALSE
en-US,Financial,cash available,FALSE
en-US,Financial,cash balance,FALSE
en-US,Financial,cash flow,FALSE
en-US,Financial,cash market,FALSE
en-US,Financial,cash/share,FALSE
en-US,Financial,cd rate,FALSE
en-US,Financial,certificate of deposit,FALSE
en-US,Financial,class a shares,FALSE
en-US,Financial,class b shares,FALSE
en-US,Financial,clearinghouse,FALSE
en-US,Financial,closed to new accounts,FALSE
en-US,Financial,closing commission,FALSE
en-US,Financial,closing price,FALSE
en-US,Financial,commercial paper,FALSE
en-US,Financial,commission,FALSE
en-US,Financial,common shares,FALSE
en-US,Financial,contract size of an equity option,FALSE
en-US,Financial,conversion price,FALSE
en-US,Financial,convertible bond,FALSE
en-US,Financial,corporate bond,FALSE
en-US,Financial,covered calls,FALSE
en-US,Financial,credit balance,FALSE
en-US,Financial,cumulative return,FALSE
en-US,Financial,current year high,FALSE
en-US,Financial,current year low,FALSE
en-US,Financial,current price-earnings,FALSE
en-US,Financial,current P/E,FALSE
en-US,Financial,current yield,FALSE
en-US,Financial,cusip number,FALSE
en-US,Financial,date of record,FALSE
en-US,Financial,debenture,FALSE
en-US,Financial,debit balance,FALSE
en-US,Financial,debt securities,FALSE
en-US,Financial,debt service,FALSE
en-US,Financial,debt/equity ratio,FALSE
en-US,Financial,discount rate,FALSE
en-US,Financial,distributions,FALSE
en-US,Financial,dividend,FALSE
en-US,Financial,dividend frequency,FALSE
en-US,Financial,dividend growth rate,FALSE
en-US,Financial,divident year started,FALSE
en-US,Financial,dividend/share,FALSE
en-US,Financial,DIJA 200-day moving average,FALSE
en-US,Financial,DIJA P/E,TRUE
en-US,Financial,DIJA price/book,FALSE
en-US,Financial,djia yield,FALSE
en-US,Financial,dow jones industrial average,FALSE
en-US,Financial,DIJA,TRUE
en-US,Financial,dow jones transportation average,FALSE
en-US,Financial,DJTA,TRUE
en-US,Financial,duration of an order,FALSE
en-US,Financial,dvp account,FALSE
en-US,Financial,rvp account,FALSE
en-US,Financial,earnings per share,FALSE
en-US,Financial,equity,FALSE
en-US,Financial,equity security,FALSE
en-US,Financial,european-style option,FALSE
en-US,Financial,ex-dividend,FALSE
en-US,Financial,exchange,FALSE
en-US,Financial,exchange call,FALSE
en-US,Financial,executed order,FALSE
en-US,Financial,exercised on an option transaction,FALSE
en-US,Financial,extended hours trading,FALSE
en-US,Financial,face value,FALSE
en-US,Financial,federal call,FALSE
en-US,Financial,fees and charges,FALSE
en-US,Financial,fees & charges,FALSE
en-US,Financial,fiscal policy,FALSE
en-US,Financial,fiscal year,FALSE
