Term Locale,Term Category,Term,Alias,Case Sensitive
en-AU,Australian Regulators,Attorney-General's Department,,FALSE
en-AU,Australian Regulators,Department of Agriculture and Water Resources,,FALSE
en-AU,Australian Regulators,Department of Communications and the Arts,,FALSE
en-AU,Australian Regulators,Department of Defence,Department of Defense; Ministry of War,FALSE
en-AU,Australian Regulators,Department of Education and Training,,FALSE
en-AU,Australian Regulators,Department of Employment,,FALSE
en-AU,Australian Regulators,Department of Finance,,FALSE
en-AU,Australian Regulators,Department of Foreign Affairs and Trade,DFAT,FALSE
en-AU,Australian Regulators,Department of Health,,FALSE
en-AU,Australian Regulators,Department of Human Services,DHS,FALSE
en-AU,Australian Regulators,Department of Immigration and Border Protection,DIBP,FALSE
en-AU,Australian Regulators,"Department of Industry, Innovation and Science",,FALSE
en-AU,Australian Regulators,Department of Infrastructure and Regional Development,,FALSE
en-AU,Australian Regulators,Department of Social Services,,FALSE
en-AU,Australian Regulators,Department of the Environment and Energy,,FALSE
en-AU,Australian Regulators,Department of the Prime Minister and Cabinet,PM&C,FALSE
en-AU,Australian Regulators,Department of Veterans' Affairs,,FALSE
en-AU,Australian Regulators,Treasury,,FALSE
en-AU,Australian Regulators,Australian Broadcasting Corporation,ABC,FALSE
en-AU,Australian Regulators,Aboriginal Hostels Limited,AHL,FALSE
en-AU,Australian Regulators,Administrative Appeals Tribunal,AAT,FALSE
en-AU,Australian Regulators,Airservices Australia,,FALSE
en-AU,Australian Regulators,Anindilyakwa Land Council,ALC,FALSE
en-AU,Australian Regulators,Army and Air Force Canteen Service,AAFCANS,FALSE
en-AU,Australian Regulators,Asbestos Safety and Eradication Agency,,FALSE
en-AU,Australian Regulators,Auditing and Assurance Standards Board,AUASB,FALSE
en-AU,Australian Regulators,Australian Trade and Investment Commission,Austrade,FALSE
en-AU,Australian Regulators,Australia Council for the Arts,Australia Council,FALSE
en-AU,Australian Regulators,Australia Post,Australian Postal Commission; Australian Postal Corporation,FALSE
en-AU,Australian Regulators,Australian Accounting Standards Board,AASB,FALSE
en-AU,Australian Regulators,Australian Aged Care Quality Agency,AACQA,FALSE
en-AU,Australian Regulators,Australian Border Force,ABF,FALSE
en-AU,Australian Regulators,Australian Bureau of Statistics,ABS,FALSE
en-AU,Australian Regulators,Australian Centre for International Agricultural Research,ACIAR,FALSE
en-AU,Australian Regulators,Attorney General's Department,,FALSE
en-AU,Australian Regulators,Australian Charities and Not-for-profits Commission,ACNC,FALSE
en-AU,Australian Regulators,Australian Charities and Not for profits Commission,,FALSE
en-AU,Australian Regulators,Australian Civil-Military Centre,ACMC,FALSE
en-AU,Australian Regulators,Australian Commission for Law Enforcement Integrity,ACLEI,FALSE
en-AU,Australian Regulators,Australian Commission on Safety and Quality in Health Care,ACSQHC,FALSE
en-AU,Australian Regulators,Australian Communications and Media Authority,ACMA,FALSE
en-AU,Australian Regulators,Australian Competition and Consumer Commission,ACCC,FALSE
