Term Locale,Term Category,Term,Alias,Case Sensitive
en-CA,Canadian Regulators,Administrative Tribunals Support Service of Canada,ATSSC,
en-CA,Canadian Regulators,Agriculture and Agri-Food Canada,AAFC,
en-CA,Canadian Regulators,Atlantic Canada Opportunities Agency,ACOA,
en-CA,Canadian Regulators,Atlantic Pilotage Authority Canada,APA,
en-CA,Canadian Regulators,Atomic Energy of Canada Limited,AECL,
en-CA,Canadian Regulators,Auditor General of Canada,OAG,
en-CA,Canadian Regulators,Bank of Canada,,
en-CA,Canadian Regulators,Blue Water Bridge Canada,BWB,
en-CA,Canadian Regulators,Business Development Bank of Canada,BDC,
en-CA,Canadian Regulators,Canada Agricultural Review Tribunal,CART,
en-CA,Canadian Regulators,Canada Agriculture and Food Museum,,
en-CA,Canadian Regulators,Canada Aviation and Space Museum,,
en-CA,Canadian Regulators,Canada Border Services Agency,CBSA,
en-CA,Canadian Regulators,Canada Council for the Arts,,
en-CA,Canadian Regulators,Canada Deposit Insurance Corporation,CDIC,
en-CA,Canadian Regulators,Canada Development Investment Corporation,CDEV,
en-CA,Canadian Regulators,Canada Economic Development for Quebec Regions,CED,
en-CA,Canadian Regulators,Canada Employment Insurance Commission,CEIC,
en-CA,Canadian Regulators,Canada Firearms Centre,CAFC,
en-CA,Canadian Regulators,Canada Industrial Relations Board,CIRB,
en-CA,Canadian Regulators,Canada Lands Company Limited,CLC,
en-CA,Canadian Regulators,Canada Mortgage and Housing Corporation,CMHC,
en-CA,Canadian Regulators,Canada Pension Plan Investment Board,CPPIB,
en-CA,Canadian Regulators,Canada Post,CPC,
en-CA,Canadian Regulators,Canada Research Chairs,,
en-CA,Canadian Regulators,Canada Revenue Agency,CRA,
en-CA,Canadian Regulators,Canada School of Public Service,CSPS,
en-CA,Canadian Regulators,Canadian Air Transport Security Authority,CATSA,
en-CA,Canadian Regulators,Canadian Army,CA,
en-CA,Canadian Regulators,Canadian Centre for Occupational Health and Safety,CCOHS,
en-CA,Canadian Regulators,Canadian Coast Guard,CCG,
en-CA,Canadian Regulators,Canadian Commercial Corporation,CCC,
en-CA,Canadian Regulators,Canadian Conservation Institute,CCI,
en-CA,Canadian Regulators,Canadian Cultural Property Export Review Board,,
en-CA,Canadian Regulators,Canadian Dairy Commission,CDC,
en-CA,Canadian Regulators,Canadian Environmental Assessment Agency,CEAA,
en-CA,Canadian Regulators,Canadian Food Inspection Agency,CFIA,
en-CA,Canadian Regulators,Canadian Grain Commission,CGC,
en-CA,Canadian Regulators,Canadian Heritage,PCH,
en-CA,Canadian Regulators,Canadian Heritage Information Network,CHIN,
en-CA,Canadian Regulators,Canadian Human Rights Commission,CHRC,
en-CA,Canadian Regulators,Canadian Institutes of Health Research,CIHR,
en-CA,Canadian Regulators,Canadian Intellectual Property Office,CIPO,
en-CA,Canadian Regulators,Canadian Intergovernmental Conference Secretariat,CICS,
en-CA,Canadian Regulators,Canadian International Trade Tribunal,CITT,
en-CA,Canadian Regulators,Canadian Judicial Council,CJC,
en-CA,Canadian Regulators,Canadian Museum for Human Rights,CMHR,
en-CA,Canadian Regulators,Canadian Museum of History,CMH,
en-CA,Canadian Regulators,Canadian Museum of Immigration at Pier 21,CMIP,
en-CA,Canadian Regulators,Canadian Museum of Nature,CMN,
en-CA,Canadian Regulators,Canadian Northern Economic Development Agency,CanNor,
en-CA,Canadian Regulators,Canadian Nuclear Safety Commission,CNSC,
en-CA,Canadian Regulators,Canadian Pari-Mutuel Agency,CPMA,
en-CA,Canadian Regulators,Canadian Police College,CPC,
en-CA,Canadian Regulators,Canadian Race Relations Foundation,CRRF,
en-CA,Canadian Regulators,Canadian Radio-Television and Telecommunications Commission,CRTC,
en-CA,Canadian Regulators,Canadian Security Intelligence Service,CSIS,
en-CA,Canadian Regulators,Canadian Space Agency,CSA,
en-CA,Canadian Regulators,Canadian Special Operations Forces Command,CANSOFCOM,
en-CA,Canadian Regulators,Destination Canada,DC,
en-CA,Canadian Regulators,Canadian Trade Commissioner Service,TCS,
en-CA,Canadian Regulators,Canadian Transportation Agency,CTA,
en-CA,Canadian Regulators,Canadian War Museum,,
en-CA,Canadian Regulators,Canadian Radio Television and Telecommunications Commission,CBC; Radio-Canada,
en-CA,Canadian Regulators,Civilian Review and Complaints Commission for the RCMP,CRCC,
en-CA,Canadian Regulators,Commissioner for Federal Judicial Affairs Canada,FJA,
en-CA,Canadian Regulators,Commissioner of Lobbying of Canada ,OCL,
en-CA,Canadian Regulators,Commissioner of Official Languages,OCOL,
en-CA,Canadian Regulators,Communications Research Centre Canada,CRC,
en-CA,Canadian Regulators,Communications Security Establishment Canada,CSEC,
en-CA,Canadian Regulators,Communications Security Establishment Commissioner,OCSEC,
en-CA,Canadian Regulators,Competition Bureau Canada,COBU,
en-CA,Canadian Regulators,Competition Tribunal,,
en-CA,Canadian Regulators,Conflict of Interest and Ethics Commissioner,CIEC,
en-CA,Canadian Regulators,Copyright Board Canada,CB,
en-CA,Canadian Regulators,CORCAN,,
en-CA,Canadian Regulators,Correctional Investigator Canada,OCI,
en-CA,Canadian Regulators,Correctional Service Canada,CSC,
en-CA,Canadian Regulators,Courts Administration Service,CAS,
en-CA,Canadian Regulators,Court Martial Appeal Court of Canada,CMAC,
en-CA,Canadian Regulators,Bank of Canada Museum,,
en-CA,Canadian Regulators,Defence Construction Canada,DCC,
en-CA,Canadian Regulators,Defence Research and Development Canada,DRDC,
en-CA,Canadian Regulators,Democratic Institutions,,
en-CA,Canadian Regulators,Elections Canada,Elections,
en-CA,Canadian Regulators,Employment and Social Development Canada,ESDC,
en-CA,Canadian Regulators,Environment and Climate Change Canada,ECCC,
en-CA,Canadian Regulators,Environmental Protection Review Canada,EPRC,
en-CA,Canadian Regulators,Export Development Canada,EDC,
en-CA,Canadian Regulators,Farm Credit Canada,FCC,
en-CA,Canadian Regulators,Farm Products Council of Canada,FPCC,
en-CA,Canadian Regulators,Federal Bridge Corporation,FBCL,
en-CA,Canadian Regulators,Federal Court of Appeal,FCA,
en-CA,Canadian Regulators,Federal Court of Canada,FC,
en-CA,Canadian Regulators,Federal Economic Development Agency for Southern Ontario,FedDev Ontario,
en-CA,Canadian Regulators,Federal Ombudsman for Victims Of Crime,OFOVC,
en-CA,Canadian Regulators,Finance Canada,FIN,
en-CA,Canadian Regulators,Financial Consumer Agency of Canada,FCAC,
en-CA,Canadian Regulators,Financial Transactions and Reports Analysis Centre of Canada,FINTRAC,
en-CA,Canadian Regulators,Fisheries and Oceans Canada,DFO,
en-CA,Canadian Regulators,Freshwater Fish Marketing Corporation,FFMC,
en-CA,Canadian Regulators,Global Affairs Canada,GAC,
en-CA,Canadian Regulators,Governor General of Canada,OSGG,
en-CA,Canadian Regulators,Great Lakes Pilotage Authority Canada,GLPA,
en-CA,Canadian Regulators,Health Canada,HC,
en-CA,Canadian Regulators,Historic Sites and Monuments Board of Canada,HSMBC,
en-CA,Canadian Regulators,Human Rights Tribunal of Canada,HRTC,
en-CA,Canadian Regulators,Immigration and Refugee Board of Canada,IRB,
en-CA,Canadian Regulators,"Immigration, Refugees and Citizenship Canada",IRCC,
en-CA,Canadian Regulators,Independent Review Panel for Defence Acquisition,IRPDA,
en-CA,Canadian Regulators,Indian Oil and Gas Canada,,
en-CA,Canadian Regulators,Indigenous and Northern Affairs Canada,INAC,
en-CA,Canadian Regulators,Industrial Technologies Office,ITO,
en-CA,Canadian Regulators,Information Commissioner,OIC,
en-CA,Canadian Regulators,Infrastructure Canada,INFC,
en-CA,Canadian Regulators,"Innovation, Science and Economic Development Canada",ISED,
en-CA,Canadian Regulators,Intergovernmental Affairs,,
en-CA,Canadian Regulators,International Development Research Centre,IDRC,
en-CA,Canadian Regulators,Jacques Cartier and Champlain Bridges,JCCBI,
en-CA,Canadian Regulators,Justice Canada,JUS,
en-CA,Canadian Regulators,Labour Program,,
en-CA,Canadian Regulators,Laurentian Pilotage Authority Canada,LPA,
en-CA,Canadian Regulators,Leader of the Government in the House of Commons,,
en-CA,Canadian Regulators,Library and Archives Canada,LAC,
en-CA,Canadian Regulators,Marine Atlantic,,
en-CA,Canadian Regulators,Measurement Canada,MC,
en-CA,Canadian Regulators,Military Grievances External Review Committee,MGERC,
en-CA,Canadian Regulators,Military Police Complaints Commission of Canada,MPCC,
en-CA,Canadian Regulators,National Arts Centre,NAC,
en-CA,Canadian Regulators,National Battlefields Commission,NBC,
en-CA,Canadian Regulators,National Capital Commission,NCC,
en-CA,Canadian Regulators,National Defence,DND,
en-CA,Canadian Regulators,Ombudsman for the Department of National Defence and the Canadian Forces,,
en-CA,Canadian Regulators,National Energy Board,NEB,
en-CA,Canadian Regulators,National Film Board,NFB,
en-CA,Canadian Regulators,National Gallery of Canada,NGC,
en-CA,Canadian Regulators,Canada Science and Technology Museums Corporation,,
en-CA,Canadian Regulators,Canada Science and Technology Museum,,
en-CA,Canadian Regulators,National Research Council Canada,NRC,
en-CA,Canadian Regulators,Natural Resources Canada,NRCan,
en-CA,Canadian Regulators,National Seniors Council,,
en-CA,Canadian Regulators,Natural Sciences and Engineering Research Canada,NSERC,
en-CA,Canadian Regulators,Northern Pipeline Agency Canada,NPA,
en-CA,Canadian Regulators,Occupational Health and Safety Tribunal Canada,OHSTC,
en-CA,Canadian Regulators,Office of the Chief Military Judge,OCMJ,
en-CA,Canadian Regulators,Pacific Pilotage Authority Canada,PPA,
en-CA,Canadian Regulators,Parks Canada,PC,
en-CA,Canadian Regulators,Parole Board of Canada,PBC,
en-CA,Canadian Regulators,Parliament of Canada,,
en-CA,Canadian Regulators,Patented Medicine Prices Review Board Canada,PMPRB,
en-CA,Canadian Regulators,Polar Knowledge Canada,POLAR,
en-CA,Canadian Regulators,PPP Canada,P3C,
en-CA,Canadian Regulators,Prime Minister of Canada,,
en-CA,Canadian Regulators,Privacy Commissioner of Canada,OPC,
en-CA,Canadian Regulators,Privy Council Office,PCO,
en-CA,Canadian Regulators,Procurement Ombudsman,OPO,
en-CA,Canadian Regulators,Public Health Agency of Canada,PHAC,
en-CA,Canadian Regulators,Public Prosecution Service of Canada,PPSC,
en-CA,Canadian Regulators,Public Safety Canada,PS,
en-CA,Canadian Regulators,Public Sector Integrity Commissioner of Canada,PSIC,
en-CA,Canadian Regulators,Public Sector Pension Investment Board,PSP Investments,
en-CA,Canadian Regulators,Public Servants Disclosure Protection Tribunal Canada,PSDPTC,
en-CA,Canadian Regulators,Public Service Commission of Canada,PSC,
en-CA,Canadian Regulators,Public Service Labour Relations and Employment Board,PSLREB,
en-CA,Canadian Regulators,Public Services and Procurement Canada,PSPC,
en-CA,Canadian Regulators,Registry of the Specific Claims Tribunal of Canada,SCT,
en-CA,Canadian Regulators,Ridley Terminals Inc.,,
en-CA,Canadian Regulators,Royal Canadian Air Force,RCAF,
en-CA,Canadian Regulators,Royal Canadian Mint,Mint,
en-CA,Canadian Regulators,Royal Canadian Mounted Police,RCMP,
en-CA,Canadian Regulators,Royal Canadian Mounted Police External Review Committee,ERC,
en-CA,Canadian Regulators,Royal Canadian Navy,RCN,
en-CA,Canadian Regulators,Royal Military College of Canada,RMCC,
en-CA,Canadian Regulators,Security Intelligence Review Committee,SIRC,
en-CA,Canadian Regulators,Service Canada,ServCan,
en-CA,Canadian Regulators,Shared Services Canada,SSC,
en-CA,Canadian Regulators,Social Sciences and Humanities Research Council of Canada,SSHRC,
en-CA,Canadian Regulators,Social Security Tribunal of Canada,SST,
en-CA,Canadian Regulators,Standards Council of Canada,SCC-CCN,
en-CA,Canadian Regulators,Statistics Canada,StatCan,
en-CA,Canadian Regulators,Status of Women Canada,SWC,
en-CA,Canadian Regulators,Superintendent of Bankruptcy Canada,OSB,
en-CA,Canadian Regulators,Superintendent of Financial Institutions Canada,OSFI,
en-CA,Canadian Regulators,Supreme Court of Canada,SCC,
en-CA,Canadian Regulators,Tax Court of Canada,TCC,
en-CA,Canadian Regulators,Taxpayers' Ombudsman,OTO,
en-CA,Canadian Regulators,Telefilm Canada,,
en-CA,Canadian Regulators,Translation Bureau,,
en-CA,Canadian Regulators,Transport Canada,TC,
en-CA,Canadian Regulators,Transportation Appeal Tribunal of Canada,TATC,
en-CA,Canadian Regulators,Transportation Safety Board of Canada,TSB,
en-CA,Canadian Regulators,Treasury Board of Canada Secretariat,TBS,
en-CA,Canadian Regulators,Veterans Affairs Canada,VAC,
en-CA,Canadian Regulators,Veterans' Ombudsman,,
en-CA,Canadian Regulators,Veterans Review and Appeal Board,VRAB,
en-CA,Canadian Regulators,VIA Rail Canada,VIA Rail,
en-CA,Canadian Regulators,Virtual Museum of Canada,VMC,
en-CA,Canadian Regulators,Western Economic Diversification Canada,WD,
