Term Locale,Term Category,Court ID,Level,Jurisdiction,Court Type,Court Name,Alias
en-US,Geopolitical - Courts,1,Supreme Court,Federal,Supreme Court,United States Supreme Court,U.S.; Supreme Court; SCOTUS
en-US,Geopolitical - Courts,2,Federal,,Appellate Courts,First Circuit,1st Cir.
en-US,Geopolitical - Courts,3,Federal,,Appellate Courts,Second Circuit,2nd Cir.
en-US,Geopolitical - Courts,4,Federal,,Appellate Courts,Third Circuit,3rd Cir.
en-US,Geopolitical - Courts,5,Federal,,Appellate Courts,Fourth Circuit,4th Cir.
en-US,Geopolitical - Courts,6,Federal,,Appellate Courts,Fifth Circuit,5th Cir.
en-US,Geopolitical - Courts,7,Federal,,Appellate Courts,Sixth Circuit,6th Cir.
en-US,Geopolitical - Courts,8,Federal,,Appellate Courts,Seventh Circuit,7th Cir.
en-US,Geopolitical - Courts,9,Federal,,Appellate Courts,Eighth Circuit,8th Cir.
en-US,Geopolitical - Courts,10,Federal,,Appellate Courts,Ninth Circuit,9th Cir.
en-US,Geopolitical - Courts,11,Federal,,Appellate Courts,Tenth Circuit,10th Cir.
en-US,Geopolitical - Courts,12,Federal,,Appellate Courts,Eleventh Circuit,11th Cir.
en-US,Geopolitical - Courts,13,Federal,,Appellate Courts,D.C. Circuit,D.C. Cir.
en-US,Geopolitical - Courts,14,Federal,,Appellate Courts,Federal Circuit,Fed. Cir.
en-US,Geopolitical - Courts,15,Federal,Alabama,Federal District Court,Middle District of Alabama,M.D. Ala.
en-US,Geopolitical - Courts,16,Federal,Alabama,Federal District Court,Northern District of Alabama,N.D. Ala.
en-US,Geopolitical - Courts,17,Federal,Alabama,Federal District Court,Southern District of Alabama,S.D. Ala.
en-US,Geopolitical - Courts,18,Federal,Alaska,Federal District Court,District of Alaska,D. Alaska
en-US,Geopolitical - Courts,19,Federal,Arizona,Federal District Court,District of Arizona,D. Ariz.
en-US,Geopolitical - Courts,20,Federal,Arkansas,Federal District Court,Eastern District of Arkansas,E.D. Ark.
en-US,Geopolitical - Courts,21,Federal,Arkansas,Federal District Court,Western District of Arkansas,W.D. Ark.
en-US,Geopolitical - Courts,22,Federal,California,Federal District Court,Central District of California,C.D. Cal.
en-US,Geopolitical - Courts,23,Federal,California,Federal District Court,Eastern District of California,E.D. Cal.
en-US,Geopolitical - Courts,24,Federal,California,Federal District Court,Northern District of California,N.D. Cal.
en-US,Geopolitical - Courts,25,Federal,California,Federal District Court,Southern District of California,S.D. Cal.
en-US,Geopolitical - Courts,26,Federal,,Federal District Court,District of the Canal Zone,D.C.Z.
en-US,Geopolitical - Courts,27,Federal,Colorado,Federal District Court,District of Colorado,D. Colo.
en-US,Geopolitical - Courts,28,Federal,Connecticut,Federal District Court,District of Connecticut,D. Conn.
en-US,Geopolitical - Courts,29,Federal,Delaware,Federal District Court,District of Delaware,D. Del.
en-US,Geopolitical - Courts,30,Federal,Washington D.C.,Federal District Court,District of D.C.,D.D.C.
en-US,Geopolitical - Courts,31,Federal,Florida,Federal District Court,Middle District of Florida,M.D. Fla.
en-US,Geopolitical - Courts,32,Federal,Florida,Federal District Court,Northern District of Florida,N.D. Fla.
en-US,Geopolitical - Courts,33,Federal,Florida,Federal District Court,Southern District of Florida,S.D. Fla.
en-US,Geopolitical - Courts,34,Federal,Georgia,Federal District Court,Middle District of Georgia,M.D. Ga.
en-US,Geopolitical - Courts,35,Federal,Georgia,Federal District Court,Northern District of Georgia,N.D. Ga.
en-US,Geopolitical - Courts,36,Federal,Georgia,Federal District Court,Southern District of Georgia,S.D. Ga.
en-US,Geopolitical - Courts,37,Federal,Guam,Federal District Court,District of Guam,D. Guam
en-US,Geopolitical - Courts,38,Federal,Hawaii,Federal District Court,District of Hawaii,D. Haw.
en-US,Geopolitical - Courts,39,Federal,Idaho,Federal District Court,District of Idaho,D. Idaho
en-US,Geopolitical - Courts,40,Federal,Illinois,Federal District Court,Central District of Illinois,C.D. Ill.
