Term Locale,Term Category,Term,Alias,CaseSensitive
en-AU,Geopolitical - Regulatory,Attorney-General's Department,,FALSE
en-AU,Geopolitical - Regulatory,Department of Agriculture and Water Resources,,FALSE
en-AU,Geopolitical - Regulatory,Department of Communications and the Arts,,FALSE
en-AU,Geopolitical - Regulatory,Department of Defence,,FALSE
en-AU,Geopolitical - Regulatory,Department of Education and Training,,FALSE
en-AU,Geopolitical - Regulatory,Department of Employment,,FALSE
en-AU,Geopolitical - Regulatory,Department of Finance,,FALSE
en-AU,Geopolitical - Regulatory,Department of Foreign Affairs and Trade,,FALSE
en-AU,Geopolitical - Regulatory,Department of Health,,FALSE
en-AU,Geopolitical - Regulatory,Department of Human Services,,FALSE
en-AU,Geopolitical - Regulatory,Department of Immigration and Border Protection,,FALSE
en-AU,Geopolitical - Regulatory,"Department of Industry, Innovation and Science",,FALSE
en-AU,Geopolitical - Regulatory,Department of Infrastructure and Regional Development,,FALSE
en-AU,Geopolitical - Regulatory,Department of Social Services,,FALSE
en-AU,Geopolitical - Regulatory,Department of the Environment and Energy,,FALSE
en-AU,Geopolitical - Regulatory,Department of the Prime Minister and Cabinet,,FALSE
en-AU,Geopolitical - Regulatory,Department of Veterans' Affairs,,FALSE
en-AU,Geopolitical - Regulatory,Treasury,,FALSE
en-AU,Geopolitical - Regulatory,Australian Broadcasting Corporation,ABC,FALSE
en-AU,Geopolitical - Regulatory,Aboriginal Hostels Limited,,FALSE
en-AU,Geopolitical - Regulatory,Administrative Appeals Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Airservices Australia,,FALSE
en-AU,Geopolitical - Regulatory,Anindilyakwa Land Council,,FALSE
en-AU,Geopolitical - Regulatory,Army and Air Force Canteen Service,,FALSE
en-AU,Geopolitical - Regulatory,Asbestos Safety and Eradication Agency,,FALSE
en-AU,Geopolitical - Regulatory,Auditing and Assurance Standards Board,,FALSE
en-AU,Geopolitical - Regulatory,Australian Trade and Investment Commission,Austrade,FALSE
en-AU,Geopolitical - Regulatory,Australia Council for the Arts,,FALSE
en-AU,Geopolitical - Regulatory,Australia Post,,FALSE
en-AU,Geopolitical - Regulatory,Australian Accounting Standards Board,,FALSE
en-AU,Geopolitical - Regulatory,Australian Aged Care Quality Agency,,FALSE
en-AU,Geopolitical - Regulatory,Australian Border Force,,FALSE
en-AU,Geopolitical - Regulatory,Australian Bureau of Statistics,,FALSE
en-AU,Geopolitical - Regulatory,Australian Centre for International Agricultural Research,,FALSE
en-AU,Geopolitical - Regulatory,Attorney General's Department,,FALSE
en-AU,Geopolitical - Regulatory,Australian Charities and Not-for-profits Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Charities and Not for profits Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Civil-Military Centre,,FALSE
en-AU,Geopolitical - Regulatory,Australian Commission for Law Enforcement Integrity,,FALSE
en-AU,Geopolitical - Regulatory,Australian Commission on Safety and Quality in Health Care,,FALSE
en-AU,Geopolitical - Regulatory,Australian Communications and Media Authority,,FALSE
en-AU,Geopolitical - Regulatory,Australian Competition and Consumer Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Competition Tribunal,,FALSE
en-AU,Geopolitical - Regulatory,Australian Criminal Intelligence Commission,,FALSE
en-AU,Geopolitical - Regulatory,"Australian Curriculum, Assessment and Reporting Authority","Australian Curriculum, Assessment, and Reporting Authority",FALSE
en-AU,Geopolitical - Regulatory,Australian Electoral Commission,,FALSE
en-AU,Geopolitical - Regulatory,Australian Energy Regulator,,FALSE
en-AU,Geopolitical - Regulatory,Australian Federal Police,,FALSE
en-AU,Geopolitical - Regulatory,Australian Film Television and Radio School,,FALSE
