Term Locale,Term Category,Term,Alias,Case Sensitive
en-CA,Geopolitical - Regulators,Administrative Tribunals Support Service of Canada,ATSSC,
en-CA,Geopolitical - Regulators,Agriculture and Agri-Food Canada,AAFC,
en-CA,Geopolitical - Regulators,Atlantic Canada Opportunities Agency,ACOA,
en-CA,Geopolitical - Regulators,Atlantic Pilotage Authority Canada,APA,
en-CA,Geopolitical - Regulators,Atomic Energy of Canada Limited,AECL,
en-CA,Geopolitical - Regulators,Auditor General of Canada,OAG,
en-CA,Geopolitical - Regulators,Bank of Canada,,
en-CA,Geopolitical - Regulators,Blue Water Bridge Canada,BWB,
en-CA,Geopolitical - Regulators,Business Development Bank of Canada,BDC,
en-CA,Geopolitical - Regulators,Canada Agricultural Review Tribunal,CART,
en-CA,Geopolitical - Regulators,Canada Agriculture and Food Museum,,
en-CA,Geopolitical - Regulators,Canada Aviation and Space Museum,,
en-CA,Geopolitical - Regulators,Canada Border Services Agency,CBSA,
en-CA,Geopolitical - Regulators,Canada Council for the Arts,,
en-CA,Geopolitical - Regulators,Canada Deposit Insurance Corporation,CDIC,
en-CA,Geopolitical - Regulators,Canada Development Investment Corporation,CDEV,
en-CA,Geopolitical - Regulators,Canada Economic Development for Quebec Regions,CED,
en-CA,Geopolitical - Regulators,Canada Employment Insurance Commission,CEIC,
en-CA,Geopolitical - Regulators,Canada Firearms Centre,CAFC,
en-CA,Geopolitical - Regulators,Canada Industrial Relations Board,CIRB,
en-CA,Geopolitical - Regulators,Canada Lands Company Limited,CLC,
en-CA,Geopolitical - Regulators,Canada Mortgage and Housing Corporation,CMHC,
en-CA,Geopolitical - Regulators,Canada Pension Plan Investment Board,CPPIB,
en-CA,Geopolitical - Regulators,Canada Post,CPC,
en-CA,Geopolitical - Regulators,Canada Research Chairs,,
en-CA,Geopolitical - Regulators,Canada Revenue Agency,CRA,
en-CA,Geopolitical - Regulators,Canada School of Public Service,CSPS,
en-CA,Geopolitical - Regulators,Canadian Air Transport Security Authority,CATSA,
en-CA,Geopolitical - Regulators,Canadian Army,CA,
en-CA,Geopolitical - Regulators,Canadian Centre for Occupational Health and Safety,CCOHS,
en-CA,Geopolitical - Regulators,Canadian Coast Guard,CCG,
en-CA,Geopolitical - Regulators,Canadian Commercial Corporation,CCC,
en-CA,Geopolitical - Regulators,Canadian Conservation Institute,CCI,
en-CA,Geopolitical - Regulators,Canadian Cultural Property Export Review Board,,
en-CA,Geopolitical - Regulators,Canadian Dairy Commission,CDC,
en-CA,Geopolitical - Regulators,Canadian Environmental Assessment Agency,CEAA,
en-CA,Geopolitical - Regulators,Canadian Food Inspection Agency,CFIA,
en-CA,Geopolitical - Regulators,Canadian Grain Commission,CGC,
en-CA,Geopolitical - Regulators,Canadian Heritage,PCH,
en-CA,Geopolitical - Regulators,Canadian Heritage Information Network,CHIN,
en-CA,Geopolitical - Regulators,Canadian Human Rights Commission,CHRC,
en-CA,Geopolitical - Regulators,Canadian Institutes of Health Research,CIHR,
en-CA,Geopolitical - Regulators,Canadian Intellectual Property Office,CIPO,
en-CA,Geopolitical - Regulators,Canadian Intergovernmental Conference Secretariat,CICS,
en-CA,Geopolitical - Regulators,Canadian International Trade Tribunal,CITT,
en-CA,Geopolitical - Regulators,Canadian Judicial Council,CJC,
en-CA,Geopolitical - Regulators,Canadian Museum for Human Rights,CMHR,
en-CA,Geopolitical - Regulators,Canadian Museum of History,CMH,
en-CA,Geopolitical - Regulators,Canadian Museum of Immigration at Pier 21,CMIP,
en-CA,Geopolitical - Regulators,Canadian Museum of Nature,CMN,
en-CA,Geopolitical - Regulators,Canadian Northern Economic Development Agency,CanNor,
en-CA,Geopolitical - Regulators,Canadian Nuclear Safety Commission,CNSC,
en-CA,Geopolitical - Regulators,Canadian Pari-Mutuel Agency,CPMA,
en-CA,Geopolitical - Regulators,Canadian Police College,CPC,
en-CA,Geopolitical - Regulators,Canadian Race Relations Foundation,CRRF,
en-CA,Geopolitical - Regulators,Canadian Radio-Television and Telecommunications Commission,CRTC,
en-CA,Geopolitical - Regulators,Canadian Security Intelligence Service,CSIS,
en-CA,Geopolitical - Regulators,Canadian Space Agency,CSA,
en-CA,Geopolitical - Regulators,Canadian Special Operations Forces Command,CANSOFCOM,
en-CA,Geopolitical - Regulators,Destination Canada,DC,
en-CA,Geopolitical - Regulators,Canadian Trade Commissioner Service,TCS,
en-CA,Geopolitical - Regulators,Canadian Transportation Agency,CTA,
en-CA,Geopolitical - Regulators,Canadian War Museum,,
en-CA,Geopolitical - Regulators,Canadian Radio Television and Telecommunications Commission,CBC; Radio-Canada,
en-CA,Geopolitical - Regulators,Civilian Review and Complaints Commission for the RCMP,CRCC,
en-CA,Geopolitical - Regulators,Commissioner for Federal Judicial Affairs Canada,FJA,
en-CA,Geopolitical - Regulators,Commissioner of Lobbying of Canada ,OCL,
en-CA,Geopolitical - Regulators,Commissioner of Official Languages,OCOL,
en-CA,Geopolitical - Regulators,Communications Research Centre Canada,CRC,
en-CA,Geopolitical - Regulators,Communications Security Establishment Canada,CSEC,
en-CA,Geopolitical - Regulators,Communications Security Establishment Commissioner,OCSEC,
en-CA,Geopolitical - Regulators,Competition Bureau Canada,COBU,
en-CA,Geopolitical - Regulators,Competition Tribunal,,
en-CA,Geopolitical - Regulators,Conflict of Interest and Ethics Commissioner,CIEC,
en-CA,Geopolitical - Regulators,Copyright Board Canada,CB,
en-CA,Geopolitical - Regulators,CORCAN,,
en-CA,Geopolitical - Regulators,Correctional Investigator Canada,OCI,
en-CA,Geopolitical - Regulators,Correctional Service Canada,CSC,
en-CA,Geopolitical - Regulators,Courts Administration Service,CAS,
en-CA,Geopolitical - Regulators,Court Martial Appeal Court of Canada,CMAC,
en-CA,Geopolitical - Regulators,Bank of Canada Museum,,
en-CA,Geopolitical - Regulators,Defence Construction Canada,DCC,
en-CA,Geopolitical - Regulators,Defence Research and Development Canada,DRDC,
en-CA,Geopolitical - Regulators,Democratic Institutions,,
en-CA,Geopolitical - Regulators,Elections Canada,Elections,
en-CA,Geopolitical - Regulators,Employment and Social Development Canada,ESDC,
en-CA,Geopolitical - Regulators,Environment and Climate Change Canada,ECCC,
en-CA,Geopolitical - Regulators,Environmental Protection Review Canada,EPRC,
en-CA,Geopolitical - Regulators,Export Development Canada,EDC,
en-CA,Geopolitical - Regulators,Farm Credit Canada,FCC,
en-CA,Geopolitical - Regulators,Farm Products Council of Canada,FPCC,
en-CA,Geopolitical - Regulators,Federal Bridge Corporation,FBCL,
en-CA,Geopolitical - Regulators,Federal Court of Appeal,FCA,
en-CA,Geopolitical - Regulators,Federal Court of Canada,FC,
en-CA,Geopolitical - Regulators,Federal Economic Development Agency for Southern Ontario,FedDev Ontario,
en-CA,Geopolitical - Regulators,Federal Ombudsman for Victims Of Crime,OFOVC,
en-CA,Geopolitical - Regulators,Finance Canada,FIN,
en-CA,Geopolitical - Regulators,Financial Consumer Agency of Canada,FCAC,
en-CA,Geopolitical - Regulators,Financial Transactions and Reports Analysis Centre of Canada,FINTRAC,
en-CA,Geopolitical - Regulators,Fisheries and Oceans Canada,DFO,
en-CA,Geopolitical - Regulators,Freshwater Fish Marketing Corporation,FFMC,
en-CA,Geopolitical - Regulators,Global Affairs Canada,GAC,
en-CA,Geopolitical - Regulators,Governor General of Canada,OSGG,
en-CA,Geopolitical - Regulators,Great Lakes Pilotage Authority Canada,GLPA,
en-CA,Geopolitical - Regulators,Health Canada,HC,
en-CA,Geopolitical - Regulators,Historic Sites and Monuments Board of Canada,HSMBC,
en-CA,Geopolitical - Regulators,Human Rights Tribunal of Canada,HRTC,
en-CA,Geopolitical - Regulators,Immigration and Refugee Board of Canada,IRB,
en-CA,Geopolitical - Regulators,"Immigration, Refugees and Citizenship Canada",IRCC,
en-CA,Geopolitical - Regulators,Independent Review Panel for Defence Acquisition,IRPDA,
en-CA,Geopolitical - Regulators,Indian Oil and Gas Canada,,
en-CA,Geopolitical - Regulators,Indigenous and Northern Affairs Canada,INAC,
en-CA,Geopolitical - Regulators,Industrial Technologies Office,ITO,
en-CA,Geopolitical - Regulators,Information Commissioner,OIC,
en-CA,Geopolitical - Regulators,Infrastructure Canada,INFC,
en-CA,Geopolitical - Regulators,"Innovation, Science and Economic Development Canada",ISED,
en-CA,Geopolitical - Regulators,Intergovernmental Affairs,,
en-CA,Geopolitical - Regulators,International Development Research Centre,IDRC,
en-CA,Geopolitical - Regulators,Jacques Cartier and Champlain Bridges,JCCBI,
en-CA,Geopolitical - Regulators,Justice Canada,JUS,
en-CA,Geopolitical - Regulators,Labour Program,,
en-CA,Geopolitical - Regulators,Laurentian Pilotage Authority Canada,LPA,
en-CA,Geopolitical - Regulators,Leader of the Government in the House of Commons,,
en-CA,Geopolitical - Regulators,Library and Archives Canada,LAC,
en-CA,Geopolitical - Regulators,Marine Atlantic,,
en-CA,Geopolitical - Regulators,Measurement Canada,MC,
en-CA,Geopolitical - Regulators,Military Grievances External Review Committee,MGERC,
en-CA,Geopolitical - Regulators,Military Police Complaints Commission of Canada,MPCC,
en-CA,Geopolitical - Regulators,National Arts Centre,NAC,
en-CA,Geopolitical - Regulators,National Battlefields Commission,NBC,
en-CA,Geopolitical - Regulators,National Capital Commission,NCC,
en-CA,Geopolitical - Regulators,National Defence,DND,
en-CA,Geopolitical - Regulators,Ombudsman for the Department of National Defence and the Canadian Forces,,
en-CA,Geopolitical - Regulators,National Energy Board,NEB,
en-CA,Geopolitical - Regulators,National Film Board,NFB,
en-CA,Geopolitical - Regulators,National Gallery of Canada,NGC,
en-CA,Geopolitical - Regulators,Canada Science and Technology Museums Corporation,,
en-CA,Geopolitical - Regulators,Canada Science and Technology Museum,,
en-CA,Geopolitical - Regulators,National Research Council Canada,NRC,
en-CA,Geopolitical - Regulators,Natural Resources Canada,NRCan,
en-CA,Geopolitical - Regulators,National Seniors Council,,
en-CA,Geopolitical - Regulators,Natural Sciences and Engineering Research Canada,NSERC,
en-CA,Geopolitical - Regulators,Northern Pipeline Agency Canada,NPA,
en-CA,Geopolitical - Regulators,Occupational Health and Safety Tribunal Canada,OHSTC,
en-CA,Geopolitical - Regulators,Office of the Chief Military Judge,OCMJ,
en-CA,Geopolitical - Regulators,Pacific Pilotage Authority Canada,PPA,
en-CA,Geopolitical - Regulators,Parks Canada,PC,
en-CA,Geopolitical - Regulators,Parole Board of Canada,PBC,
en-CA,Geopolitical - Regulators,Parliament of Canada,,
en-CA,Geopolitical - Regulators,Patented Medicine Prices Review Board Canada,PMPRB,
en-CA,Geopolitical - Regulators,Polar Knowledge Canada,POLAR,
en-CA,Geopolitical - Regulators,PPP Canada,P3C,
en-CA,Geopolitical - Regulators,Prime Minister of Canada,,
en-CA,Geopolitical - Regulators,Privacy Commissioner of Canada,OPC,
en-CA,Geopolitical - Regulators,Privy Council Office,PCO,
en-CA,Geopolitical - Regulators,Procurement Ombudsman,OPO,
en-CA,Geopolitical - Regulators,Public Health Agency of Canada,PHAC,
en-CA,Geopolitical - Regulators,Public Prosecution Service of Canada,PPSC,
en-CA,Geopolitical - Regulators,Public Safety Canada,PS,
en-CA,Geopolitical - Regulators,Public Sector Integrity Commissioner of Canada,PSIC,
en-CA,Geopolitical - Regulators,Public Sector Pension Investment Board,PSP Investments,
en-CA,Geopolitical - Regulators,Public Servants Disclosure Protection Tribunal Canada,PSDPTC,
en-CA,Geopolitical - Regulators,Public Service Commission of Canada,PSC,
en-CA,Geopolitical - Regulators,Public Service Labour Relations and Employment Board,PSLREB,
en-CA,Geopolitical - Regulators,Public Services and Procurement Canada,PSPC,
en-CA,Geopolitical - Regulators,Registry of the Specific Claims Tribunal of Canada,SCT,
en-CA,Geopolitical - Regulators,Ridley Terminals Inc.,,
en-CA,Geopolitical - Regulators,Royal Canadian Air Force,RCAF,
en-CA,Geopolitical - Regulators,Royal Canadian Mint,Mint,
en-CA,Geopolitical - Regulators,Royal Canadian Mounted Police,RCMP,
en-CA,Geopolitical - Regulators,Royal Canadian Mounted Police External Review Committee,ERC,
en-CA,Geopolitical - Regulators,Royal Canadian Navy,RCN,
en-CA,Geopolitical - Regulators,Royal Military College of Canada,RMCC,
en-CA,Geopolitical - Regulators,Security Intelligence Review Committee,SIRC,
en-CA,Geopolitical - Regulators,Service Canada,ServCan,
en-CA,Geopolitical - Regulators,Shared Services Canada,SSC,
en-CA,Geopolitical - Regulators,Social Sciences and Humanities Research Council of Canada,SSHRC,
en-CA,Geopolitical - Regulators,Social Security Tribunal of Canada,SST,
en-CA,Geopolitical - Regulators,Standards Council of Canada,SCC-CCN,
en-CA,Geopolitical - Regulators,Statistics Canada,StatCan,
en-CA,Geopolitical - Regulators,Status of Women Canada,SWC,
en-CA,Geopolitical - Regulators,Superintendent of Bankruptcy Canada,OSB,
en-CA,Geopolitical - Regulators,Superintendent of Financial Institutions Canada,OSFI,
en-CA,Geopolitical - Regulators,Supreme Court of Canada,SCC,
en-CA,Geopolitical - Regulators,Tax Court of Canada,TCC,
en-CA,Geopolitical - Regulators,Taxpayers' Ombudsman,OTO,
en-CA,Geopolitical - Regulators,Telefilm Canada,,
en-CA,Geopolitical - Regulators,Translation Bureau,,
en-CA,Geopolitical - Regulators,Transport Canada,TC,
en-CA,Geopolitical - Regulators,Transportation Appeal Tribunal of Canada,TATC,
en-CA,Geopolitical - Regulators,Transportation Safety Board of Canada,TSB,
en-CA,Geopolitical - Regulators,Treasury Board of Canada Secretariat,TBS,
en-CA,Geopolitical - Regulators,Veterans Affairs Canada,VAC,
en-CA,Geopolitical - Regulators,Veterans' Ombudsman,,
en-CA,Geopolitical - Regulators,Veterans Review and Appeal Board,VRAB,
en-CA,Geopolitical - Regulators,VIA Rail Canada,VIA Rail,
en-CA,Geopolitical - Regulators,Virtual Museum of Canada,VMC,
en-CA,Geopolitical - Regulators,Western Economic Diversification Canada,WD,
