Term Locale,Term Category,Subcategory,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Agriculture & Rural Development,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Attorney General,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Civil Rights,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Community Health,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Corrections,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Education,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Environmental Quality,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Human Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Insurance & Financial Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Licensing & Regulatory Affairs,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Military & Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of State,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of State Police,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,"Department of Technology, Management & Budget",,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Talent and Economic Development,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Treasury,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Administrative Board,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Civil Service Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Mackinac Bridge Authority,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Mackinac Island State Park Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Lottery,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Railroad Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Volunteer Defense Force,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Occupational Safety and Health Administration,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Customer Services Administration,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department Services Administration,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Legal and Regulatory Services Administration,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Bureau of Branch Office Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Bureau of Driver and Vehicle Records,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of Customer Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of State Information Center,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of Technology and Project Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of Services to the Aging,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Board of State Canvassers,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Center for Educational Performance & Information,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Center for Geographic Information,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Children's Ombudsman,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Community Service Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Economic Development Corporation,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Bureau of Elections,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Gaming Control Board,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Geological Survey,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of the Great Seal,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Liquor Control Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Commission on Law Enforcement Standards,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Employment Relations Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan State Industries,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of Retirement Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Racing Commissioner,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Records Management Services,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Renewable Fuels Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Budget Office,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of the State Employer,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Housing Development Authority,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Office of Administrative Hearings & Rules,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Purchasing,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Transportation Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Tax Tribunal,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Unemployment Insurance Agency,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Women's Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Workers' Compensation Agency,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Archives of Michigan,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Council for Arts and Cultural Affairs,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Office of Cultural Economic Development,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Library of Michigan,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Mackinac State Historic Parks,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Film Office,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Historical Museum,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Historic Preservation Office,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Veterans Affairs Agency,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,State Officers Compensation Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Family Independence Agency,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Local Emergency Financial Assistance Loan Board,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Career Development,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Commerce,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of Civil Service,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,"Michigan Department of History, Arts and Libraries",,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Information Technology,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Licensing and Regulation,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Labor,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Mental Health,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Department of the Michigan Jobs Commission,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Public Health,,FALSE
en-US,Geopolitical - Agencies,Michigan Agencies,Michigan Department of Social Services,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Agriculture and Industries,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Commission on Higher Education,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Cooperative Extension System,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Archives and History,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Conservation and Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Environmental Management,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Mental Health,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Public Health,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Youth Services,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama International Airport Authority,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama National Guard,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Sentencing Commission,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Women's Hall of Fame,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Department of Education,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Forestry Commission,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Historical Commission,,FALSE
en-US,Geopolitical - Agencies,Alabama Agencies,Alabama Public Service Commission,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,"Alaska Department of Commerce, Community and Economic Development",,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Education & Early Development,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Fish and Game,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Health and Social Services,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Heritage Resources Survey,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Labor and Workforce Development,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Military and Veterans Affairs,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Mount Edgecumbe High School,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska State Museum,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Natural Resources,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Oil and Gas Conservation Commission,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska State Pension Investment Board,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Permanent Fund,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska State School for the Deaf and Hard of Hearing,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Department of Transportation & Public Facilities,,FALSE
en-US,Geopolitical - Agencies,Alaska Agencies,Alaska Volcano Observatory,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Corporation Commission,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Gaming,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Health Services,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Juvenile Corrections,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Liquor Licenses and Control,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Mines and Mineral Resources,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Department of Transportation,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Game and Fish Department,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Geological Survey,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Lottery,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona National Guard,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona School Facilities Board,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona Sports and Tourism Authority,,FALSE
en-US,Geopolitical - Agencies,Arizona Agencies,Arizona State Land Department,,FALSE
