Term Locale,Term Category,Term,Alias,Case Sensitive
en-GB,UK Regulators,Academy for Social Justice Commissioning,,FALSE
en-GB,UK Regulators,Accelerated Access Review,AAR,FALSE
en-GB,UK Regulators,Adjudicator’s Office,,FALSE
en-GB,UK Regulators,Administration of Radioactive Substances Advisory Committee,ARSAC,FALSE
en-GB,UK Regulators,Advisory Committee on Animal Feedingstuffs,ACAF,FALSE
en-GB,UK Regulators,Advisory Committee on Business Appointments,ACOBA,FALSE
en-GB,UK Regulators,Advisory Committee on Clinical Excellence Awards,ACCEA,FALSE
en-GB,UK Regulators,Advisory Committee on Conscientious Objectors,ACCO,FALSE
en-GB,UK Regulators,Advisory Committee on Novel Foods and Processes,ACNFP,FALSE
en-GB,UK Regulators,Advisory Committee on Releases to the Environment,ACRE,FALSE
en-GB,UK Regulators,Advisory Committee on the Microbiological Safety of Food,ACMSF,FALSE
en-GB,UK Regulators,Advisory Committees on Justices of the Peace,,FALSE
en-GB,UK Regulators,Advisory Council on National Records and Archives,ACNRA,FALSE
en-GB,UK Regulators,Advisory Council on the Misuse of Drugs,ACMD,FALSE
en-GB,UK Regulators,Advisory Group on Military Medicine,AGoMM,FALSE
en-GB,UK Regulators,"Advisory, Conciliation & Arbitration Service","Advisory, Conciliation, and Arbitration Service; Advisory, Conciliation, & Arbitration Service; Advisory, Conciliation and Arbitration Service",FALSE
en-GB,UK Regulators,Agriculture and Horticulture Development Board,AHDB,FALSE
en-GB,UK Regulators,Air Accidents Investigation Branch,AAIB,FALSE
en-GB,UK Regulators,Animal and Plant Health Agency,APHA,FALSE
en-GB,UK Regulators,Animals in Science Committee,,FALSE
en-GB,UK Regulators,Architects Registration Board,ARB,FALSE
en-GB,UK Regulators,Armed Forces' Pay Review Body,AFPRB,FALSE
en-GB,UK Regulators,Arts and Humanities Research Council,AHRC,FALSE
en-GB,UK Regulators,Arts Council England,,FALSE
en-GB,UK Regulators,Arts Council of Wales,ACW,FALSE
en-GB,UK Regulators,Attorney General,attorneys general;AG,FALSE
en-GB,UK Regulators,Bank of England,BoE,FALSE
en-GB,UK Regulators,British Broadcasting Corporation,BBC,TRUE
en-GB,UK Regulators,BBC World Service,,FALSE
en-GB,UK Regulators,Big Lottery Fund,BIG,FALSE
en-GB,UK Regulators,Biometrics Commissioner,,FALSE
en-GB,UK Regulators,Biotechnology and Biological Sciences Research Council,BBSRC,FALSE
en-GB,UK Regulators,Board of Trustees of the Royal Botanic Gardens Kew,Kew,FALSE
en-GB,UK Regulators,Bona Vacantia,,FALSE
en-GB,UK Regulators,Border Force,,FALSE
en-GB,UK Regulators,Boundary Commission for England,,FALSE
en-GB,UK Regulators,Boundary Commission for Northern Ireland,,FALSE
en-GB,UK Regulators,Boundary Commission for Scotland,BCS,FALSE
en-GB,UK Regulators,Boundary Commission for Wales,BCW,FALSE
en-GB,UK Regulators,British Business Bank,BBB,FALSE
en-GB,UK Regulators,British Cattle Movement Service,BCMS,FALSE
en-GB,UK Regulators,British Council,,FALSE
en-GB,UK Regulators,British Film Institute,BFI,FALSE
en-GB,UK Regulators,British Hallmarking Council,BHC,FALSE
en-GB,UK Regulators,British Library,,FALSE
en-GB,UK Regulators,British Museum,,FALSE
en-GB,UK Regulators,British Pharmacopoeia Commission,BPC,FALSE
en-GB,UK Regulators,British Transport Police Authority,BTPA,FALSE
en-GB,UK Regulators,Broads Authority,,FALSE
en-GB,UK Regulators,Building Regulations Advisory Committee,BRAC,FALSE
