Term Locale,Term Type,Term,Alias,CaseSensitive
en-US,Geopolitical - Agencies,AbilityOne Commission,,FALSE
en-US,Geopolitical - Agencies,Access Board,,FALSE
en-US,Geopolitical - Agencies,Administration for Children and Families,ACF,FALSE
en-US,Geopolitical - Agencies,Administration for Community Living,,FALSE
en-US,Geopolitical - Agencies,Administration for Native Americans,,FALSE
en-US,Geopolitical - Agencies,Administration on Aging,,FALSE
en-US,Geopolitical - Agencies,Administration on Intellectual and Developmental Disabilities,,FALSE
en-US,Geopolitical - Agencies,Administrative Conference of the United States,,FALSE
en-US,Geopolitical - Agencies,Administrative Office of the U.S. Courts,,FALSE
en-US,Geopolitical - Agencies,Advisory Council on Historic Preservation,,FALSE
en-US,Geopolitical - Agencies,African Development Foundation,,FALSE
en-US,Geopolitical - Agencies,Agency for Healthcare Research and Quality,AHRQ,FALSE
en-US,Geopolitical - Agencies,Agency for International Development,USAID,FALSE
en-US,Geopolitical - Agencies,Agency for Toxic Substances and Disease Registry,,FALSE
en-US,Geopolitical - Agencies,Agricultural Marketing Service,AMS,FALSE
en-US,Geopolitical - Agencies,Agricultural Research Service,,FALSE
en-US,Geopolitical - Agencies,Agriculture Department,USDA,FALSE
en-US,Geopolitical - Agencies,Air Force,,FALSE
en-US,Geopolitical - Agencies,Air Force Reserve,,FALSE
en-US,Geopolitical - Agencies,Alcohol and Tobacco Tax and Trade Bureau,,FALSE
en-US,Geopolitical - Agencies,"Alcohol, Tobacco, Firearms and Explosives Bureau",ATF,FALSE
en-US,Geopolitical - Agencies,Alhurra TV,,FALSE
en-US,Geopolitical - Agencies,AmeriCorps,,FALSE
en-US,Geopolitical - Agencies,American Battle Monuments Commission,,FALSE
en-US,Geopolitical - Agencies,American Samoa,,FALSE
en-US,Geopolitical - Agencies,Amtrak,AMTRAK,FALSE
en-US,Geopolitical - Agencies,Animal and Plant Health Inspection Service,APHIS,FALSE
en-US,Geopolitical - Agencies,Antitrust Division,,FALSE
en-US,Geopolitical - Agencies,Architect of the Capitol,,FALSE
en-US,Geopolitical - Agencies,"Archives, National Archives and Records Administration",NARA,FALSE
en-US,Geopolitical - Agencies,Arctic Research Commission,,FALSE
en-US,Geopolitical - Agencies,Armed Forces Retirement Home,,FALSE
en-US,Geopolitical - Agencies,Arms Control and International Security,,FALSE
en-US,Geopolitical - Agencies,Army,,FALSE
en-US,Geopolitical - Agencies,Army Corps of Engineers,,FALSE
en-US,Geopolitical - Agencies,"National Institute of Arthritis, Musculoskeletal and Skin Diseases",,FALSE
en-US,Geopolitical - Agencies,Bankruptcy Courts,,FALSE
en-US,Geopolitical - Agencies,Barry M. Goldwater Scholarship and Excellence in Education Program,,FALSE
en-US,Geopolitical - Agencies,Bonneville Power Administration,,FALSE
en-US,Geopolitical - Agencies,Botanic Garden,,FALSE
en-US,Geopolitical - Agencies,Broadcasting Board of Governors,,FALSE
en-US,Geopolitical - Agencies,Bureau of Alcohol and Tobacco Tax and Trade,,FALSE
en-US,Geopolitical - Agencies,"Bureau of Alcohol, Tobacco, Firearms and Explosives",ATF,FALSE
en-US,Geopolitical - Agencies,Bureau of Consular Affairs,,FALSE
en-US,Geopolitical - Agencies,Bureau of Consumer Financial Protection,,FALSE
en-US,Geopolitical - Agencies,Bureau of Economic Analysis,BEA,FALSE
en-US,Geopolitical - Agencies,Bureau of Engraving and Printing,BEP,FALSE
en-US,Geopolitical - Agencies,Bureau of Indian Affairs,,FALSE
en-US,Geopolitical - Agencies,Bureau of Industry and Security,BIS,FALSE
en-US,Geopolitical - Agencies,Bureau of International Labor Affairs,,FALSE
en-US,Geopolitical - Agencies,Bureau of Justice Statistics,,FALSE
en-US,Geopolitical - Agencies,Bureau of Labor Statistics,,FALSE
en-US,Geopolitical - Agencies,Bureau of Land Management,BLM,FALSE
en-US,Geopolitical - Agencies,Bureau of Ocean Energy Management,,FALSE
en-US,Geopolitical - Agencies,Bureau of Prisons,BOP,FALSE
en-US,Geopolitical - Agencies,Bureau of Reclamation,,FALSE
en-US,Geopolitical - Agencies,Bureau of Safety and Environmental Enforcement,,FALSE
en-US,Geopolitical - Agencies,Bureau of Transportation Statistics,,FALSE
en-US,Geopolitical - Agencies,Bureau of the Census,,FALSE
en-US,Geopolitical - Agencies,Bureau of the Fiscal Service,,FALSE
en-US,Geopolitical - Agencies,Capitol Police,,FALSE
en-US,Geopolitical - Agencies,Capitol Visitor Center,,FALSE
en-US,Geopolitical - Agencies,"Office of Career, Technical, and Adult Education",,FALSE
en-US,Geopolitical - Agencies,Census Bureau,,FALSE
