Term Locale,Term Category,Term,Alias,CaseSensitive
en-US,Michigan Agencies,Department of Agriculture & Rural Development,MDARD,False
en-US,Michigan Agencies,Department of Attorney General,,False
en-US,Michigan Agencies,Department of Civil Rights,,False
en-US,Michigan Agencies,Department of Community Health,,False
en-US,Michigan Agencies,Department of Corrections,,False
en-US,Michigan Agencies,Department of Education,,False
en-US,Michigan Agencies,Department of Environmental Quality,,False
en-US,Michigan Agencies,Department of Human Services,,False
en-US,Michigan Agencies,Department of Insurance & Financial Services,,False
en-US,Michigan Agencies,Department of Licensing & Regulatory Affairs,,False
en-US,Michigan Agencies,Department of Military & Veterans Affairs,,False
en-US,Michigan Agencies,Department of Natural Resources,,False
en-US,Michigan Agencies,Department of State,,False
en-US,Michigan Agencies,Department of State Police,,False
en-US,Michigan Agencies,"Department of Technology, Management & Budget",,False
en-US,Michigan Agencies,Department of Talent and Economic Development,,False
en-US,Michigan Agencies,Department of Transportation,,False
en-US,Michigan Agencies,Department of Treasury,,False
en-US,Michigan Agencies,State Administrative Board,,False
en-US,Michigan Agencies,Civil Service Commission,,False
en-US,Michigan Agencies,Mackinac Bridge Authority,,False
en-US,Michigan Agencies,Mackinac Island State Park Commission,,False
en-US,Michigan Agencies,Michigan Lottery,,False
en-US,Michigan Agencies,Michigan Railroad Commission,,False
en-US,Michigan Agencies,Michigan Volunteer Defense Force,,False
en-US,Michigan Agencies,Michigan Occupational Safety and Health Administration,,False
en-US,Michigan Agencies,Customer Services Administration,,False
en-US,Michigan Agencies,Department Services Administration,,False
en-US,Michigan Agencies,Legal and Regulatory Services Administration,,False
en-US,Michigan Agencies,Bureau of Branch Office Services,,False
en-US,Michigan Agencies,Bureau of Driver and Vehicle Records,,False
en-US,Michigan Agencies,Office of Customer Services,,False
en-US,Michigan Agencies,Department of State Information Center,,False
en-US,Michigan Agencies,Office of Technology and Project Services,,False
en-US,Michigan Agencies,Office of Services to the Aging,,False
en-US,Michigan Agencies,Board of State Canvassers,,False
en-US,Michigan Agencies,Center for Educational Performance & Information,,False
en-US,Michigan Agencies,Center for Geographic Information,,False
en-US,Michigan Agencies,Children's Ombudsman,,False
en-US,Michigan Agencies,Community Service Commission,,False
