Term Locale,Term Category,Term,Alias,CaseSensitive
en-US,Legal - CFR Title 26,10 percent owned corporation,,FALSE
en-US,Legal - CFR Title 26,10 percent owned foreign corporation,,FALSE
en-US,Legal - CFR Title 7,18 to 20 points,,FALSE
en-US,Legal - CFR Title 20,1935 act,,FALSE
en-US,Legal - CFR Title 20,1937 act,,FALSE
en-US,Legal - CFR Title 26,1-year break in service,,FALSE
en-US,Legal - CFR Title 26,225-mile zone,,FALSE
en-US,Legal - CFR Title 7,27 to 30 points,,FALSE
en-US,Legal - CFR Title 26,30 miles,,FALSE
en-US,Legal - CFR Title 17,4 to 8-92/25%,,FALSE
en-US,Legal - CFR Title 27,6 separate occasions,,FALSE
en-US,Legal - CFR Title 26,a complete release,,FALSE
en-US,Legal - CFR Title 15,a just financial obligation,,FALSE
en-US,Legal - CFR Title 26,a reasonable time,,FALSE
en-US,Legal - CFR Title 8,abroad,,FALSE
en-US,Legal - CFR Title 26,absorber,,FALSE
en-US,Legal - CFR Title 9,acceptable,,FALSE
en-US,Legal - CFR Title 15,acceptance by volume of distribution,,FALSE
en-US,Legal - CFR Title 15,acceptance by volume of production,,FALSE
en-US,Legal - CFR Title 10,acceptance criteria,,FALSE
en-US,Legal - CFR Title 21,acceptance criteria,,FALSE
en-US,Legal - CFR Title 7,acceptance number,,FALSE
en-US,Legal - CFR Title 12,accepted credit card,,FALSE
en-US,Legal - CFR Title 12,access device,,FALSE
en-US,Legal - CFR Title 10,accident,,FALSE
en-US,Legal - CFR Title 20,accident,,FALSE
en-US,Legal - CFR Title 22,accommodation,,FALSE
en-US,Legal - CFR Title 12,account,,FALSE
en-US,Legal - CFR Title 12,account,,FALSE
en-US,Legal - CFR Title 17,account,,FALSE
en-US,Legal - CFR Title 26,accounting literature,,FALSE
en-US,Legal - CFR Title 17,"accounts of a futures commission merchant, clearing member or foreign broker",,FALSE
en-US,Legal - CFR Title 26,accrued benefit,,FALSE
en-US,Legal - CFR Title 26,accumulated contributions,,FALSE
en-US,Legal - CFR Title 26,accumulated disc income,,FALSE
en-US,Legal - CFR Title 26,accumulated ecep,,FALSE
en-US,Legal - CFR Title 26,acquisition cost,,FALSE
en-US,Legal - CFR Title 12,act,,FALSE
en-US,Legal - CFR Title 15,act,,FALSE
en-US,Legal - CFR Title 20,act,,FALSE
en-US,Legal - CFR Title 22,act,,FALSE
en-US,Legal - CFR Title 25,act,,FALSE
en-US,Legal - CFR Title 6,act,,FALSE
en-US,Legal - CFR Title 7,act,,FALSE
en-US,Legal - CFR Title 9,act,,FALSE
en-US,Legal - CFR Title 6,act of terrorism,,FALSE
en-US,Legal - CFR Title 12,acting in concert,,FALSE
en-US,Legal - CFR Title 12,action,,FALSE
