Term Locale,Term Category,Court ID,Level,Jurisdiction,Court,Alias
en-AU,Geopolitical - Courts,1,Supreme Court,Commonwealth Court,High Court of Australia,High Court
en-AU,Geopolitical - Courts,2,Federal,Commonwealth Court,Federal Court of Australia,
en-AU,Geopolitical - Courts,3,Federal,Commonwealth Court,Family Court of Australia,
en-AU,Geopolitical - Courts,4,Federal,Commonwealth Court,Federal Circuit Court of Australia,
en-AU,Geopolitical - Courts,5,Federal,Commonwealth Court,Military Court of Australia,
en-AU,Geopolitical - Courts,6,Regional,Australian Capital Territory Court,Children's Court of the Australian Capital Territory,
en-AU,Geopolitical - Courts,7,Regional,Australian Capital Territory Court,Coroner's Court of the Australian Capital Territory,
en-AU,Geopolitical - Courts,8,Regional,Australian Capital Territory Court,Magistrates Court of the Australian Capital Territory,
en-AU,Geopolitical - Courts,9,Regional,Australian Capital Territory Court,Supreme Court of the Australian Capital Territory,
en-AU,Geopolitical - Courts,10,Regional,New South Wales Court,Court of Appeal of New South Wales,
en-AU,Geopolitical - Courts,11,Regional,New South Wales Court,Court of Criminal Appeal of New South Wales,
en-AU,Geopolitical - Courts,12,Regional,New South Wales Court,Supreme Court of New South Wales,
en-AU,Geopolitical - Courts,13,Regional,New South Wales Court,Land and Environment Court of New South Wales,
en-AU,Geopolitical - Courts,14,Regional,New South Wales Court,District Court of New South Wales,
en-AU,Geopolitical - Courts,15,Regional,New South Wales Court,Local Court of New South Wales,
en-AU,Geopolitical - Courts,16,Regional,New South Wales Court,Chief Industrial Magistrate's Court,
en-AU,Geopolitical - Courts,17,Regional,New South Wales Court,Children's Court of New South Wales,
en-AU,Geopolitical - Courts,18,Regional,New South Wales Court,Children's Court Clinic of New South Wales,Children's Court Clinic (New South Wales)
en-AU,Geopolitical - Courts,19,Regional,New South Wales Court,Coroner's Court of New South Wales,
en-AU,Geopolitical - Courts,20,Regional,New South Wales Court,Court of Disputed Returns of New South Wales,
en-AU,Geopolitical - Courts,21,Regional,New South Wales Court,Court of Marine Inquiry of New South Wales,
en-AU,Geopolitical - Courts,22,Regional,New South Wales Court,Drug Court of New South Wales,
en-AU,Geopolitical - Courts,23,Regional,New South Wales Court,Warden Court,
en-AU,Geopolitical - Courts,24,Regional,New South Wales Court,Youth Drug and Alcohol Court of New South Wales,
en-AU,Geopolitical - Courts,25,Regional,Northern Territory Court,Community Court of the Northern Territory,Community Court (Northern Territory)
en-AU,Geopolitical - Courts,26,Regional,Northern Territory Court,Court of Appeal of the Northern Territory of Australia,
en-AU,Geopolitical - Courts,27,Regional,Northern Territory Court,Coroners Court of the Northern Territory,
en-AU,Geopolitical - Courts,28,Regional,Northern Territory Court,Court of Summary Jurisdiction,
en-AU,Geopolitical - Courts,29,Regional,Northern Territory Court,Family Matters Court,
en-AU,Geopolitical - Courts,30,Regional,Northern Territory Court,"Lands, Planning and Mining Tribunal",
en-AU,Geopolitical - Courts,31,Regional,Northern Territory Court,Local Court of the Northern Territory,
en-AU,Geopolitical - Courts,32,Regional,Northern Territory Court,Magistrates Court of the Northern Territory,
en-AU,Geopolitical - Courts,33,Regional,Northern Territory Court,Mental Health Review Tribunal,
en-AU,Geopolitical - Courts,34,Regional,Northern Territory Court,Supreme Court of the Northern Territory,
en-AU,Geopolitical - Courts,35,Regional,Northern Territory Court,Work Health Court,
en-AU,Geopolitical - Courts,36,Regional,Northern Territory Court,Youth Justice Court,
en-AU,Geopolitical - Courts,37,Regional,Queensland Court,District Court of Queensland,
