Term Locale,Term Category,Term,Case Sensitive
en-US,Legal,ability,False
en-US,Legal,absence,False
en-US,Legal,absent,False
en-US,Legal,absolute,False
en-US,Legal,absorber,False
en-US,Legal,abuse,False
en-US,Legal,accelerate,False
en-US,Legal,accept,False
en-US,Legal,access,False
en-US,Legal,accident,False
en-US,Legal,accommodation,False
en-US,Legal,account,False
en-US,Legal,accounting firm,False
en-US,Legal,accounting principles,False
en-US,Legal,accredited,False
en-US,Legal,accredited investor,False
en-US,Legal,accrual,False
en-US,Legal,accrual period,False
en-US,Legal,accrue,False
en-US,Legal,accrued benefit,False
en-US,Legal,accrued interest,False
en-US,Legal,accumulation,False
en-US,Legal,accuracy,False
en-US,Legal,accurate,False
en-US,Legal,acknowledge,False
en-US,Legal,acquire,False
en-US,Legal,acquired company,False
en-US,Legal,acquiror,False
en-US,Legal,acquisition,False
en-US,Legal,act,False
en-US,Legal,action,False
en-US,Legal,active,False
en-US,Legal,actual,False
en-US,Legal,actual cost,False
en-US,Legal,actual knowledge,False
en-US,Legal,actual/360,False
en-US,Legal,addendum,False
en-US,Legal,addition,False
en-US,Legal,additional information,False
en-US,Legal,address,False
en-US,Legal,adjusted,False
en-US,Legal,administer,False
en-US,Legal,administrative agent,False
en-US,Legal,administrator,False
en-US,Legal,admission,False
en-US,Legal,adopt,False
en-US,Legal,advance,False
en-US,Legal,advantage,False
en-US,Legal,adverse,False
en-US,Legal,adverse effect,False
en-US,Legal,adversely affect,False
en-US,Legal,advertising,False
en-US,Legal,advice,False
en-US,Legal,adviser,False
en-US,Legal,advisor,False
en-US,Legal,advisory,False
en-US,Legal,affairs,False
en-US,Legal,affects,False
en-US,Legal,affidavit,False
en-US,Legal,affiliate,False
en-US,Legal,affixed,False
en-US,Legal,age,False
en-US,Legal,agency,False
en-US,Legal,agent,False
en-US,Legal,aggregate,False
en-US,Legal,aggregate amount,False
en-US,Legal,agreement,False
en-US,Legal,all costs,False
en-US,Legal,alleged,False
en-US,Legal,allocable,False
en-US,Legal,allow,False
en-US,Legal,alternate,False
en-US,Legal,ambassador,False
en-US,Legal,ambiguity,False
en-US,Legal,amend,False
en-US,Legal,amortization,False
en-US,Legal,amount,False
en-US,Legal,amount due,False
en-US,Legal,amount paid,False
en-US,Legal,analysis,False
en-US,Legal,ancillary,False
en-US,Legal,annex,False
en-US,Legal,anniversary,False
en-US,Legal,announcement,False
en-US,Legal,annual,False
en-US,Legal,annual report,False
en-US,Legal,annuitant,False
en-US,Legal,annuity,False
en-US,Legal,annum,False
en-US,Legal,answer,False
en-US,Legal,any person,False
en-US,Legal,apartments,False
en-US,Legal,appeal,False
en-US,Legal,applicable,False
en-US,Legal,applicable condition,False
en-US,Legal,applicable law,False
en-US,Legal,applicable percentage,False
en-US,Legal,applicable provision,False
en-US,Legal,applicable rate,False
en-US,Legal,applicable requirement,False
en-US,Legal,apply,False
en-US,Legal,appoint,False
en-US,Legal,appraisal,False
en-US,Legal,appraised value,False
en-US,Legal,appreciation,False
en-US,Legal,appropriate,False
en-US,Legal,approve,False
en-US,Legal,arbitrator,False
en-US,Legal,architect,False
en-US,Legal,area,False
en-US,Legal,arrange,False
en-US,Legal,article,False
en-US,Legal,ascribed,False
en-US,Legal,assertion,False
en-US,Legal,assessed,False
en-US,Legal,asset,False
en-US,Legal,asset manager,False
en-US,Legal,asset representations,False
en-US,Legal,asset value,False
en-US,Legal,asset-backed,False
en-US,Legal,assign,False
en-US,Legal,assignee,False
en-US,Legal,assignor,False
en-US,Legal,assist,False
en-US,Legal,assistant secretary,False
en-US,Legal,associate,False
en-US,Legal,assumed,False
en-US,Legal,assumption,False
en-US,Legal,assurance,False
en-US,Legal,attached,False
en-US,Legal,attention,False
en-US,Legal,attestation,False
en-US,Legal,attorney,False
en-US,Legal,attributable,False
en-US,Legal,audit,False
en-US,Legal,auditor,False
en-US,Legal,authenticate,False
en-US,Legal,authority,False
en-US,Legal,authorized officer,False
en-US,Legal,authorized representative,False
en-US,Legal,auto,False
en-US,Legal,automatic,False
en-US,Legal,automobile,False
en-US,Legal,availability,False
en-US,Legal,available funds,False
en-US,Legal,average,False
en-US,Legal,avoidance,False
en-US,Legal,award,False
en-US,Legal,backed,False
en-US,Legal,backup,False
en-US,Legal,bad,False
en-US,Legal,bad faith,False
en-US,Legal,balance,False
en-US,Legal,balance sheet,False
en-US,Legal,balloon,False
en-US,Legal,bank,False
en-US,Legal,bankruptcy,False
en-US,Legal,bankruptcy code,False
en-US,Legal,base,False
en-US,Legal,base rate,False
en-US,Legal,basic,False
en-US,Legal,basis,False
en-US,Legal,basis points,False
en-US,Legal,bear,False
en-US,Legal,benchmark,False
en-US,Legal,beneficial,False
en-US,Legal,beneficial interest,False
en-US,Legal,beneficial owner,False
en-US,Legal,beneficiary,False
en-US,Legal,benefit,False
en-US,Legal,bid,False
en-US,Legal,bills,False
en-US,Legal,bind,False
en-US,Legal,binding obligation,False
en-US,Legal,board,False
en-US,Legal,board of directors,False
en-US,Legal,board of governors,False
en-US,Legal,bodily injury,False
en-US,Legal,body,False
en-US,Legal,bona fide,False
en-US,Legal,bond,False
en-US,Legal,bonus,False
en-US,Legal,books,False
en-US,Legal,borrowed,False
en-US,Legal,branch,False
en-US,Legal,breach,False
en-US,Legal,bridge lender,False
en-US,Legal,broker,False
en-US,Legal,budget,False
en-US,Legal,building,False
en-US,Legal,built,False
en-US,Legal,bureau,False
en-US,Legal,business,False
en-US,Legal,business day,False
en-US,Legal,business hours,False
en-US,Legal,buy,False
en-US,Legal,buyer,False
en-US,Legal,bylaws,False
en-US,Legal,by-laws,False
en-US,Legal,calculate,False
en-US,Legal,calendar,False
en-US,Legal,calendar quarter,False
en-US,Legal,calendar year,False
en-US,Legal,call,False
en-US,Legal,cap,False
en-US,Legal,capacity,False
en-US,Legal,capital,False
en-US,Legal,capital account,False
en-US,Legal,capital expenditure,False
en-US,Legal,capital lease,False
en-US,Legal,capital stock,False
en-US,Legal,captions,False
en-US,Legal,card,False
en-US,Legal,care,False
en-US,Legal,carrier,False
en-US,Legal,case,False
en-US,Legal,cash,False
en-US,Legal,cash collateral,False
en-US,Legal,cash equivalent,False
en-US,Legal,cash flow,False
en-US,Legal,cashless,False
en-US,Legal,casualty,False
en-US,Legal,category,False
en-US,Legal,cause,False
en-US,Legal,cease,False
en-US,Legal,cede,False
en-US,Legal,center,False
en-US,Legal,certificate,False
en-US,Legal,certificate administrator,False
en-US,Legal,certificates class,False
en-US,Legal,certified public accountant,False
en-US,Legal,certify,False
en-US,Legal,chairman,False
en-US,Legal,change,False
en-US,Legal,change control,False
en-US,Legal,change in control,False
en-US,Legal,charge,False
en-US,Legal,chattel,False
en-US,Legal,check,False
en-US,Legal,chief,False
en-US,Legal,chief executive,False
en-US,Legal,chief executive officer,False
en-US,Legal,chief financial officer,False
en-US,Legal,circumstance,False
en-US,Legal,city,False
en-US,Legal,civil,False
en-US,Legal,claim,False
en-US,Legal,claimant,False
en-US,Legal,class,False
en-US,Legal,classification,False
en-US,Legal,classified,False
en-US,Legal,clean,False
en-US,Legal,clearing,False
en-US,Legal,client,False
en-US,Legal,close,False
en-US,Legal,closing date,False
en-US,Legal,code,False
en-US,Legal,co-lender,False
en-US,Legal,collateral,False
en-US,Legal,collect,False
en-US,Legal,combined,False
en-US,Legal,commence,False
en-US,Legal,commerce,False
en-US,Legal,commercial,False
en-US,Legal,commercial paper,False
en-US,Legal,commercially reasonable,False
en-US,Legal,commission,False
en-US,Legal,committed,False
en-US,Legal,committee,False
en-US,Legal,commodity,False
en-US,Legal,common law,False
en-US,Legal,common stock,False
en-US,Legal,communicate,False
en-US,Legal,companion,False
en-US,Legal,companion loan,False
en-US,Legal,company,False
en-US,Legal,company subsidiary,False
en-US,Legal,comparable,False
en-US,Legal,compensate,False
en-US,Legal,compensation plan,False
en-US,Legal,competent,False
en-US,Legal,competent jurisdiction,False
en-US,Legal,competitive,False
en-US,Legal,complaint,False
en-US,Legal,complete,False
en-US,Legal,completion date,False
en-US,Legal,compliance,False
en-US,Legal,component,False
en-US,Legal,computed,False
en-US,Legal,condemnation,False
en-US,Legal,condition,False
en-US,Legal,conduct,False
en-US,Legal,confer,False
en-US,Legal,confidence,False
en-US,Legal,confidential,False
en-US,Legal,confidential information,False
en-US,Legal,confirmed,False
en-US,Legal,conflict,False
en-US,Legal,consecutive,False
en-US,Legal,consent,False
en-US,Legal,consequential,False
en-US,Legal,conservator,False
en-US,Legal,consideration,False
en-US,Legal,consistent,False
en-US,Legal,consolidated,False
en-US,Legal,consolidated financial,False
en-US,Legal,consolidated financial statements,False
en-US,Legal,construct,False
en-US,Legal,construction contract,False
en-US,Legal,consult,False
en-US,Legal,consumer,False
en-US,Legal,consummate,False
en-US,Legal,contact,False
en-US,Legal,contemporaneously,False
en-US,Legal,contest,False
en-US,Legal,contingent,False
en-US,Legal,contingent liability,False
en-US,Legal,continuous,False
en-US,Legal,contract,False
en-US,Legal,contract price,False
en-US,Legal,contractor,False
en-US,Legal,contractual,False
en-US,Legal,contravention,False
en-US,Legal,contribute,False
en-US,Legal,control,False
en-US,Legal,controlled group,False
en-US,Legal,controlling class,False
en-US,Legal,conversion,False
en-US,Legal,convert,False
en-US,Legal,convey,False
en-US,Legal,cooperation,False
en-US,Legal,copy,False
en-US,Legal,copyright,False
en-US,Legal,core,False
en-US,Legal,corporate,False
en-US,Legal,corporate action,False
en-US,Legal,correct,False
en-US,Legal,cost,False
en-US,Legal,co-trustee,False
en-US,Legal,counsel,False
en-US,Legal,counterclaim,False
en-US,Legal,counterpart,False
en-US,Legal,counterparty,False
en-US,Legal,country,False
en-US,Legal,county,False
en-US,Legal,courier,False
en-US,Legal,court,False
en-US,Legal,court of competent jurisdiction,False
en-US,Legal,court order,False
en-US,Legal,covenant,False
en-US,Legal,coverage,False
en-US,Legal,covered,False
en-US,Legal,creation,False
en-US,Legal,credit,False
en-US,Legal,credit agreement,False
en-US,Legal,credit facility,False
en-US,Legal,credit risk,False
en-US,Legal,creditor,False
en-US,Legal,criminal,False
en-US,Legal,criteria,False
en-US,Legal,cumulative,False
en-US,Legal,cure,False
en-US,Legal,cure period,False
en-US,Legal,currency,False
en-US,Legal,current,False
en-US,Legal,cusip,False
en-US,Legal,custodian,False
en-US,Legal,custody,False
en-US,Legal,customarily,False
en-US,Legal,customary,False
en-US,Legal,customer,False
en-US,Legal,daily,False
en-US,Legal,damage,False
en-US,Legal,data,False
en-US,Legal,data room,False
en-US,Legal,date,False
en-US,Legal,date of determination,False
en-US,Legal,date of issuance,False
en-US,Legal,day,False
en-US,Legal,deadline,False
en-US,Legal,deal,False
en-US,Legal,dealer,False
en-US,Legal,death,False
en-US,Legal,debenture,False
en-US,Legal,debt,False
en-US,Legal,debt service,False
en-US,Legal,debtor,False
en-US,Legal,decision,False
en-US,Legal,declare,False
en-US,Legal,decreased,False
en-US,Legal,decree,False
en-US,Legal,deduct,False
en-US,Legal,deed,False
en-US,Legal,default,False
en-US,Legal,defeasance,False
en-US,Legal,defect,False
en-US,Legal,defend,False
en-US,Legal,defense,False
en-US,Legal,defer,False
en-US,Legal,deferral,False
en-US,Legal,deficiency,False
en-US,Legal,delegate,False
en-US,Legal,delinquent,False
en-US,Legal,deliver,False
en-US,Legal,delivery,False
en-US,Legal,demand,False
en-US,Legal,denominated,False
en-US,Legal,dental,False
en-US,Legal,department,False
en-US,Legal,departure,False
en-US,Legal,dependent,False
en-US,Legal,deposit,False
en-US,Legal,depositary,False
en-US,Legal,depositor,False
en-US,Legal,depository,False
en-US,Legal,depository institution,False
en-US,Legal,depository trust,False
en-US,Legal,depreciation,False
en-US,Legal,derived,False
en-US,Legal,descendants,False
en-US,Legal,design,False
en-US,Legal,designee,False
en-US,Legal,destruction,False
en-US,Legal,detail,False
en-US,Legal,determination,False
en-US,Legal,developed,False
en-US,Legal,device,False
en-US,Legal,diligence,False
en-US,Legal,direct,False
en-US,Legal,director,False
en-US,Legal,disability,False
en-US,Legal,disbursement,False
en-US,Legal,discharge,False
en-US,Legal,disclaimer,False
en-US,Legal,disclose,False
en-US,Legal,disclosure,False
en-US,Legal,discount,False
en-US,Legal,discovery,False
en-US,Legal,discretion,False
en-US,Legal,discrimination,False
en-US,Legal,dispose,False
en-US,Legal,disposition,False
en-US,Legal,dispute,False
en-US,Legal,dispute resolution,False
en-US,Legal,disqualified,False
en-US,Legal,disqualified organization,False
en-US,Legal,disregarded,False
en-US,Legal,dissolution,False
en-US,Legal,distance,False
en-US,Legal,distribute,False
en-US,Legal,distribution date,False
