Term Locale,Term Category,Term,Alias,Case Sensitive
en-us,Legal - Real Estate,A-Frame Design,,FALSE
en-us,Legal - Real Estate,Absolute Net,,FALSE
en-us,Legal - Real Estate,Abstract of Judgment,,FALSE
en-us,Legal - Real Estate,Accelerated Cost Recovery System,,FALSE
en-us,Legal - Real Estate,Accelerated Depreciation,,FALSE
en-us,Legal - Real Estate,Acceleration Clause,,FALSE
en-us,Legal - Real Estate,Acceptance,,FALSE
en-us,Legal - Real Estate,Access,,FALSE
en-us,Legal - Real Estate,Accessibility,,FALSE
en-us,Legal - Real Estate,Accretion,,FALSE
en-us,Legal - Real Estate,Acknowledgment,,FALSE
en-us,Legal - Real Estate,Acre,,FALSE
en-us,Legal - Real Estate,Acre Foot,,FALSE
en-us,Legal - Real Estate,Active Solar System,,FALSE
en-us,Legal - Real Estate,Actual Age,,FALSE
en-us,Legal - Real Estate,Add-On Interest,,FALSE
en-us,Legal - Real Estate,Addendum,,FALSE
en-us,Legal - Real Estate,Additional Principal Payment,,FALSE
en-us,Legal - Real Estate,Additional Rent,,FALSE
en-us,Legal - Real Estate,Adjustable-Rate Mortgage,ARM,FALSE
en-us,Legal - Real Estate,Adjusted Cost Basis,,FALSE
en-us,Legal - Real Estate,Adjustment Period,,FALSE
en-us,Legal - Real Estate,Administrator,,FALSE
en-us,Legal - Real Estate,Administrator's Deed,,FALSE
en-us,Legal - Real Estate,Adverse Possession,,FALSE
en-us,Legal - Real Estate,Adverse Use,,FALSE
en-us,Legal - Real Estate,Agency,,FALSE
en-us,Legal - Real Estate,Agency Closing,,FALSE
en-us,Legal - Real Estate,Agent,,FALSE
en-us,Legal - Real Estate,Agreed Boundary,,FALSE
en-us,Legal - Real Estate,Agreement of Sale,,FALSE
en-us,Legal - Real Estate,Alienation Clause,,FALSE
en-us,Legal - Real Estate,Alkaline Soil,,FALSE
en-us,Legal - Real Estate,Alley,,FALSE
en-us,Legal - Real Estate,Allowances,,FALSE
en-us,Legal - Real Estate,Alternative Mortgage,,FALSE
en-us,Legal - Real Estate,Aluminum-Clad Windows,,FALSE
en-us,Legal - Real Estate,Amenities,,FALSE
en-us,Legal - Real Estate,American Society of Home Inspectors,ASHI,FALSE
en-us,Legal - Real Estate,Americans With Disabilities Act,ADA,FALSE
en-us,Legal - Real Estate,Amortization,,FALSE
en-us,Legal - Real Estate,Amortization Tables,,FALSE
en-us,Legal - Real Estate,Annual Mortgagor Statement,,FALSE
en-us,Legal - Real Estate,Annual Percentage Rate,APR,FALSE
en-us,Legal - Real Estate,Annuity,,FALSE
en-us,Legal - Real Estate,Anticipatory Breach,,FALSE
en-us,Legal - Real Estate,Application,,FALSE
en-us,Legal - Real Estate,Application Fee,,FALSE
en-us,Legal - Real Estate,Appraisal,,FALSE
en-us,Legal - Real Estate,Appraisal Fee,,FALSE
en-us,Legal - Real Estate,Appraisal Report,,FALSE
en-us,Legal - Real Estate,Appraised Value,,FALSE
en-us,Legal - Real Estate,Appreciation,,FALSE
en-us,Legal - Real Estate,Arbitration,,FALSE
en-us,Legal - Real Estate,As-Is,,FALSE
en-us,Legal - Real Estate,As-Is Condition,,FALSE
en-us,Legal - Real Estate,Asbestos,,FALSE
en-us,Legal - Real Estate,Asking Price,,FALSE
en-us,Legal - Real Estate,Assessed Value,,FALSE
en-us,Legal - Real Estate,Assessment,,FALSE
en-us,Legal - Real Estate,Assessment Rolls,,FALSE
en-us,Legal - Real Estate,Assets,,FALSE
en-us,Legal - Real Estate,Subletting,Assignment,FALSE
en-us,Legal - Real Estate,Assignor,,FALSE
en-us,Legal - Real Estate,Assumable Mortgage,,FALSE
en-us,Legal - Real Estate,Assumption Clause,,FALSE
en-us,Legal - Real Estate,Assumption Fee,,FALSE
en-us,Legal - Real Estate,Attorneys' Fees,,FALSE
en-us,Legal - Real Estate,Aviation Easement,,FALSE
en-us,Legal - Real Estate,Awning Windows,,FALSE
en-us,Legal - Real Estate,Back Title Letter,,FALSE
en-us,Legal - Real Estate,Backup Offer,,FALSE
en-us,Legal - Real Estate,Balance Sheet,,FALSE
en-us,Legal - Real Estate,Balloon Loan,,FALSE
en-us,Legal - Real Estate,Bankruptcy,,FALSE
en-us,Legal - Real Estate,Bargain Sale,,FALSE
en-us,Legal - Real Estate,Base Building,,FALSE
en-us,Legal - Real Estate,Baseboard Electric Heat,,FALSE
en-us,Legal - Real Estate,Basis Point,,FALSE
en-us,Legal - Real Estate,Bed Tax,,FALSE
en-us,Legal - Real Estate,Before-Tax Income,,FALSE
en-us,Legal - Real Estate,Beneficiary,,FALSE
en-us,Legal - Real Estate,Bequest,,FALSE
en-us,Legal - Real Estate,Betterment,,FALSE
en-us,Legal - Real Estate,Bidding War,,FALSE
en-us,Legal - Real Estate,Bilateral Contract,,FALSE
en-us,Legal - Real Estate,Bill of Sale,,FALSE
en-us,Legal - Real Estate,Binder,,FALSE
