Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Legal - CFR Title 26,10 percent owned corporation,,False
en-US,Legal - CFR Title 26,10 percent owned foreign corporation,,False
en-US,Legal - CFR Title 7,18 to 20 points,,False
en-US,Legal - CFR Title 20,1935 act,,False
en-US,Legal - CFR Title 20,1937 act,,False
en-US,Legal - CFR Title 26,1-year break in service,,False
en-US,Legal - CFR Title 26,225-mile zone,,False
en-US,Legal - CFR Title 7,27 to 30 points,,False
en-US,Legal - CFR Title 26,30 miles,,False
en-US,Legal - CFR Title 17,4 to 8-92/25%,,False
en-US,Legal - CFR Title 27,6 separate occasions,,False
en-US,Legal - CFR Title 26,a complete release,,False
en-US,Legal - CFR Title 15,a just financial obligation,,False
en-US,Legal - CFR Title 26,a reasonable time,,False
en-US,Legal - CFR Title 8,abroad,,False
en-US,Legal - CFR Title 26,absorber,,False
en-US,Legal - CFR Title 9,acceptable,,False
en-US,Legal - CFR Title 15,acceptance by volume of distribution,,False
en-US,Legal - CFR Title 15,acceptance by volume of production,,False
en-US,Legal - CFR Title 10,acceptance criteria,,False
en-US,Legal - CFR Title 21,acceptance criteria,,False
en-US,Legal - CFR Title 7,acceptance number,,False
en-US,Legal - CFR Title 12,accepted credit card,,False
en-US,Legal - CFR Title 12,access device,,False
en-US,Legal - CFR Title 10,accident,,False
en-US,Legal - CFR Title 20,accident,,False
en-US,Legal - CFR Title 22,accommodation,,False
en-US,Legal - CFR Title 12,account,,False
en-US,Legal - CFR Title 12,account,,False
en-US,Legal - CFR Title 17,account,,False
en-US,Legal - CFR Title 26,accounting literature,,False
en-US,Legal - CFR Title 17,"accounts of a futures commission merchant, clearing member or foreign broker",,False
en-US,Legal - CFR Title 26,accrued benefit,,False
en-US,Legal - CFR Title 26,accumulated contributions,,False
en-US,Legal - CFR Title 26,accumulated disc income,,False
en-US,Legal - CFR Title 26,accumulated ecep,,False
en-US,Legal - CFR Title 26,acquisition cost,,False
en-US,Legal - CFR Title 12,act,,False
en-US,Legal - CFR Title 15,act,,False
en-US,Legal - CFR Title 20,act,,False
en-US,Legal - CFR Title 22,act,,False
en-US,Legal - CFR Title 25,act,,False
en-US,Legal - CFR Title 6,act,,False
en-US,Legal - CFR Title 7,act,,False
en-US,Legal - CFR Title 9,act,,False
en-US,Legal - CFR Title 6,act of terrorism,,False
en-US,Legal - CFR Title 12,acting in concert,,False
en-US,Legal - CFR Title 12,action,,False
en-US,Legal - CFR Title 26,active leasing expenses,,False
en-US,Legal - CFR Title 26,active licensing expenses,,False
en-US,Legal - CFR Title 10,active mode,,False
en-US,Legal - CFR Title 26,active participant,,False
en-US,Legal - CFR Title 12,activity,,False
en-US,Legal - CFR Title 12,activity permissible for a federal savings association,,False
