Term Locale,Term Category,Act Alias Name,Act Alias Year,Act Identity Name,Act Identity Year,Case Sensitive
en-US,Geopolitcal - Acts,33,,Securities,1933,FALSE
en-US,Geopolitcal - Acts,34,,Securities Exchange,1934,FALSE
en-US,Geopolitcal - Acts,35,,Public Utility Holding Company,1935,FALSE
en-US,Geopolitcal - Acts,40,,Investment Company,1940,FALSE
en-US,Geopolitcal - Acts,1933,,Securities,1933,FALSE
en-US,Geopolitcal - Acts,1934,,Securities Exchange,1934,FALSE
en-US,Geopolitcal - Acts,1935,,Public Utility Holding Company,1935,FALSE
en-US,Geopolitcal - Acts,1940,,Investment Company,1940,FALSE
en-US,Geopolitcal - Acts,21st Century,2008,Check Clearing for the 21st Century,2008,FALSE
en-US,Geopolitcal - Acts,21st Century Communications And Video Accessibility,2011,,,FALSE
en-US,Geopolitcal - Acts,Accountable Pipeline Safety and Partnership,1996,,,FALSE
en-US,Geopolitcal - Acts,Age Discrimination In Employment,1967,,,FALSE
en-US,Geopolitcal - Acts,Air Transportation Safety And System Stabilization,2001,,,FALSE
en-US,Geopolitcal - Acts,Airline Deregulation,1978,,,FALSE
en-US,Geopolitcal - Acts,Airport Noise And Capacity,1990,,,FALSE
en-US,Geopolitcal - Acts,Alcoholic Beverage Labeling,1988,Anti Drug Abuse,1988,FALSE
en-US,Geopolitcal - Acts,Alternative Energy Portfolio Standards,2004,,,FALSE
en-US,Geopolitcal - Acts,American Clean Energy And Security,2009,,,FALSE
en-US,Geopolitcal - Acts,American Job Creation,2004,American Jobs Creation,2004,FALSE
en-US,Geopolitcal - Acts,American Jobs Creation,2004,,,FALSE
en-US,Geopolitcal - Acts,American Jobs Creations,2004,American Jobs Creation,2004,FALSE
en-US,Geopolitcal - Acts,American Microturbine Manufacturing and Clean Energy Deployment,2014,,,FALSE
en-US,Geopolitcal - Acts,American Recovery And Reinvestment,2009,,,FALSE
en-US,Geopolitcal - Acts,American Recovery And Reinvestment Tax,2009,American Recovery And Reinvestment,2009,FALSE
en-US,Geopolitcal - Acts,American Taxpayer Relief,2012,,,FALSE
en-US,Geopolitcal - Acts,American With Disabilities,1990,Americans With Disabilities,1990,FALSE
en-US,Geopolitcal - Acts,Americans With 6 Disabilities,1990,Americans With Disabilities,1990,FALSE
en-US,Geopolitcal - Acts,Americans With Disabilities,1990,,,FALSE
en-US,Geopolitcal - Acts,Anti Drug Abuse,1988,,,FALSE
en-US,Geopolitcal - Acts,Anti Kickback,1986,,,FALSE
en-US,Geopolitcal - Acts,Anti Price Discrimination,1936,,,FALSE
en-US,Geopolitcal - Acts,Anti-Kickback,1986,,,FALSE
en-US,Geopolitcal - Acts,Antitrust Procedures And Penalties,1974,,,FALSE
en-US,Geopolitcal - Acts,Arms Export Control,1976,,,FALSE
en-US,Geopolitcal - Acts,Assignment Of Claims,1940,,,FALSE
en-US,Geopolitcal - Acts,Atomic Energy,1954,,,FALSE
en-US,Geopolitcal - Acts,Automobile Dealers' Day in Court,1964,,,FALSE
en-US,Geopolitcal - Acts,Aviation And Transportation Security,2001,,,FALSE
en-US,Geopolitcal - Acts,Aviation Noise And Capacity,1990,,,FALSE
en-US,Geopolitcal - Acts,Aviation Safety and Capacity Expansion,1990,,,FALSE
en-US,Geopolitcal - Acts,Aviation Safety And Noise Abatement,1979,,,FALSE
en-US,Geopolitcal - Acts,Balance Budget,1997,Balanced Budget,1997,FALSE
en-US,Geopolitcal - Acts,Balanced Budget,1997,,,FALSE
en-US,Geopolitcal - Acts,Balanced Budget Refinement,1999,,,FALSE
en-US,Geopolitcal - Acts,Bank Enterprise,1991,,,FALSE
en-US,Geopolitcal - Acts,Bank Holding Company,1956,,,FALSE
en-US,Geopolitcal - Acts,Bank Secrecy,1970,,,FALSE
en-US,Geopolitcal - Acts,Bank Service Company,1962,,,FALSE
en-US,Geopolitcal - Acts,Banking,1933,,,FALSE
en-US,Geopolitcal - Acts,Bankruptcy Reform,1978,,,FALSE
en-US,Geopolitcal - Acts,Benefits Improvement And Protection,2000,,,FALSE
en-US,Geopolitcal - Acts,Bhc,1956,Bank Holding Company,1956,FALSE
en-US,Geopolitcal - Acts,Bilingual Education,1968,Education,1968,FALSE
en-US,Geopolitcal - Acts,Bioterrorism Response,2001,Public Health Security and Bioterrorism Preparedness Response,2002,FALSE
en-US,Geopolitcal - Acts,Black Lung Benefits,1972,,,FALSE
en-US,Geopolitcal - Acts,Black Lung Benefits Revenue,1977,,,FALSE
en-US,Geopolitcal - Acts,Brady,1993,,,FALSE
en-US,Geopolitcal - Acts,Brady Handgun Violence Prevention,1993,,,FALSE
en-US,Geopolitcal - Acts,Broadcasting,1967,Public Broadcasting,1967,FALSE
en-US,Geopolitcal - Acts,Budget Reconciliation,1993,,,FALSE
en-US,Geopolitcal - Acts,Cable,1984,Cable Communications Policy,1984,FALSE
en-US,Geopolitcal - Acts,Cable,1992,,,FALSE
en-US,Geopolitcal - Acts,Cable Communications Policy,1984,,,FALSE
en-US,Geopolitcal - Acts,Cable Television Consumer Protection And Competition,1992,,,FALSE
en-US,Geopolitcal - Acts,Can Spam,2003,Controlling the Assault of Non-Solicited Pornography And Marketing Act,2003,FALSE
en-US,Geopolitcal - Acts,Card,2009,Credit Card Accountability Responsibility and Disclosure,2009,FALSE
en-US,Geopolitcal - Acts,Cftc,1974,Commodity Futures Trading Commission,1974,FALSE
en-US,Geopolitcal - Acts,Change In Bank Control,1978,,,FALSE
en-US,Geopolitcal - Acts,Check 21,2008,Check Clearing for the 21st Century,2008,FALSE
en-US,Geopolitcal - Acts,Check Clearing for the 21st Century,2008,,,FALSE
en-US,Geopolitcal - Acts,Child Online Protection,1998,,,FALSE
en-US,Geopolitcal - Acts,Children' S Online Privacy Protection,1998,,,FALSE
en-US,Geopolitcal - Acts,Children' S Television,1990,,,FALSE
en-US,Geopolitcal - Acts,Chinese Exclusion Repeal,1943,,,FALSE
en-US,Geopolitcal - Acts,Civil Rights,1866,,,FALSE
en-US,Geopolitcal - Acts,Civil Rights,1964,,,FALSE
en-US,Geopolitcal - Acts,Civil Rights,1991,,,FALSE
en-US,Geopolitcal - Acts,Clean Air,1970,,,FALSE
en-US,Geopolitcal - Acts,Clean Air,1990,,,FALSE
en-US,Geopolitcal - Acts,Clean Air Planning,2002,,,FALSE
en-US,Geopolitcal - Acts,Clean Air Planning,2003,,,FALSE
