Term Locale,Term Category,State,Term,Alias
en-US,Legal - State Code,Alabama,Alabama Code,Ala. Code
en-US,Legal - State Code,Alaska,Alaska Statutes,Alaska Stat.
en-US,Legal - State Code,Arizona,Arizona Revised Statutes,Ariz. Rev. Stat.
en-US,Legal - State Code,Arkansas,Arkansas Code,Ark. Code
en-US,Legal - State Code,California,California Commercial Code,Cal. Com. Code
en-US,Legal - State Code,Colorado,Colorado Revised Statutes,Colo. Rev. Stat.
en-US,Legal - State Code,Connecticut,Connecticut General Statutes,Conn. Gen. Stat.
en-US,Legal - State Code,Delaware,Delaware Code,Del. Code
en-US,Legal - State Code,District of Columbia,District of Columbia Code,D.C. Code
en-US,Legal - State Code,Florida,Florida Statutes,Fla. Stat.
en-US,Legal - State Code,Georgia,Georgia Code Annotated,Ga. Code Ann.; Georgia Code; Ga. Code
en-US,Legal - State Code,Hawaii,Hawaii Revised Statutes,Haw. Rev. Stat.
en-US,Legal - State Code,Idaho,Idaho Code Annotated,Idaho Code Ann.
en-US,Legal - State Code,Illinois,Illinois Compiled Statutes,Ill. Comp. Stat.; ILCS
en-US,Legal - State Code,Indiana,Indiana Code,Ind. Code
en-US,Legal - State Code,Iowa,Iowa Code,Iowa Code
en-US,Legal - State Code,Kansas,Kansas Statute,Kan. Stat. Ann.
en-US,Legal - State Code,Kentucky,Kentucky Revised Statutes,Ky. Rev. Stat. Ann.; KRS
en-US,Legal - State Code,Louisiana,Louisiana Revised Statutes,La. Stat. Ann.
en-US,Legal - State Code,Maine,Maine Revised Statutes,Me. Stat.
en-US,Legal - State Code,Maryland,Maryland Code ,"Md. Code; Code of Maryland, "
en-US,Legal - State Code,Massachusetts,Massachusetts General Laws,Mass. Gen. Laws
en-US,Legal - State Code,Michigan,Michigan Compiled Laws,Mich. Comp. Laws; MCL
en-US,Legal - State Code,Minnesota,Minnesota Statutes,Minn. Stat.
en-US,Legal - State Code,Mississippi,Mississippi Code,Miss. Code; MS Code
en-US,Legal - State Code,Missouri,Missouri Code of State Regulations,Mo. Rev. Stat.;  CSR
en-US,Legal - State Code,Montana,Montana Code Annotated,Mont. Code Ann.; MCA
en-US,Legal - State Code,Nebraska,Nebraska Revised Statutes,Neb. Rev. Stat.
en-US,Legal - State Code,Nevada,Nevada Revised Statutes,Nev. Rev. Stat.; NRS
en-US,Legal - State Code,New Hampshire,New Hampshire Statutes Annotated,N.H. Rev. Stat. Ann.
en-US,Legal - State Code,New Jersey,New Jersey Revised Statutes,N.J. Rev. Stat.
en-US,Legal - State Code,New Mexico,New Mexico Statutes ,N.M. Stat.
en-US,Legal - State Code,New York,Consolidated Laws of the State of New York,Consolidated Laws of New York
en-US,Legal - State Code,North Carolina,North Carolina General Statutes,N.C. Gen. Stat.
en-US,Legal - State Code,North Dakota,North Dakota Century Code,N.D. Cent. Code
en-US,Legal - State Code,Ohio,Ohio Revised Code,Ohio Rev. Code; ORC
en-US,Legal - State Code,Oklahoma,Oklahoma Statutes,Okla. Stat.
en-US,Legal - State Code,Oregon,Oregon Revised Statutes,Or. Rev. Stat.
en-US,Legal - State Code,Pennsylvania,Pennsylvania Consolidated Statutes,Pa. Cons. Stat.
en-US,Legal - State Code,Rhode Island,Rhode Island General Laws,R.I. Gen. Laws
en-US,Legal - State Code,South Carolina,South Carolina Code of Laws,S.C. Code
en-US,Legal - State Code,South Dakota,South Dakota Codified Laws,S.D. Codified Laws
en-US,Legal - State Code,Tennessee,Tennessee Code,Tenn. Code
en-US,Legal - State Code,Texas,Texas Statutes,
en-US,Legal - State Code,Utah,Utah Code,Utah Code
en-US,Legal - State Code,Vermont,Vermont Statutes,Vt. Stat.
en-US,Legal - State Code,Virginia,Virginia Code Annotated,Va. Code Ann.
en-US,Legal - State Code,Washington,Revised Code of Washington,Wash. Rev. Code;  RCW
en-US,Legal - State Code,West Virginia,West Virginia Code,W. Va. Code
en-US,Legal - State Code,Wisconsin,Wisconsin Statutes,Wis. Stat.
en-US,Legal - State Code,Wyoming,Wyoming Statutes,Wyo. Stat..
