Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,US Code - Title 1,association,,False
en-US,US Code - Title 1,county,,False
en-US,US Code - Title 1,individual,,False
en-US,US Code - Title 1,marriage,,False
en-US,US Code - Title 1,vehicle,,False
en-US,US Code - Title 1,vessel,,False
en-US,US Code - Title 10,abroad,,False
en-US,US Code - Title 10,abuse of authority,,False
en-US,US Code - Title 10,academy cadet or midshipman,,False
en-US,US Code - Title 10,academy mixed-funded athletic or recreational extracurricular program,,False
en-US,US Code - Title 10,accredited institution,,False
en-US,US Code - Title 10,accuser,,False
en-US,US Code - Title 10,acquisition support agencies,,False
en-US,US Code - Title 10,acquisition workforce,,False
en-US,US Code - Title 10,act of prostitution,,False
en-US,US Code - Title 10,active duty,,False
en-US,US Code - Title 10,active duty for a period of more than 30 days,,False
en-US,US Code - Title 10,active guard and reserve,,False
en-US,US Code - Title 10,active guard and reserve duty,,False
en-US,US Code - Title 10,active service,,False
en-US,US Code - Title 10,active status,,False
en-US,US Code - Title 10,active-duty list,,False
en-US,US Code - Title 10,administering secretaries,,False
en-US,US Code - Title 10,administrative expenses,,False
en-US,US Code - Title 10,administrator,,False
en-US,US Code - Title 10,advanced education,,False
en-US,US Code - Title 10,advanced training,,False
en-US,US Code - Title 10,advisory and assistance services object class,,False
en-US,US Code - Title 10,agency,,False
en-US,US Code - Title 10,agency procurement total,,False
en-US,US Code - Title 10,air national guard,air national guard of the united states,False
en-US,US Code - Title 10,alien,,False
en-US,US Code - Title 10,alleged sex-related offense,,False
en-US,US Code - Title 10,allied country,,False
en-US,US Code - Title 10,allied international organization,,False
en-US,US Code - Title 10,americorps,,False
en-US,US Code - Title 10,an employee of a nonappropriated fund instrumentality,,False
en-US,US Code - Title 10,ancillary supporting facilities,,False
en-US,US Code - Title 10,anomaly,,False
en-US,US Code - Title 10,antitrust laws,,False
en-US,US Code - Title 10,applicable minimum number of members,,False
en-US,US Code - Title 10,applicable procurement account,,False
en-US,US Code - Title 10,applicant for military service,,False
