Term Locale,Term Category,Term,CaseSensitive
en-us,Element,hydrogen,FALSE
en-us,Element,helium,FALSE
en-us,Element,lithium,FALSE
en-us,Element,beryllium,FALSE
en-us,Element,boron,FALSE
en-us,Element,carbon,FALSE
en-us,Element,nitrogen,FALSE
en-us,Element,oxygen,FALSE
en-us,Element,fluorine,FALSE
en-us,Element,neon,FALSE
en-us,Element,sodium,FALSE
en-us,Element,magnesium,FALSE
en-us,Element,alulminum,FALSE
en-gb,Element,aluminium,FALSE
en-us,Element,silicon,FALSE
en-us,Element,phosphorus,FALSE
en-us,Element,sulfur,FALSE
en-us,Element,chlorine,FALSE
en-us,Element,argon,FALSE
en-us,Element,potassium,FALSE
en-us,Element,calcium,FALSE
en-us,Element,scandium,FALSE
en-us,Element,titanium,FALSE
en-us,Element,vanadium,FALSE
en-us,Element,chromium,FALSE
en-us,Element,manganese,FALSE
en-us,Element,iron,FALSE
en-us,Element,cobalt,FALSE
en-us,Element,nickel,FALSE
en-us,Element,copper,FALSE
en-us,Element,zinc,FALSE
en-us,Element,gallium,FALSE
en-us,Element,germanium,FALSE
en-us,Element,arsenic,FALSE
en-us,Element,selenium,FALSE
en-us,Element,bromine,FALSE
en-us,Element,krypton,FALSE
en-us,Element,rubidium,FALSE
en-us,Element,strontium,FALSE
en-us,Element,yttrium,FALSE
en-us,Element,zirconium,FALSE
en-us,Element,niobium,FALSE
en-us,Element,molybdenum,FALSE
en-us,Element,technetium,FALSE
en-us,Element,ruthenium,FALSE
en-us,Element,rhodium,FALSE
en-us,Element,palladium,FALSE
en-us,Element,silver,FALSE
en-us,Element,cadmium,FALSE
en-us,Element,indium,FALSE
en-us,Element,tin,FALSE
en-us,Element,antimony,FALSE
en-us,Element,tellurium,FALSE
en-us,Element,iodine,FALSE
en-us,Element,xenon,FALSE
en-us,Element,caesium,FALSE
en-us,Element,barium,FALSE
en-us,Element,lathanum,FALSE
en-us,Element,cerium,FALSE
en-us,Element,praseodymium,FALSE
en-us,Element,neodymium,FALSE
en-us,Element,promethium,FALSE
en-us,Element,samarium,FALSE
en-us,Element,europium,FALSE
en-us,Element,gadolinium,FALSE
en-us,Element,terbium,FALSE
