Term Locale,Term Category,Term,Alias,Case Sensitive
en-us,Scientific - Hazardous Waste,dioxin,,False
en-us,Scientific - Hazardous Waste,acids,,False
en-us,Scientific - Hazardous Waste,adhesives,,False
en-us,Scientific - Hazardous Waste,aerosol cans,,False
en-us,Scientific - Hazardous Waste,air conditioners,,False
en-us,Scientific - Hazardous Waste,air fresheners,,False
en-us,Scientific - Hazardous Waste,alkaline batteries,,False
en-us,Scientific - Hazardous Waste,artist's materials,,False
en-us,Scientific - Hazardous Waste,artists paint,,False
en-us,Scientific - Hazardous Waste,asbestos,,False
en-us,Scientific - Hazardous Waste,automative waxes,,False
en-us,Scientific - Hazardous Waste,bases,,False
en-us,Scientific - Hazardous Waste,batteries,,False
en-us,Scientific - Hazardous Waste,biohazardous waste,,False
en-us,Scientific - Hazardous Waste,blood pressure cuffs,,False
en-us,Scientific - Hazardous Waste,brush cleaners,,False
en-us,Scientific - Hazardous Waste,bug spray,,False
en-us,Scientific - Hazardous Waste,capacitors,,False
en-us,Scientific - Hazardous Waste,car batteries,,False
en-us,Scientific - Hazardous Waste,caustics,,False
en-us,Scientific - Hazardous Waste,ceramic glaze,,False
en-us,Scientific - Hazardous Waste,compact flourescent lamps,CFL,False
en-us,Scientific - Hazardous Waste,computers,,False
en-us,Scientific - Hazardous Waste,controlled substances,,False
en-us,Scientific - Hazardous Waste,CRTs,CRT's,False
en-us,Scientific - Hazardous Waste,cutting oil,,False
en-us,Scientific - Hazardous Waste,darkroom chemicals,,False
en-us,Scientific - Hazardous Waste,dehumidifiers,,False
en-us,Scientific - Hazardous Waste,dental amalgams,,False
en-us,Scientific - Hazardous Waste,dental fillings,,False
en-us,Scientific - Hazardous Waste,disinfectants,,False
en-us,Scientific - Hazardous Waste,drugs,,False
en-us,Scientific - Hazardous Waste,dyes,,False
en-us,Scientific - Hazardous Waste,electronic devices,,False
en-us,Scientific - Hazardous Waste,empty chemical containers,,False
en-us,Scientific - Hazardous Waste,empty p-waste chemical containers,,False
en-us,Scientific - Hazardous Waste,etchants,,False
en-us,Scientific - Hazardous Waste,e-waste,,False
en-us,Scientific - Hazardous Waste,fertilizers,,False
en-us,Scientific - Hazardous Waste,film,,False
en-us,Scientific - Hazardous Waste,fireworks,,False
en-us,Scientific - Hazardous Waste,fluorescent lamps,,False
en-us,Scientific - Hazardous Waste,formaldehyde,,False
en-us,Scientific - Hazardous Waste,freezers,,False
en-us,Scientific - Hazardous Waste,freon,,False
en-us,Scientific - Hazardous Waste,fungicides,,False
en-us,Scientific - Hazardous Waste,gas cylinders,,False
en-us,Scientific - Hazardous Waste,gasoline,,False
en-us,Scientific - Hazardous Waste,glass,,False
en-us,Scientific - Hazardous Waste,glue,,False
en-us,Scientific - Hazardous Waste,grease,,False
en-us,Scientific - Hazardous Waste,herbicides,,False
en-us,Scientific - Hazardous Waste,high intensity discharge lamps,hid lamps,False
en-us,Scientific - Hazardous Waste,inks,,False
en-us,Scientific - Hazardous Waste,insecticides,,False
en-us,Scientific - Hazardous Waste,lab chemicals,,False
en-us,Scientific - Hazardous Waste,lead paint chips,,False
en-us,Scientific - Hazardous Waste,lead shielding,,False
en-us,Scientific - Hazardous Waste,lead weights,,False
en-us,Scientific - Hazardous Waste,mercury,,False
en-us,Scientific - Hazardous Waste,mercury containing items,,False
en-us,Scientific - Hazardous Waste,merthiolate,,False
en-us,Scientific - Hazardous Waste,metal halides lamps,,False
en-us,Scientific - Hazardous Waste,microwave ovens,,False
en-us,Scientific - Hazardous Waste,motor oil,,False
en-us,Scientific - Hazardous Waste,oil,,False
en-us,Scientific - Hazardous Waste,paint,,False
en-us,Scientific - Hazardous Waste,paint rags,,False
en-us,Scientific - Hazardous Waste,paint solvents,,False
