Term Category (en-US),Court ID,Level (en-US),Jurisdiction,Court Type (en-US),Court Type (de-DE),Court Name (de-DE),Alias (de-DE)
Geopolitical - Courts,1,Federal,Federal,Constitutional Court,Verfassungsgericht,Bundesverfassungsgericht,
Geopolitical - Courts,2,Federal,Baden-Württemberg,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Baden-Württemberg,
Geopolitical - Courts,3,Federal,Bayern,Constitutional Court,Verfassungsgericht,Bayerischer Verfassungsgerichtshof,
Geopolitical - Courts,4,Federal,Berlin,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Landes Berlin,
Geopolitical - Courts,5,Federal,Brandenburg,Constitutional Court,Verfassungsgericht,Verfassungsgericht des Landes Brandenburg,
Geopolitical - Courts,6,Federal,Bremen,Constitutional Court,Verfassungsgericht,Staatsgerichtshof der Freien Hansestadt Bremen,
Geopolitical - Courts,7,Federal,Hamburg,Constitutional Court,Verfassungsgericht,Hamburgisches Verfassungsgericht,
Geopolitical - Courts,8,Federal,Hessen,Constitutional Court,Verfassungsgericht,Staatsgerichtshof des Landes Hessen,
Geopolitical - Courts,9,Federal,Mecklenburg-Vorpommern,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Mecklenburg-Vorpommern,
Geopolitical - Courts,10,Federal,Niedersachsen,Constitutional Court,Verfassungsgericht,Niedersächsischer Staatsgerichtshof,
Geopolitical - Courts,11,Federal,Nordrhein-Westfalen,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof für das Land Nordrhein-Westfalen,
Geopolitical - Courts,12,Federal,Rheinland-Pfalz,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof Rheinland-Pfalz,
Geopolitical - Courts,13,Federal,Saarland,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Saarlandes,
Geopolitical - Courts,14,Federal,Sachsen,Constitutional Court,Verfassungsgericht,Verfassungsgerichtshof des Freistaates Sachsen,
Geopolitical - Courts,15,Federal,Sachsen-Anhalt,Constitutional Court,Verfassungsgericht,Landesverfassungsgericht Sachsen-Anhalt,
Geopolitical - Courts,16,Federal,Schleswig-Holstein,Constitutional Court,Verfassungsgericht,Schleswig-Holsteinisches Landesverfassungsgericht,
Geopolitical - Courts,17,Federal,Thüringen,Constitutional Court,Verfassungsgericht,Thüringer Verfassungsgerichtshof,
Geopolitical - Courts,18,Supreme Court,Federal,Supreme Court,Oberster Gerichtshof des Bundes,Bundesgerichtshof,
Geopolitical - Courts,19,Federal,Federal,Intellectual Property Court,Bundesgericht für Angelegenheiten des gewerblichen Rechtsschutzes,Bundespatentgericht,
Geopolitical - Courts,20,Regional,Baden-Württemberg,Higher Regional Court,Obere Landesgerichte,Oberlandesgericht Karlsruhe,
Geopolitical - Courts,21,Regional,Baden-Baden,Regional Court,Landgerichte,Landgericht Baden-Baden,
Geopolitical - Courts,22,Local,Achern,Local Court,Amtsgerichte,Amtsgericht Achern,
Geopolitical - Courts,23,Local,Baden-Baden,Local Court,Amtsgerichte,Amtsgericht Baden-Baden,
Geopolitical - Courts,24,Local,Bühl,Local Court,Amtsgerichte,Amtsgericht Bühl,
Geopolitical - Courts,25,Local,Gernsbach,Local Court,Amtsgerichte,Amtsgericht Gernsbach,
Geopolitical - Courts,26,Local,Rastatt,Local Court,Amtsgerichte,Amtsgericht Rastatt,
