Entity A ID,Entity B ID,Relationship Type
254,240,subdivision
255,240,subdivision
256,240,subdivision
257,240,subdivision
258,240,subdivision
259,240,subdivision
260,240,subdivision
261,240,subdivision
262,240,subdivision
263,240,subdivision
264,240,subdivision
265,240,subdivision
266,240,subdivision
267,240,subdivision
268,240,subdivision
269,240,subdivision
270,240,subdivision
271,240,subdivision
272,240,subdivision
273,240,subdivision
274,240,subdivision
275,240,subdivision
276,240,subdivision
277,240,subdivision
278,240,subdivision
279,240,subdivision
280,240,subdivision
281,240,subdivision
282,240,subdivision
283,240,subdivision
284,240,subdivision
285,240,subdivision
286,240,subdivision
287,240,subdivision
288,240,subdivision
289,240,subdivision
290,240,subdivision
291,240,subdivision
292,240,subdivision
293,240,subdivision
294,240,subdivision
295,240,subdivision
296,240,subdivision
297,240,subdivision
298,240,subdivision
299,240,subdivision
300,240,subdivision
301,240,subdivision
302,240,subdivision
303,240,subdivision
304,240,subdivision
318,13,subdivision
319,13,subdivision
320,13,subdivision
321,13,subdivision
322,13,subdivision
323,13,subdivision
305,40,subdivision
306,40,subdivision
307,40,subdivision
308,40,subdivision
309,40,subdivision
310,40,subdivision
311,40,subdivision
312,40,subdivision
313,40,subdivision
314,40,subdivision
315,40,subdivision
316,40,subdivision
317,40,subdivision
324,77,subdivision
325,77,subdivision
326,77,subdivision
327,77,subdivision
328,77,subdivision
329,77,subdivision
330,77,subdivision
331,77,subdivision
332,77,subdivision
333,77,subdivision
334,77,subdivision
335,77,subdivision
336,77,subdivision
337,77,subdivision
338,77,subdivision
339,77,subdivision
340,77,subdivision
341,77,subdivision
342,77,subdivision
343,77,subdivision
344,77,subdivision
345,77,subdivision
346,84,subdivision
347,84,subdivision
348,84,subdivision
349,84,subdivision
350,84,subdivision
351,84,subdivision
352,84,subdivision
353,84,subdivision
354,84,subdivision
355,84,subdivision
356,84,subdivision
357,84,subdivision
358,84,subdivision
359,84,subdivision
360,84,subdivision
361,84,subdivision
