Term Category,Chemical (en-US),Chemical (en-GB),Chemical (de-DE),Chemical (es-ES),Chemical (fr-FR),Alias,Case Sensitive
Scientific - Chemicals,acetic acid,acetic acid,Essigsäure,Ácido acético,Acide acétique,vinegar,FALSE
Scientific - Chemicals,acetone,acetone,Aceton,Acetona,Acétone,,FALSE
Scientific - Chemicals,acetylene,acetylene,Ethin,Acetileno,Acétylène,,FALSE
Scientific - Chemicals,alum,alum,Alaune,Alumbre,Alun,Potassium aluminum sulfate dodecahydrate; potassium alum,FALSE
Scientific - Chemicals,alumina,alumina; Aluminium oxide,Aluminiumoxid,Alúmina,Alumine,Aluminum oxide,FALSE
Scientific - Chemicals,aluminum hydroxide,aluminium hydroxide,Aluminiumhydroxid,Hidróxido de aluminio,Hydroxyde d'aluminium,alumina hydrate,FALSE
Scientific - Chemicals,aluminum sulfate,aluminum sulfate,Aluminiumsulfat,Sulfato de aluminio,Sulfate d'aluminium,,FALSE
Scientific - Chemicals,ammonia,ammonia,Ammoniak,Amoníaco,Ammoniac,azane,FALSE
Scientific - Chemicals,ammonium alum,ammonium alum; aluminium ammonium sulfate,Aluminiumammoniumsulfat-Dodecahydrat,alumbre de amonio,alun ammonium,aluminum ammonium sulfate,FALSE
Scientific - Chemicals,ammonium bicarbonate,ammonium bicarbonate,Ammoniumhydrogencarbonat,Bicarbonato de amonio,Bicarbonate d'ammonium,,FALSE
Scientific - Chemicals,ammonium bifluoride,ammonium bifluoride,Ammoniumhydrogendifluorid,Bifluoruro de amonio,Difluorure d'ammonium,,FALSE
Scientific - Chemicals,ammonium bromide,ammonium bromide,Ammoniumbromid,bromuro de amonio,bromure d'ammonium,,FALSE
Scientific - Chemicals,ammonium chloride,ammonium chloride,Ammoniumchlorid,Cloruro de amonio,Chlorure d'ammonium,Sal ammoniac,FALSE
Scientific - Chemicals,ammonium hydrogen fluoride,ammonium hydrogen fluoride,Ammoniumhydrogendifluorid,Bifluoruro de amonio,Difluorure d'ammonium,,FALSE
Scientific - Chemicals,ammonium hydroxide,ammonium hydroxide,Ammoniakwasser,Hidróxido de amonio,Ammoniaque,,FALSE
Scientific - Chemicals,ammonium nitrate,ammonium nitrate,Ammoniumnitrat,Nitrato de amonio,Nitrate d'ammonium,,FALSE
